sample_id,journal_name,is_empirical,has_ppc,ppc_type,ppc_name,ppc_description,ppc_length,ppc_time,ppc_ref,ppc_review,cope,field,jif
random,BMC PSYCHOLOGY,TRUE,YES,A,Commentary,"BMC Psychology recognizes the importance of post-publication commentary on published research as necessary to advancing scientific or academic discourse. Formal post-publication commentary on published papers can involve challenges, clarifications or, in some cases, replication of the published work and may, after peer review, be published online as Matters Arising articles, usually alongside a Reply from the original authors.

Matters Arising articles are interesting and timely scientific or academic comments and clarifications on original research papers published in the journal. These comments should be based on knowledge contemporaneous with the original paper, rather than subsequent scientific or academic developments.

If the submission serves only to identify an important error or mistake in the published paper, it will usually lead to the publication of a clarification statement (correction or retraction, for example). Please contact the journal for these cases. 

In all cases, the journal strongly encourages correspondents to first contact the authors of the paper directly as this can often resolve matters if it is a simple misunderstanding.

Matters Arising articles and Replies are bidirectionally linked with the original published paper. This journal does not consider Matters Arising articles on papers published in other journals. Contributions that do not comply with our submission criteria (see sections below) will not be considered.",1200,Qualitative,15,YES,TRUE,Multidisciplinary,2.588
random,BMC PSYCHOLOGY,TRUE,YES,B,NA,NA,NA,NA,NA,NA,TRUE,Multidisciplinary,2.588
random,BMC PSYCHOLOGY,TRUE,YES,C,NA,NA,NA,NA,NA,NA,TRUE,Multidisciplinary,2.588
random,BRAIN AND COGNITION,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,TRUE,Experimental,2.682
random,BRAIN AND COGNITION,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,TRUE,Experimental,2.682
random,BRAIN AND COGNITION,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,TRUE,Experimental,2.682
random,BRITISH JOURNAL OF DEVELOPMENTAL PSYCHOLOGY,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,TRUE,Developmental,2.148
random,BRITISH JOURNAL OF DEVELOPMENTAL PSYCHOLOGY,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,TRUE,Developmental,2.148
random,BRITISH JOURNAL OF DEVELOPMENTAL PSYCHOLOGY,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,TRUE,Developmental,2.148
random,BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,FALSE,NA,A,NA,NA,NA,NA,NA,NA,TRUE,Mathematical,2.41
random,BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,FALSE,NA,B,NA,NA,NA,NA,NA,NA,TRUE,Mathematical,2.41
random,BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,FALSE,NA,C,NA,NA,NA,NA,NA,NA,TRUE,Mathematical,2.41
random,CANADIAN JOURNAL OF SCHOOL PSYCHOLOGY,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,TRUE,Educational,1.37
random,CANADIAN JOURNAL OF SCHOOL PSYCHOLOGY,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,TRUE,Educational,1.37
random,CANADIAN JOURNAL OF SCHOOL PSYCHOLOGY,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,TRUE,Educational,1.37
random,CAREER DEVELOPMENT INTERNATIONAL,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,TRUE,Applied,2.443
random,CAREER DEVELOPMENT INTERNATIONAL,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,TRUE,Applied,2.443
random,CAREER DEVELOPMENT INTERNATIONAL,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,TRUE,Applied,2.443
random,CAREER DEVELOPMENT QUARTERLY,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,FALSE,Applied,2.408
random,CAREER DEVELOPMENT QUARTERLY,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,FALSE,Applied,2.408
random,CAREER DEVELOPMENT QUARTERLY,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,FALSE,Applied,2.408
random,CHILD ABUSE & NEGLECT,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,TRUE,Social,4.863
random,CHILD ABUSE & NEGLECT,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,TRUE,Social,4.863
random,CHILD ABUSE & NEGLECT,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,TRUE,Social,4.863
random,CLINICAL CHILD PSYCHOLOGY AND PSYCHIATRY,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,TRUE,General,2.087
random,CLINICAL CHILD PSYCHOLOGY AND PSYCHIATRY,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,TRUE,General,2.087
random,CLINICAL CHILD PSYCHOLOGY AND PSYCHIATRY,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,TRUE,General,2.087
random,COACHING-AN INTERNATIONAL JOURNAL OF THEORY RESEARCH AND PRACTICE,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,TRUE,Applied,NA
random,COACHING-AN INTERNATIONAL JOURNAL OF THEORY RESEARCH AND PRACTICE,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,TRUE,Applied,NA
random,COACHING-AN INTERNATIONAL JOURNAL OF THEORY RESEARCH AND PRACTICE,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,TRUE,Applied,NA
random,COGENT PSYCHOLOGY,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,FALSE,Multidisciplinary,NA
random,COGENT PSYCHOLOGY,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,FALSE,Multidisciplinary,NA
random,COGENT PSYCHOLOGY,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,FALSE,Multidisciplinary,NA
random,COGNITION AND INSTRUCTION,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,TRUE,Educational,3.356
random,COGNITION AND INSTRUCTION,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,TRUE,Educational,3.356
random,COGNITION AND INSTRUCTION,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,TRUE,Educational,3.356
random,COGNITIVE SCIENCE,TRUE,YES,A,Letters,"Letters to the editor consisting of approximately 1,000 words, and will be commentaries on articles, responses to commentaries, or discussion items of general relevance to the cognitive science community",1000,NOT STATED,NOT STATED,NOT STATED,TRUE,Experimental,2.617
random,COGNITIVE SCIENCE,TRUE,YES,B,NA,NA,NA,NA,NA,NA,TRUE,Experimental,2.617
random,COGNITIVE SCIENCE,TRUE,YES,C,NA,NA,NA,NA,NA,NA,TRUE,Experimental,2.617
random,CORTEX,TRUE,YES,A,Commentary,"These submissions may comment, criticize or supplement articles or reports previously published in Cortex. No abstract is required.",NOT STATED,NOT STATED,NOT STATED,NOT STATED,FALSE,Experimental,4.644
random,CORTEX,TRUE,YES,B,Other,"From Author Guidelines: ""These submissions evaluate the claims in published research through reanalysis of the original study data. Like Registered Reports, they undergo a two-phase review process in which the importance of the proposed analysis and validity of the methodology are considered prior to the results being presented.""

From Guide Document: ""Verification Reports are a form of empirical article in which authors evaluate the claims in published research through reanalysis of the original study data. The purpose of this format is to assess the credibility of previous conclusions by​ repeating the original analyses to test computational reproducibility or, in addition, by reporting new analyses to test robustness.""",NOT STATED,NOT STATED,NOT STATED,NOT STATED,FALSE,Experimental,4.644
random,CORTEX,TRUE,YES,C,NA,NA,NA,NA,NA,NA,FALSE,Experimental,4.644
random,CUADERNOS DE NEUROPSICOLOGIA-PANAMERICAN JOURNAL OF NEUROPSYCHOLOGY,TRUE,YES,A,Letters,Of characteristics and variable length according to criteria of the editorial body. Emphasis is placed on the discussion on the contents of the magazine or the reflective comment on events that occurred in the world regarding the theme of the magazine.,NOT STATED,NOT STATED,NOT STATED,NOT STATED,FALSE,Biological,NA
random,CUADERNOS DE NEUROPSICOLOGIA-PANAMERICAN JOURNAL OF NEUROPSYCHOLOGY,TRUE,YES,B,NA,NA,NA,NA,NA,NA,FALSE,Biological,NA
random,CUADERNOS DE NEUROPSICOLOGIA-PANAMERICAN JOURNAL OF NEUROPSYCHOLOGY,TRUE,YES,C,NA,NA,NA,NA,NA,NA,FALSE,Biological,NA
random,DEVIANT BEHAVIOR,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,TRUE,Social,1.716
random,DEVIANT BEHAVIOR,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,TRUE,Social,1.716
random,DEVIANT BEHAVIOR,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,TRUE,Social,1.716
random,EARLY EDUCATION AND DEVELOPMENT,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,TRUE,Educational,2.115
random,EARLY EDUCATION AND DEVELOPMENT,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,TRUE,Educational,2.115
random,EARLY EDUCATION AND DEVELOPMENT,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,TRUE,Educational,2.115
random,EATING BEHAVIORS,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,FALSE,Clinical,2.936
random,EATING BEHAVIORS,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,FALSE,Clinical,2.936
random,EATING BEHAVIORS,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,FALSE,Clinical,2.936
random,ECOLOGICAL PSYCHOLOGY,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,TRUE,Experimental,1.688
random,ECOLOGICAL PSYCHOLOGY,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,TRUE,Experimental,1.688
random,ECOLOGICAL PSYCHOLOGY,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,TRUE,Experimental,1.688
random,EDUCATIONAL AND DEVELOPMENTAL PSYCHOLOGIST,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,TRUE,Developmental,NA
random,EDUCATIONAL AND DEVELOPMENTAL PSYCHOLOGIST,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,TRUE,Developmental,NA
random,EDUCATIONAL AND DEVELOPMENTAL PSYCHOLOGIST,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,TRUE,Developmental,NA
random,EMOTIONAL AND BEHAVIOURAL DIFFICULTIES,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,TRUE,Educational,NA
random,EMOTIONAL AND BEHAVIOURAL DIFFICULTIES,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,TRUE,Educational,NA
random,EMOTIONAL AND BEHAVIOURAL DIFFICULTIES,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,TRUE,Educational,NA
random,EUROPEAN JOURNAL OF DEVELOPMENTAL PSYCHOLOGY,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,TRUE,Developmental,1.807
random,EUROPEAN JOURNAL OF DEVELOPMENTAL PSYCHOLOGY,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,TRUE,Developmental,1.807
random,EUROPEAN JOURNAL OF DEVELOPMENTAL PSYCHOLOGY,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,TRUE,Developmental,1.807
random,EUROPEAN JOURNAL OF PSYCHOLOGY OF EDUCATION,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,TRUE,Educational,2.821
random,EUROPEAN JOURNAL OF PSYCHOLOGY OF EDUCATION,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,TRUE,Educational,2.821
random,EUROPEAN JOURNAL OF PSYCHOLOGY OF EDUCATION,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,TRUE,Educational,2.821
random,FOCUS ON AUTISM AND OTHER DEVELOPMENTAL DISABILITIES,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,TRUE,Developmental,2.434
random,FOCUS ON AUTISM AND OTHER DEVELOPMENTAL DISABILITIES,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,TRUE,Developmental,2.434
random,FOCUS ON AUTISM AND OTHER DEVELOPMENTAL DISABILITIES,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,TRUE,Developmental,2.434
random,GEROPSYCH-THE JOURNAL OF GERONTOPSYCHOLOGY AND GERIATRIC PSYCHIATRY,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,FALSE,Developmental,NA
random,GEROPSYCH-THE JOURNAL OF GERONTOPSYCHOLOGY AND GERIATRIC PSYCHIATRY,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,FALSE,Developmental,NA
random,GEROPSYCH-THE JOURNAL OF GERONTOPSYCHOLOGY AND GERIATRIC PSYCHIATRY,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,FALSE,Developmental,NA
random,HUMAN ARENAS,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,TRUE,Multidisciplinary,NA
random,HUMAN ARENAS,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,TRUE,Multidisciplinary,NA
random,HUMAN ARENAS,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,TRUE,Multidisciplinary,NA
random,HUMAN MOVEMENT SCIENCE,TRUE,YES,A,Letters,letters to the editor containing a critical commentary on a published paper.,NOT STATED,NOT STATED,NOT STATED,NOT STATED,TRUE,Sport,2.397
random,HUMAN MOVEMENT SCIENCE,TRUE,YES,B,NA,NA,NA,NA,NA,NA,TRUE,Sport,2.397
random,HUMAN MOVEMENT SCIENCE,TRUE,YES,C,NA,NA,NA,NA,NA,NA,TRUE,Sport,2.397
random,HUMAN RESOURCE DEVELOPMENT QUARTERLY,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,TRUE,Applied,3.891
random,HUMAN RESOURCE DEVELOPMENT QUARTERLY,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,TRUE,Applied,3.891
random,HUMAN RESOURCE DEVELOPMENT QUARTERLY,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,TRUE,Applied,3.891
random,INFANCY,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,FALSE,Developmental,2.459
random,INFANCY,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,FALSE,Developmental,2.459
random,INFANCY,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,FALSE,Developmental,2.459
random,INFANTS & YOUNG CHILDREN,TRUE,YES,A,Letters,[none provided],NOT STATED,NOT STATED,NOT STATED,NOT STATED,TRUE,Developmental,1.125
random,INFANTS & YOUNG CHILDREN,TRUE,YES,B,NA,NA,NA,NA,NA,NA,TRUE,Developmental,1.125
random,INFANTS & YOUNG CHILDREN,TRUE,YES,C,NA,NA,NA,NA,NA,NA,TRUE,Developmental,1.125
random,INTERNATIONAL JOURNAL OF ADOLESCENCE AND YOUTH,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,FALSE,Developmental,NA
random,INTERNATIONAL JOURNAL OF ADOLESCENCE AND YOUTH,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,FALSE,Developmental,NA
random,INTERNATIONAL JOURNAL OF ADOLESCENCE AND YOUTH,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,FALSE,Developmental,NA
random,INTERNATIONAL JOURNAL OF OFFENDER THERAPY AND COMPARATIVE CRIMINOLOGY,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,FALSE,Applied,1.645
random,INTERNATIONAL JOURNAL OF OFFENDER THERAPY AND COMPARATIVE CRIMINOLOGY,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,FALSE,Applied,1.645
random,INTERNATIONAL JOURNAL OF OFFENDER THERAPY AND COMPARATIVE CRIMINOLOGY,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,FALSE,Applied,1.645
random,JOURNAL FOR THE THEORY OF SOCIAL BEHAVIOUR,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,TRUE,Social,1.733
random,JOURNAL FOR THE THEORY OF SOCIAL BEHAVIOUR,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,TRUE,Social,1.733
random,JOURNAL FOR THE THEORY OF SOCIAL BEHAVIOUR,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,TRUE,Social,1.733
random,JOURNAL OF ADOLESCENCE,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,TRUE,Developmental,3.675
random,JOURNAL OF ADOLESCENCE,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,TRUE,Developmental,3.675
random,JOURNAL OF ADOLESCENCE,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,TRUE,Developmental,3.675
random,JOURNAL OF CHILD AND ADOLESCENT MENTAL HEALTH,TRUE,YES,A,Letters,No description,NOT STATED,NOT STATED,NOT STATED,NOT STATED,FALSE,Clinical,NA
random,JOURNAL OF CHILD AND ADOLESCENT MENTAL HEALTH,TRUE,YES,B,NA,NA,NA,NA,NA,NA,FALSE,Clinical,NA
random,JOURNAL OF CHILD AND ADOLESCENT MENTAL HEALTH,TRUE,YES,C,NA,NA,NA,NA,NA,NA,FALSE,Clinical,NA
random,JOURNAL OF COGNITION AND CULTURE,TRUE,YES,A,Commentary,na,2000,NOT STATED,NOT STATED,NOT STATED,FALSE,Multidisciplinary,NA
random,JOURNAL OF COGNITION AND CULTURE,TRUE,YES,B,Letters,na,500,NOT STATED,NOT STATED,NOT STATED,FALSE,Multidisciplinary,NA
random,JOURNAL OF COGNITION AND CULTURE,TRUE,YES,C,NA,NA,NA,NA,NA,NA,FALSE,Multidisciplinary,NA
random,JOURNAL OF COGNITIVE NEUROSCIENCE,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,FALSE,Experimental,3.42
random,JOURNAL OF COGNITIVE NEUROSCIENCE,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,FALSE,Experimental,3.42
random,JOURNAL OF COGNITIVE NEUROSCIENCE,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,FALSE,Experimental,3.42
random,JOURNAL OF COUPLE & RELATIONSHIP THERAPY-INNOVATIONS IN CLINICAL AND EDUCATIONAL INTERVENTIONS,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,TRUE,Clinical,NA
random,JOURNAL OF COUPLE & RELATIONSHIP THERAPY-INNOVATIONS IN CLINICAL AND EDUCATIONAL INTERVENTIONS,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,TRUE,Clinical,NA
random,JOURNAL OF COUPLE & RELATIONSHIP THERAPY-INNOVATIONS IN CLINICAL AND EDUCATIONAL INTERVENTIONS,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,TRUE,Clinical,NA
random,JOURNAL OF DUAL DIAGNOSIS,TRUE,YES,A,Letters,No description,NOT STATED,NOT STATED,NOT STATED,NOT STATED,TRUE,Clinical,2.324
random,JOURNAL OF DUAL DIAGNOSIS,TRUE,YES,B,NA,NA,NA,NA,NA,NA,TRUE,Clinical,2.324
random,JOURNAL OF DUAL DIAGNOSIS,TRUE,YES,C,NA,NA,NA,NA,NA,NA,TRUE,Clinical,2.324
random,JOURNAL OF EXPERIMENTAL EDUCATION,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,TRUE,Educational,1.762
random,JOURNAL OF EXPERIMENTAL EDUCATION,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,TRUE,Educational,1.762
random,JOURNAL OF EXPERIMENTAL EDUCATION,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,TRUE,Educational,1.762
random,JOURNAL OF GAMBLING STUDIES,TRUE,ARCHIVE,A,NA,NA,NA,NA,NA,NA,TRUE,Multidisciplinary,3.396
random,JOURNAL OF GAMBLING STUDIES,TRUE,ARCHIVE,B,NA,NA,NA,NA,NA,NA,TRUE,Multidisciplinary,3.396
random,JOURNAL OF GAMBLING STUDIES,TRUE,ARCHIVE,C,NA,NA,NA,NA,NA,NA,TRUE,Multidisciplinary,3.396
random,JOURNAL OF HEALTH PSYCHOLOGY,TRUE,YES,A,Commentary,Open peer commentaries on recent articles in this journal or topical issues,2000,Qualitative,NOT STATED,NOT STATED,TRUE,Clinical,3.789
random,JOURNAL OF HEALTH PSYCHOLOGY,TRUE,YES,B,NA,NA,NA,NA,NA,NA,TRUE,Clinical,3.789
random,JOURNAL OF HEALTH PSYCHOLOGY,TRUE,YES,C,NA,NA,NA,NA,NA,NA,TRUE,Clinical,3.789
random,JOURNAL OF LITERACY RESEARCH,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,TRUE,Educational,2.551
random,JOURNAL OF LITERACY RESEARCH,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,TRUE,Educational,2.551
random,JOURNAL OF LITERACY RESEARCH,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,TRUE,Educational,2.551
random,JOURNAL OF MEDIA PSYCHOLOGY-THEORIES METHODS AND APPLICATIONS,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,FALSE,Multidisciplinary,2.31
random,JOURNAL OF MEDIA PSYCHOLOGY-THEORIES METHODS AND APPLICATIONS,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,FALSE,Multidisciplinary,2.31
random,JOURNAL OF MEDIA PSYCHOLOGY-THEORIES METHODS AND APPLICATIONS,TRUE,NO IMPLICIT,C,NA,NA,NA,NA,NA,NA,FALSE,Multidisciplinary,2.31
random,JOURNAL OF MOTOR LEARNING AND DEVELOPMENT,TRUE,YES,A,Letters,Letter to the Editor: 5 pages,2500,NOT STATED,NOT STATED,NOT STATED,FALSE,Developmental,NA
random,JOURNAL OF MOTOR LEARNING AND DEVELOPMENT,TRUE,YES,B,NA,NA,NA,NA,NA,NA,FALSE,Developmental,NA
random,JOURNAL OF MOTOR LEARNING AND DEVELOPMENT,TRUE,YES,C,NA,NA,NA,NA,NA,NA,FALSE,Developmental,NA
random,JOURNAL OF PERSONNEL PSYCHOLOGY,TRUE,NO IMPLICIT,A,NA,NA,NA,NA,NA,NA,FALSE,Applied,1.625
random,JOURNAL OF PERSONNEL PSYCHOLOGY,TRUE,NO IMPLICIT,B,NA,NA,NA,NA,NA,NA,FALSE,Applied,1.625
