link,title,authors,journal,publication_year,id
10.1002/erv.2761,Treatment for eating disorders in apost-COVID world: The case of TRIANGLE,"Cardi, Valentina; Willmott, Daniel; Ambwani, Suman; Rowlands, Katie; Clark Bryan, Danielle; Treasure, Janet",EUROPEAN EATING DISORDERS REVIEW,2020,18
10.1111/cdev.13412,Transformations and Transfer: Preschool Children Understand Abstract Relations and Reason Analogically in a Causal Task,"Goddu, Mariel K.; Lombrozo, Tania; Gopnik, Alison",CHILD DEVELOPMENT,2020,19
10.1016/j.dcn.2020.100769,"Neurocognitive reorganization between crystallized intelligence, fluid intelligence and white matter microstructure in two age-heterogeneous developmental cohorts (vol 41, 100743, 2020)","Simpson-Kent, Ivan L.; Fuhrmann, Delia; Bathelt, Joe; Achterberg, Jascha; Borgeest, Gesa Sophia; Kievit, Rogier A.",DEVELOPMENTAL COGNITIVE NEUROSCIENCE,2020,20
10.1080/20008198.2019.1710400,Complex post-traumatic stress symptoms in female adolescents: the role of emotion dysregulation in impairment and trauma exposure after an acute sexual assault,"Villalta, Laia; Khadr, Sophie; Chua, Kia-Chong; Kramer, Tami; Clarke, Venetia; Viner, Russell M.; Stringaris, Argyris; Smith, Patrick",EUROPEAN JOURNAL OF PSYCHOTRAUMATOLOGY,2020,21
10.1037/emo0000668,Emotional States Affect the Retention of Biological Motion in Working Memory,"Guo, Yang; Li, Wenmin; Lu, Xiqian; Xu, Xiaodong; Qiu, Fangfang; Shen, Mowei; Gao, Zaifeng",EMOTION,2020,22
10.1016/j.chb.2020.106349,A meta-analysis of teaching and learning computer programming: Effective instructional approaches and conditions,"Scherer, Ronny; Siddiq, Fazilat; Viveros, Barbara Sanchez",COMPUTERS IN HUMAN BEHAVIOR,2020,23
10.1017/S095457942000142X,Prenatal maternal psychological distress and fetal developmental trajectories: associations with infant temperament,"Howland, Mariann A.; Sandman, Curt A.; Davis, Elysia Poggi; Glynn, Laura M.",DEVELOPMENT AND PSYCHOPATHOLOGY,2020,24
10.3758/s13428-019-01220-6,Factors associated with sensitive regression weights: A fungible parameter approach,"Agler, Robert A.; De Boeck, Paul",BEHAVIOR RESEARCH METHODS,2020,25
10.1002/eat.23318,The impact of the COVID-19 pandemic on eating disorder risk and symptoms,"Rodgers, Rachel F.; Lombardo, Caterina; Cerolini, Silvia; Franko, Debra L.; Omori, Mika; Fuller-Tyszkiewicz, Matthew; Linardon, Jake; Courtet, Philippe; Guillaume, Sebastien",INTERNATIONAL JOURNAL OF EATING DISORDERS,2020,26
10.1177/0959353520912962,"Decolonizing psychology: Globalization, social justice, and Indian youth identities","Liebert, Rachel Jane",FEMINISM & PSYCHOLOGY,2020,27
10.1080/20008198.2019.1704554,The impact of trauma exposure and moral injury on UK military veterans: a qualitative study,"Williamson, Victoria; Murphy, Dominic; Stevelink, Sharon A. M.; Allen, Shannon; Jones, Edgar; Greenberg, Neil",EUROPEAN JOURNAL OF PSYCHOTRAUMATOLOGY,2020,28
10.1016/j.dcn.2020.100848,"Childhood violence exposure and social deprivation predict adolescent amygdala-orbitofrontal cortex white matter connectivity (Retraction of Vol 45, art no 100822, 2020)","Goetschius, Leigh G.; Hein, Tyler C.; Mitchell, Colter; Lopez-Duran, Nestor L.; McLoyd, Vonnie C.; Brooks-Gunn, Jeanne; McLanahan, Sara S.; Hyde, Luke W.; Monk, Christopher S.",DEVELOPMENTAL COGNITIVE NEUROSCIENCE,2020,29
10.1080/20008198.2020.1844955,To share or not to share-10 years of European Journal of Psychotraumatology,"Olff, Miranda",EUROPEAN JOURNAL OF PSYCHOTRAUMATOLOGY,2020,30
10.1111/apps.12180,Does Reducing Male Domination in Teams Attenuate or Intensify the Harmful Effects of Perceived Discrimination on Women's Job Satisfaction? A Test of Competing Hypotheses,"Sawyer, Katina; Young, Stephen F.; Thoroughgood, Christian; Dominguez, Kizzy M.",APPLIED PSYCHOLOGY-AN INTERNATIONAL REVIEW-PSYCHOLOGIE APPLIQUEE-REVUE INTERNATIONALE,2020,31
10.1111/jcpp.13146,Sustained effects on attachment security in middle childhood: results from a randomized clinical trial of the Attachment and Biobehavioral Catch-up (ABC) intervention,"Zajac, Lindsay; Raby, K. Lee; Dozier, Mary",JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,2020,32
10.1177/1362361320913671,Determinants of an autism spectrum disorder diagnosis in childhood and adolescence: Evidence from the UK Millennium Cohort Study,"Hosozawa, Mariko; Sacker, Amanda; Mandy, William; Midouhas, Emily; Flouri, Eirini; Cable, Noriko",AUTISM,2020,33
10.1016/j.jadohealth.2020.05.046,COVID-19 Takes Adolescent Suicide Prevention to Less Charted Territory,"Szlyk, Hannah S.; Berk, Michele; Peralta, Ana Ortin; Miranda, Regina",JOURNAL OF ADOLESCENT HEALTH,2020,34
10.1016/j.evolhumbehav.2020.05.002,Moral elevation: Indications of functional integration with welfare trade-off calibration and estimation mechanisms,"Monroe, Amy",EVOLUTION AND HUMAN BEHAVIOR,2020,35
10.1016/j.chb.2019.03.030,Negotiation as an interpersonal skill: Generalizability of negotiation outcomes and tactics across contexts at the individual and collective levels,"Martin-Raugh, Michelle P.; Kyllonen, Patrick C.; Hao, Jiangang; Bacall, Adam; Becker, Dovid; Kurzum, Christopher; Yang, Zhitong; Yan, Fred; Barnwell, Patrick",COMPUTERS IN HUMAN BEHAVIOR,2020,36
10.1016/j.jaac.2020.07.011,A BRIEF HISTORY AND CASE PRESENTATION OF INTERRACIAL ADOPTION,"Drabble, Stephanie",JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,2020,37
10.1016/j.jenvp.2020.101488,Restoration of sustained attention following virtual nature exposure: Undeniable or unreliable?,"Hicks, Lydia J.; Smith, Alyssa C.; Ralph, Brandon C. W.; Smilek, Daniel",JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,2020,38
NA,Thank You to JCP Peer Reviewers,"Freeman, Marlene P.",JOURNAL OF CLINICAL PSYCHIATRY,2020,39
10.1111/jcpp.13178,Infant domestic adoption: outcomes at mid-life,"Sehmi, Rukmen; Rushton, Alan; Pickles, Andrew; Grant, Margaret; Maughan, Barbara",JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,2020,40
10.1016/j.jenvp.2020.101521,Straw wars: Pro-environmental spillover following a guilt appeal,"Truelove, Heather Barnes; Nugent, M. Ryan",JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,2020,41
10.1177/0022146520966364,Early Social Origins of Biological Risks for Men and Women in Later Life,"Morton, Patricia M.; Ferraro, Kenneth F.",JOURNAL OF HEALTH AND SOCIAL BEHAVIOR,2020,42
10.1007/s00787-019-01360-2,Child and adolescent psychiatry training and services in the Middle East region: a current status assessment,"Clausen, Carolyn E.; Bazaid, Khalid; Azeem, Muhammad Waqar; Abdelrahim, Fathelaliem; Abd Elgawad, Ahmed A.; Alamiri, Bibi; AlAnsari, Ahmed Malalla; Alhamzawi, Ali; Al Mai, Ahmad Mohammed; Bakhiet, Aisha Motwakil; Bashtawi, Mahmoud; Cuhadaroglu, Fusun; Hedar, Mazen; Holdar, Mohammad; Jabr, Samah; Jafri, Ather Sajjad; Jumaian, Amjad; Moussa, Suaad; Osman, Abdelgadir Hussein; Razjouyan, Katayoon; Yanes, Eyad; Guerrero, Anthony; Skokauskas, Norbert",EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,2020,43
10.1016/j.bodyim.2020.08.012,Orthorexic eating in women who are physically active in sport: A test of an objectification theory model,"Osa, Maggie L.; Calogero, Rachel M.",BODY IMAGE,2020,44
10.1016/j.bodyim.2020.05.006,"The validity and reliability of the Farsi version of the Body, Eating, and Exercise Comparison Orientation Measure (F-BEECOM) among Iranian male and female students","Sahlan, Reza N.; Saunders, Jessica F.; Fitzsimmons-Craft, Ellen E.; Taravatrooy, Fatemeh",BODY IMAGE,2020,45
NA,Extraversion in the HEXACO-PI-R,"Watson, David; Clark, Lee Anna",EUROPEAN JOURNAL OF PERSONALITY,2020,46
10.1016/j.psychsport.2020.101716,High school student-athletes' perceptions and experiences of leadership as a life skill,"Pierce, Scott; Erickson, Karl; Sarkar, Mustafa",PSYCHOLOGY OF SPORT AND EXERCISE,2020,47
10.1016/j.jenvp.2020.101464,Using the COVID-19 economic crisis to frame climate change as a secondary issue reduces mitigation support,"Ecker, Ullrich K. H.; Butler, Lucy H.; Cook, John; Hurlstone, Mark J.; Kurz, Tim; Lewandowsky, Stephan",JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,2020,48
10.1016/j.jadohealth.2020.07.012,Bridging the Needs of Adolescent Diabetes Care During COVID-19: A Nurse-Led Telehealth Initiative,"Lim, Soo Ting; Yap, Fabian; Chin, Xinyi",JOURNAL OF ADOLESCENT HEALTH,2020,49
10.1038/s41562-020-0848-3,Shared striatal activity in decisions to satisfy curiosity and hunger at the risk of electric shocks,"Lau, Johnny King L.; Ozono, Hiroki; Kuratomi, Kei; Komiya, Asuka; Murayama, Kou",NATURE HUMAN BEHAVIOUR,2020,50
10.1007/s11469-019-0054-6,Childhood Emotional Maltreatment and Problematic Social Media Use Among Adolescents: The Mediating Role of Body Image Dissatisfaction,"Kircaburun, Kagan; Griffiths, Mark D.; Billieux, Joel",INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,2020,51
10.1037/abn0000510,Multitrait-Multimethod Analyses of Change of Internalizing and Externalizing Problems in Adolescence: Predicting Internalizing and Externalizing DSM Disorders in Adulthood,"van der Ende, Jan; Verhulst, Frank C.; Tiemeier, Henning",JOURNAL OF ABNORMAL PSYCHOLOGY,2020,52
10.1177/1948550619841629,Cognitive Biases and Religious Belief: A Path Model Replication in the Czech Republic and Slovakia With a Focus on Anthropomorphism,"Willard, Aiyana K.; Cingl, Lubomir; Norenzayan, Ara",SOCIAL PSYCHOLOGICAL AND PERSONALITY SCIENCE,2020,53
10.1159/000512536,"Coffee-Drinking and Personality as Factors in the Genesis of Cancer and Coronary Heart Disease (Retraction of Vol 23, Pg 153, 1990)","Grossarth-Maticek, R.; Entitled, H. J. Eysenck",NEUROPSYCHOBIOLOGY,2021,54
10.1037/pspp0000262,Owner of a Lonely Heart: The Stability of Loneliness Across the Life Span,"Mund, Marcus; Luedtke, Oliver; Neyer, Franz J.",JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,2020,55
NA,EATING DISORDER SYMPTOMATOLOGY DIFFERENCES ACROSS SEX AND ETHNICITY AMONG ADOLESCENT BARIATRIC SURGERY CANDIDATES,"Cheng, Tiffany; Akhiyat, Yasmine M.; Mehta, Nitisha; Ahlich, Erica M.; Verzijl, Christina; Chermak, Rebecca; Rancourt, Diana; Weiss, Amy L.",JOURNAL OF ADOLESCENT HEALTH,2020,56
10.1016/j.jsp.2020.05.001,Comparison of accommodations and interventions for youth with ADHD: A randomized controlled trial,"Harrison, Judith R.; Evans, Steven W.; Baran, Alyssa; Khondker, Fairooz; Press, Kathryn; Noel, Daphney; Wasserman, Shira; Belmonte, Colleen; Mohlmann, Morgan",JOURNAL OF SCHOOL PSYCHOLOGY,2020,57
10.1016/j.invent.2019.100302,Does concurrent medication usage affect patient response to internet-delivered cognitive behaviour therapy for depression and anxiety?,"Edmonds, Michael; McCall, Hugh; Dear, Blake F.; Titov, Nickolai; Hadjistavropoulos, Heather D.",INTERNET INTERVENTIONS-THE APPLICATION OF INFORMATION TECHNOLOGY IN MENTAL AND BEHAVIOURAL HEALTH,2020,58
10.1177/1362361320961006,Explicit and implicit self-esteem in youth with autism spectrum disorders,"van der Cruijsen, Renske; Boyer, Bianca E.",AUTISM,2021,59
10.1016/j.psychsport.2020.101721,The effect of a virtual reality environment on gaze behaviour and motor skill learning,"Harris, David J.; Buckingham, Gavin; Wilson, Mark R.; Brookes, Jack; Mushtaq, Faisal; Mon-Williams, Mark; Vine, Samuel J.",PSYCHOLOGY OF SPORT AND EXERCISE,2020,60
10.1111/jcpp.13298,Associations of perceived adverse lifetime experiences with brain structure in UK Biobank participants; Associations of perceived adverse lifetime experiences with brain structure in UK Biobank participants,"Gheorghe, Delia A.; Li, Chenlu; Gallacher, John; Bauermeister, Sarah",JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY; JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,2021,61
10.1002/job.2472,Abusive according to whom? Manager and subordinate perceptions of abusive supervision and supervisors' performance,"Ambrose, Maureen L.; Ganegoda, Deshani B.",JOURNAL OF ORGANIZATIONAL BEHAVIOR,2020,62
10.1037/met0000254,Comparing Gaussian Graphical Models With the Posterior Predictive Distribution and Bayesian Model Selection,"Williams, Donald R.; Rast, Philippe; Pericchi, Luis R.; Mulder, Joris",PSYCHOLOGICAL METHODS,2020,63
10.1016/j.dcn.2019.100737,Variation in early life maternal care predicts later long range frontal cortex synapse development in mice,"Thomas, A. Wren; Delevich, Kristen; Chang, Irene; Wilbrecht, Linda",DEVELOPMENTAL COGNITIVE NEUROSCIENCE,2020,64
10.1002/mar.21438,Answering for yourself versus others: Direct versus indirect estimates of charitable donations,"Jang, Hyunkyu; Irwin, Julie R.",PSYCHOLOGY & MARKETING,2021,65
10.4088/JCP.18m12170,Cyberbullying and Its Relationship to Current Symptoms and History of Early Life Trauma: A Study of Adolescents in an Acute Inpatient Psychiatric Unit,"Saltz, Samantha Block; Rozon, Maria; Pogge, David L.; Harvey, Philip D.",JOURNAL OF CLINICAL PSYCHIATRY,2020,66
10.1016/j.jcbs.2019.11.006,Willingness and Action Measure for Adolescents: Psychometric validation in Spanish adolescents,"Cobos-Sanchez, Lidia; Flujas-Contreras, Juan M.; Gomez, Inmaculada",JOURNAL OF CONTEXTUAL BEHAVIORAL SCIENCE,2020,67
10.1037/apl0000577,Women's Leadership Is Associated With Fewer Deaths During the COVID-19 Crisis: Quantitative and Qualitative Analyses of United States Governors,"Sergent, Kayla; Stajkovic, Alexander D.",JOURNAL OF APPLIED PSYCHOLOGY,2020,68
10.1002/eat.23406,Mapping features of pathological exercise using hierarchical-dimensional modeling,"Dreier, Melissa J.; Coniglio, Kathryn; Selby, Edward A.",INTERNATIONAL JOURNAL OF EATING DISORDERS,2021,69
10.1177/2167702620916454,Contact With an Ex-Partner Is Associated With Psychological Distress After Marital Separation,"O'Hara, Karey L.; Grinberg, Austin M.; Tackman, Allison M.; Mehl, Matthias R.; Sbarra, David A.",CLINICAL PSYCHOLOGICAL SCIENCE,2020,70
10.1177/0956797620916521,Transaction Frame Determines Preferences: Valuation of Labor by Employee and Contractor,"Ritov, Ilana; Schurr, Amos",PSYCHOLOGICAL SCIENCE,2020,71
10.1016/j.copsyc.2019.06.033,How do socio-ecological factors shape culture? Understanding the process of micro-macro interactions,"Uchida, Yukiko; Takemura, Kosuke; Fukushima, Shintaro",CURRENT OPINION IN PSYCHOLOGY,2020,72
10.1016/j.jaac.2020.07.489,CARING FOR THE CARETAKERS: THE IMPACT OF LOSING A PATIENT TO SUICIDE,"Feuer, Vera",JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,2020,73
10.1177/1948550620976206,Socioeconomic Status and Dehumanization in India: Elaboration of the Stereotype Content Model in a Non-WEIRD Sample,"Khatry, Priyanka; Manokara, Kunalan; Harris, Lasana T.",SOCIAL PSYCHOLOGICAL AND PERSONALITY SCIENCE,2021,74
10.1016/j.chb.2018.12.004,LADA: A learning analytics dashboard for academic advising,"Gutierrez, Francisco; Seipp, Karsten; Ochoa, Xavier; Chiluiza, Katherine; De Laet, Tinne; Verbert, Katrien",COMPUTERS IN HUMAN BEHAVIOR,2020,75
10.1007/s10964-020-01292-0,The Mediating and Moderating Effects of Social Support and School Climate on the Association between Cyber Victimization and Internalizing Symptoms,"Holfeld, Brett; Baitz, Rachel",JOURNAL OF YOUTH AND ADOLESCENCE,2020,76
10.1002/eat.23437,The introduction of treatment and the cultural adaptability of western psychotherapies for eating disorders in China,"Chen, Jue; Guo, Lei; Gu, Lian; Han, Hui",INTERNATIONAL JOURNAL OF EATING DISORDERS,2021,77
10.1002/da.23096,Differences in cortical thinning across development among individuals with and without anxiety disorders,"Feurer, Cope; Suor, Jennifer H.; Jimmy, Jagan; Klumpp, Heide; Monk, Christopher S.; Phan, K. Luan; Burkhouse, Katie L.",DEPRESSION AND ANXIETY,2021,78
10.1016/j.jaac.2020.07.265,EARLY CHILDHOOD MENTAL HEALTH CONSULTATION IN PEDIATRICS,"Gleason, Mary-Margaret",JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,2020,79
10.1177/1362361320981319,Ameliorating the disadvantage for autistic job seekers: An initial evaluation of adapted employment interview questions,"Maras, Katie; Norris, Jade Eloise; Nicholson, Jemma; Heasman, Brett; Remington, Anna; Crane, Laura",AUTISM,2021,80
10.1080/2159676X.2020.1771409,'Can you move your fat ass off the baseline?' Exploring the sport experiences of adolescent girls with body image concerns,"Vani, Madison F.; Pila, Eva; deJonge, Melissa; Solomon-Krakus, Shauna; Sabiston, Catherine M.",QUALITATIVE RESEARCH IN SPORT EXERCISE AND HEALTH,2021,81
10.1016/j.jaac.2020.01.025,"Promoting Treatment Access Following Pediatric Primary Care Depression Screening: Randomized Trial of Web-Based, Single-Session Interventions for Parents and Youths","Schleider, Jessica L.; Dobias, Mallory; Fassler, Julia; Shroff, Akash; Pati, Susmita",JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,2020,82
10.1016/j.jaac.2019.06.019,Trajectories of Growth Associated With Long-Term Stimulant Medication in the Multimodal Treatment Study of Attention-Deficit/Hyperactivity Disorder,"Greenhill, Laurence L.; Swanson, James M.; Hechtman, Lily; Waxmonsky, James; Arnold, L. Eugene; Molina, Brooke S. G.; Hinshaw, Stephen P.; Jensen, Peter S.; Abikoff, Howard B.; Wigal, Timothy; Stehli, Annamarie; Howard, Andrea; Hermanussen, Michael; Hanc, Tomasz",JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,2020,83
10.1002/eat.23273,Justice sensitivity and rejection sensitivity as predictors and outcomes of eating disorder pathology: A 5-year longitudinal study,"Bondue, Rebecca; Bilgin, Ayten; Warschburger, Petra",INTERNATIONAL JOURNAL OF EATING DISORDERS,2020,84
NA,LIFE-THREATENING HEALTH CONDITIONS AND RISK FOR DEPRESSIVE SYMPTOMS IN ADOLESCENTS,"Hedrick, Nicole DeSario",JOURNAL OF ADOLESCENT HEALTH,2020,85
10.1111/bjhp.12462,'Trying to bring attention to your body when you're not sure where it is': An interpretative phenomenological analysis of drivers and barriers to mindfulness for people with spinal cord injury,"Hearn, Jasmine Heath; Finlay, Katherine Anne; Sheffield, David",BRITISH JOURNAL OF HEALTH PSYCHOLOGY,2021,86
10.1177/1948550620933411,Self-Efficacy and Declines Over Time in Attachment Anxiety During the Transition to Parenthood,"Arriaga, Ximena B.; Eller, Jami; Kumashiro, Madoka; Rholes, W. Steven; Simpson, Jeffry A.",SOCIAL PSYCHOLOGICAL AND PERSONALITY SCIENCE,2021,87
10.1111/jcpp.13216,Commentary: Ecology momentary assessment as a tool for understanding dynamic patterns in child and adolescent health and development - reflections on Russell and Gajos (2020),"Chiang, Jessica J.; Lam, Phoebe H.",JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,2020,88
10.1111/jcpp.13208,Intergenerational transmission of anxiety: linking parental anxiety to infant autonomic hyperarousal and fearful temperament,"de Vente, Wieke; Majdandzic, Mirjana; Bogels, Susan M.",JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,2020,89
10.1177/0022146520902740,Medical Authority under Siege: How Clinicians Transform Patient Resistance into Acceptance,"Stivers, Tanya; Timmermans, Stefan",JOURNAL OF HEALTH AND SOCIAL BEHAVIOR,2020,90
10.1002/hrm.22020,Making the right friends: A social network perspective on newcomer socialization in teams,"Yuan, Zhenyu; Li, Ning; Mai, Yiyuan; Ye, Zhuxin; Yu, Jia (Joya)",HUMAN RESOURCE MANAGEMENT,2020,91
10.1016/j.jaac.2019.05.031,Mechanisms of Change in the Prevention of Depression: An Indicated School-Based Prevention Trial at the Transition to High School,"Blossom, Jennifer B.; Adrian, Molly C.; Vander Stoep, Ann; McCauley, Elizabeth",JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,2020,92
10.1038/s41562-020-0899-5,Exposure to peers' pro-diversity attitudes increases inclusion and reduces the achievement gap,"Murrar, Sohad; Campbell, Mitchell R.; Brauer, Markus",NATURE HUMAN BEHAVIOUR,2020,93
10.1037/xge0000720,Belief Digitization: Do We Treat Uncertainty as Probabilities or as Bits?,"Johnson, Samuel G. B.; Merchant, Thomas; Keil, Frank C.",JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL,2020,94
10.1002/erv.2782,"Null hypothesis significance tests, a misleading approach to scientific knowledge: Some implications for eating disorders research","Granero, Roser; Treasure, Janet; Claes, Laurence; Favaro, Angela; Jimenez-Murcia, Susana; Karwautz, Andreas; Le Grange, Daniel; Tchanturia, Kate; Fernandez-Aranda, Fernando",EUROPEAN EATING DISORDERS REVIEW,2020,95
10.1111/apps.12258,"Toward a More Expansive View of Priming in Organizations: Reflections on Chen, Latham, Piccolo, and Itzchakov","Schneider, Benjamin",APPLIED PSYCHOLOGY-AN INTERNATIONAL REVIEW-PSYCHOLOGIE APPLIQUEE-REVUE INTERNATIONALE,2021,96
10.1089/cyber.2019.0762,How to Be Aggressive from Virtual to Reality? Revisited the Violent Video Games Exposure: Aggression Association and the Mediating Mechanisms,"Zhao, Haiyan; Zhou, Jianxiang; Xu, Xiaofeng; Gong, Xue; Zheng, Jiamin; Zhou, Jianhua",CYBERPSYCHOLOGY BEHAVIOR AND SOCIAL NETWORKING,2021,97
10.1037/abn0000529,"Dimensions of Deprivation and Threat, Psychopathology, and Potential Mediators: A Multi-Year Longitudinal Analysis (vol 127, pg 160, 2018)","Miller, Adam Bryant; Sheridan, Margaret A.; Hanson, Jamie L.; McLaughlin, Katie A.; Bates, John E.; Lansford, Jennifer E.; Pettit, Gregory S.; Dodge, Kenneth A.",JOURNAL OF ABNORMAL PSYCHOLOGY,2020,98
10.1016/j.bodyim.2019.11.005,"Body image experiences in the context of chronic pain: An examination of associations among perceptions of pain, body dissatisfaction, and positive body image","Markey, Charlotte H.; Dunaev, Jamie L.; August, Kristin J.",BODY IMAGE,2020,99
10.1017/S0954579419001226,Early adversity and children's regulatory deficits: Does postadoption parenting facilitate recovery in postinstitutionalized children?,"Koss, Kalsea J.; Lawler, Jamie M.; Gunnar, Megan R.",DEVELOPMENT AND PSYCHOPATHOLOGY,2020,100
10.1016/j.jaac.2020.07.104,ENGAGING FAMILIES OF YOUNG ADULTS WITH SUBSTANCE USE DISORDER IN TREATMENT,"Bagley, Sarah",JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,2020,101
NA,Editors' response to Clarivate Analytics' decision to suppress Body Image from receiving a 2019 Impact Factor,"Tylka, Tracy L.; Alleva, Jessica M.; Calogero, Rachel M.; Fuller-Tyszkiewicz, Matthew; Jackson, Todd; Murnen, Sarah; Murray, Stuart B.; Rodgers, Rachel F.; Swami, Viren; Webb, Jennifer B.",BODY IMAGE,2020,102
