Source title,CiteScore,Highest percentile,2018-21 Citations,2018-21 Documents,% Cited,SNIP,SJR,Publisher
Journal of Behavioral Addictions,11.5,"98.0%
5/292
Clinical Psychology",4070,355,86,2.184,1.951,Akademiai Kiado
Psychological Medicine,11.5,"96.0%
21/529
Psychiatry and Mental Health",12389,1082,93,2.166,2.328,Cambridge University Press
Journal of Personality and Social Psychology,11.4,"99.0%
12/1345
Sociology and Political Science",5094,447,88,3.813,3.697,APA
Decision Support Systems,11.3,"99.0%
4/376
Arts and Humanities (miscellaneous)",5130,453,88,2.661,1.973,Elsevier
Developmental Review,11.3,"99.0%
7/1406
Education",1134,100,82,4.49,3.485,Elsevier
Advances in Experimental Social Psychology,11.2,"97.0%
7/296
Social Psychology",436,39,90,N/A,N/A,Elsevier
Current Directions in Psychological Science,11.1,"95.0%
10/209
General Psychology",3537,319,87,3.491,3.098,SAGE
Depression and Anxiety,11.1,"98.0%
6/292
Clinical Psychology",4837,436,89,2.678,2.657,Wiley-Blackwell
American Psychologist,10.8,"94.0%
11/209
General Psychology",6546,604,54,5.623,2.503,APA
Behavior Research Methods,10.7,"98.0%
6/376
Arts and Humanities (miscellaneous)",7449,693,85,3.572,2.874,Springer Nature
Journal of Applied Psychology,10.6,"94.0%
13/230
Applied Psychology",3565,335,85,4.251,6.445,APA
Child Development Perspectives,10.5,"99.0%
1/56
Life-span and Life-course Studies",1715,163,82,3.743,2.871,Wiley-Blackwell
Clinical Psychological Science,10.4,"97.0%
7/292
Clinical Psychology",3181,305,83,2.597,2.507,SAGE
Emotion Review,10.3,"98.0%
8/376
Arts and Humanities (miscellaneous)",1204,117,82,3.2,1.908,SAGE
"Qualitative Research in Sport, Exercise and Health",10.3,"97.0%
5/218
Physical Therapy, Sports Therapy and Rehabilitation",2019,196,88,4.529,2.06,Taylor & Francis
Journal of Anxiety Disorders,10.2,"97.0%
8/292
Clinical Psychology",3626,354,74,2.849,2.697,Elsevier
Learning and Instruction,10.2,"99.0%
11/1406
Education",3040,298,89,3.132,2.484,Elsevier
Neuropsychology Review,10.2,"96.0%
3/65
Neuropsychology and Physiological Psychology",1099,108,90,2.805,2.029,Springer Nature
Current Opinion in Psychology,10.1,"94.0%
13/209
General Psychology",6579,650,92,2.612,2.085,Elsevier
Psychonomic Bulletin and Review,10.1,"97.0%
10/376
Arts and Humanities (miscellaneous)",6650,659,79,2.908,2.463,Springer Nature
Journal of Educational Psychology,10,"99.0%
14/1406
Education",3125,313,89,3.276,2.623,APA
Journal of Vocational Behavior,10,"99.0%
13/1406
Education",3883,388,86,3.227,2.805,Elsevier
Work and Stress,10,"93.0%
15/230
Applied Psychology",799,80,91,3.097,2.422,Taylor & Francis
International Journal of Clinical and Health Psychology,9.9,"97.0%
9/292
Clinical Psychology",1179,119,88,1.972,1.494,Elsevier
Journal of the Learning Sciences,9.8,"98.0%
16/1406
Education",797,81,80,3.33,2.517,Taylor & Francis
Journal of Clinical Child and Adolescent Psychology,9.7,"96.0%
10/292
Clinical Psychology",3435,355,92,2.427,2.027,Taylor & Francis
Cognitive Behaviour Therapy,9.5,"96.0%
11/292
Clinical Psychology",1297,136,83,2.012,1.635,Taylor & Francis
Developmental Science,9.4,"95.0%
15/341
Developmental and Educational Psychology",5332,568,91,2.119,2.174,Wiley-Blackwell
Personnel Psychology,9.4,"95.0%
10/213
Organizational Behavior and Human Resource Management",852,91,86,3.807,5.077,Wiley-Blackwell
Alcohol research : current reviews,9.3,"96.0%
12/292
Clinical Psychology",550,59,88,3.065,2.069,US National Institute on Alcohol Abuse and Alcoholism
Cognitive Systems Research,9.3,"95.0%
8/150
Experimental and Cognitive Psychology",3838,414,84,1.76,1.095,Elsevier
Child Development,9.2,"98.0%
22/1406
Education",7715,842,84,2.596,2.179,Wiley-Blackwell
European Review of Social Psychology,9.2,"96.0%
10/296
Social Psychology",341,37,92,3.274,2.411,Taylor & Francis
Journal of Business and Psychology,9,"95.0%
10/216
General Business, Management and Accounting",1874,209,88,3.307,3.093,Springer Nature
Psychotherapy,9,"95.0%
13/292
Clinical Psychology",1781,198,78,3.667,2.001,APA
Applied Developmental Science,8.8,"95.0%
3/56
Life-span and Life-course Studies",818,93,88,2.916,1.452,Taylor & Francis
Journal of Consulting and Clinical Psychology,8.8,"95.0%
14/292
Clinical Psychology",3051,347,78,2.903,2.548,APA
Comprehensive Psychiatry,8.7,"95.0%
15/292
Clinical Psychology",3218,372,85,2.059,1.57,Elsevier
Human-Computer Interaction,8.7,"91.0%
19/230
Applied Psychology",502,58,98,1.695,0.685,Taylor & Francis
Contemporary Educational Psychology,8.6,"98.0%
26/1406
Education",2455,285,83,3.064,2.651,Elsevier
Journal of Personality,8.5,"96.0%
12/296
Social Psychology",2663,315,84,2.406,1.921,Wiley-Blackwell
"Psychological Trauma: Theory, Research, Practice, and Policy",8.5,"96.0%
11/296
Social Psychology",3781,447,81,2.649,1.963,APA
Advances in Motivation Science,8.4,"95.0%
3/61
Psychology (miscellaneous)",201,24,83,N/A,N/A,Elsevier
Clinical Child and Family Psychology Review,8.4,"98.0%
27/1406
Education",1020,121,81,3.307,2.407,Springer Nature
Human Resource Management,8.4,"94.0%
13/213
Organizational Behavior and Human Resource Management",1759,210,89,2.702,2.698,Wiley-Blackwell
European Journal of Personality,8.3,"95.0%
14/296
Social Psychology",1382,167,91,2.183,2.408,SAGE
Journal of Environmental Psychology,8.3,"95.0%
13/296
Social Psychology",3487,421,79,2.383,1.81,Elsevier
Psychological Assessment,8.3,"94.0%
18/292
Clinical Psychology",3742,450,81,2.632,1.92,APA
Palgrave Communications,8.2,"99.0%
1/158
General Arts and Humanities",2849,346,79,2.612,0.87,Springer Nature
Journal of Experimental Psychology: General,8,"94.0%
9/150
Experimental and Cognitive Psychology",3747,469,83,2.47,2.316,APA
Annals of Behavioral Medicine,7.9,"91.0%
18/209
General Psychology",3052,388,81,1.779,1.594,Springer Nature
Asian Journal of Psychiatry,7.9,"92.0%
17/209
General Psychology",6038,763,73,2.013,1.436,Elsevier
European Child and Adolescent Psychiatry,7.9,"95.0%
14/298
Pediatrics, Perinatology and Child Health",4374,557,88,2.173,1.696,Springer Nature
Advances in the Study of Behavior,7.8,"97.0%
13/448
Animal Science and Zoology",149,19,100,N/A,N/A,Elsevier
Journal of Affective Disorders,7.8,"93.0%
19/292
Clinical Psychology",34848,4459,81,1.95,1.791,Elsevier
Political Psychology,7.8,"99.0%
2/718
Philosophy",2311,297,83,2.592,2.332,Wiley-Blackwell
Appetite,7.7,"90.0%
20/209
General Psychology",11713,1528,84,1.556,0.986,Elsevier
Body Image,7.7,"94.0%
16/296
Social Psychology",3130,406,82,2.142,1.566,Elsevier
British Journal of Health Psychology,7.6,"90.0%
23/230
Applied Psychology",1742,230,83,2.209,1.683,Wiley-Blackwell
Clinical Psychology: Science and Practice,7.6,"92.0%
21/292
Clinical Psychology",666,88,72,2.352,1.608,Wiley-Blackwell
Autism,7.5,"93.0%
21/341
Developmental and Educational Psychology",4750,636,82,2.15,1.617,SAGE
British Journal of Psychology,7.5,"89.0%
22/209
General Psychology",1318,176,89,1.96,1.526,Wiley-Blackwell
European Psychologist,7.5,"96.0%
12/376
Arts and Humanities (miscellaneous)",850,113,95,2.556,1.288,Hogrefe Publishing
Research on Language and Social Interaction,7.5,"98.0%
12/1032
Linguistics and Language",636,85,85,5.102,2.909,Taylor & Francis
Assessment,7.4,"92.0%
22/292
Clinical Psychology",3424,465,85,2.33,1.537,SAGE
Evolution and Human Behavior,7.4,"96.0%
13/376
Arts and Humanities (miscellaneous)",1749,236,88,1.84,1.676,Elsevier
Social Psychological and Personality Science,7.4,"94.0%
18/296
Social Psychology",3479,473,84,2.525,2.288,SAGE
Transportation Research Part F: Traffic Psychology and Behaviour,7.4,"89.0%
24/230
Applied Psychology",8100,1088,82,1.589,1.462,Elsevier
Journal of Sex Research,7.3,"99.0%
2/173
Gender Studies",2884,394,84,2.207,1.421,Taylor & Francis
Media Psychology,7.3,"96.0%
18/467
Communication",1004,137,85,2.704,1.738,Taylor & Francis
European Eating Disorders Review,7.2,"91.0%
24/292
Clinical Psychology",1930,268,87,1.759,1.242,Wiley-Blackwell
Health Psychology,7.1,"88.0%
27/230
Applied Psychology",2791,395,77,1.868,1.499,APA
International Psychogeriatrics,7.1,"93.0%
3/38
Gerontology",3422,485,92,1.493,1.029,Cambridge University Press
Journal of Cognition,7.1,"92.0%
12/150
Experimental and Cognitive Psychology",1202,169,75,2.002,1.78,Ubiquity Press
Personality and Social Psychology Bulletin,7.1,"93.0%
20/296
Social Psychology",3187,449,90,2.567,2.273,SAGE
"Personality Disorders: Theory, Research, and Treatment",7.1,"91.0%
25/292
Clinical Psychology",1344,188,82,1.854,1.481,APA
Wiley Interdisciplinary Reviews: Cognitive Science,7.1,"88.0%
24/209
General Psychology",634,89,87,1.921,1.469,Wiley-Blackwell
British Journal of Social Psychology,7,"92.0%
22/296
Social Psychology",1501,214,84,2.797,1.991,Wiley-Blackwell
Human Factors,7,"89.0%
9/79
Behavioral Neuroscience",2387,343,89,1.666,0.905,SAGE
International Journal of Consumer Studies,7,"91.0%
50/562
Public Health, Environmental and Occupational Health",1662,236,86,1.902,0.986,Wiley-Blackwell
Journal of Counseling Psychology,7,"93.0%
21/296
Social Psychology",1516,216,86,2.709,1.586,APA
Journal of School Psychology,7,"95.0%
58/1406
Education",1417,203,81,2.775,1.946,Elsevier
Behaviour Research and Therapy,6.9,"91.0%
13/150
Experimental and Cognitive Psychology",3625,528,79,1.853,2.022,Elsevier
International Journal of Social Robotics,6.9,"99.0%
3/718
Philosophy",2125,307,86,2.355,1.11,Springer Nature
Journal of Alzheimer's Disease,6.9,"90.0%
28/292
Clinical Psychology",21573,3105,77,1.121,1.225,IOS Press
Journal of Family Theory and Review,6.9,"97.0%
12/426
Social Sciences (miscellaneous)",885,128,77,2.853,1.472,Wiley-Blackwell
Psychosocial Intervention,6.9,"93.0%
23/341
Developmental and Educational Psychology",521,75,81,1.527,0.883,Colegio Oficial de Psicólogos de Madrid
Aggression and Violent Behavior,6.8,"89.0%
30/292
Clinical Psychology",2349,347,80,2.157,1.243,Elsevier
Cortex,6.8,"93.0%
5/65
Neuropsychology and Physiological Psychology",7710,1129,83,1.45,1.415,Elsevier
Emotion,6.8,"88.0%
25/209
General Psychology",3132,462,81,1.927,1.827,APA
Journal of Occupational and Organizational Psychology,6.8,"90.0%
21/213
Organizational Behavior and Human Resource Management",1034,153,84,1.934,1.971,Wiley-Blackwell
"Psychology of Aesthetics, Creativity, and the Arts",6.8,"99.0%
1/584
Visual Arts and Performing Arts",1073,158,84,2.891,1.421,APA
Scientific Studies of Reading,6.8,"95.0%
60/1406
Education",912,134,88,2.447,1.923,Taylor & Francis
Addictive Behaviors,6.7,"89.0%
31/292
Clinical Psychology",10465,1563,83,1.527,1.372,Elsevier
"Cyberpsychology, Behavior, and Social Networking",6.7,"95.0%
20/467
Communication",3150,467,76,1.797,1.154,Mary Ann Liebert
Journal of Positive Psychology,6.7,"87.0%
26/209
General Psychology",1976,294,89,2.28,1.368,Taylor & Francis
Journal of Youth and Adolescence,6.7,"97.0%
13/426
Social Sciences (miscellaneous)",4387,652,83,2.194,1.716,Springer Nature
Multivariate Behavioral Research,6.7,"95.0%
16/376
Arts and Humanities (miscellaneous)",1468,218,75,2.056,2.049,Taylor & Francis
Psychology of Sport and Exercise,6.7,"85.0%
34/230
Applied Psychology",4239,631,79,2.078,1.369,Elsevier
Topics in Cognitive Science,6.7,"98.0%
16/1032
Linguistics and Language",1311,196,92,1.75,1.252,Wiley-Blackwell
Gifted Child Quarterly,6.6,"95.0%
64/1406
Education",518,78,78,2.355,1.571,SAGE
Journal of Autism and Developmental Disorders,6.6,"92.0%
27/341
Developmental and Educational Psychology",9733,1476,86,1.862,1.207,Springer Nature
Journal of Attention Disorders,6.5,"91.0%
28/341
Developmental and Educational Psychology",4499,690,90,1.62,1.066,SAGE
Psychophysiology,6.5,"91.0%
6/65
Neuropsychology and Physiological Psychology",4725,732,79,1.636,1.461,Wiley-Blackwell
Psychotherapy Research,6.5,"88.0%
33/292
Clinical Psychology",2059,316,83,1.89,1.384,Taylor & Francis
Review of General Psychology,6.5,"87.0%
27/209
General Psychology",805,123,85,2.666,1.593,APA
Development and Psychopathology,6.4,"91.0%
29/341
Developmental and Educational Psychology",3327,518,89,1.667,1.624,Cambridge University Press
Journal of Health and Social Behavior,6.4,"90.0%
29/296
Social Psychology",837,131,71,2.615,1.758,SAGE
Sex Roles,6.4,"97.0%
4/173
Gender Studies",2697,422,85,2.191,1.309,Springer Nature
Social Networks,6.3,"98.0%
5/443
Anthropology",1546,246,82,2.015,1.565,Elsevier
Behavior Therapy,6.2,"88.0%
34/292
Clinical Psychology",2192,354,79,1.961,1.692,Elsevier
Early Childhood Research Quarterly,6.2,"95.0%
60/1345
Sociology and Political Science",2786,450,82,2.053,1.653,Elsevier
Group and Organization Management,6.2,"94.0%
20/376
Arts and Humanities (miscellaneous)",742,120,81,1.982,1.502,SAGE
International Journal of Sport and Exercise Psychology,6.2,"90.0%
30/296
Social Psychology",1298,210,81,1.874,0.892,Taylor & Francis
Psycho-Oncology,6.2,"88.0%
18/150
Experimental and Cognitive Psychology",7087,1140,80,1.573,1.196,Wiley-Blackwell
Applied Psychology,6.1,"94.0%
21/376
Arts and Humanities (miscellaneous)",1029,168,87,2.078,1.59,Wiley-Blackwell
Applied Psychology: Health and Well-Being,6.1,"83.0%
38/230
Applied Psychology",985,161,83,2.054,1.698,Wiley-Blackwell
British Journal of Clinical Psychology,6.1,"88.0%
35/292
Clinical Psychology",701,115,78,1.886,1.339,Wiley-Blackwell
Developmental Psychology,6.1,"96.0%
5/124
Demography",4268,695,78,1.888,1.702,APA
European Journal of Work and Organizational Psychology,6.1,"87.0%
28/213
Organizational Behavior and Human Resource Management",1542,254,81,2.089,1.66,Taylor & Francis
Reading Research Quarterly,6.1,"94.0%
83/1406
Education",959,158,80,2.545,2.241,Wiley-Blackwell
Revista de Psicodidactica,6.1,"94.0%
80/1406
Education",489,80,86,1.617,0.844,Elsevier
Social Cognitive and Affective Neuroscience,6.1,"87.0%
19/150
Experimental and Cognitive Psychology",2792,461,85,1.168,1.471,Oxford University Press
Social Psychiatry and Psychiatric Epidemiology,6.1,"93.0%
23/323
Health (social science)",3723,610,79,2.017,1.682,Springer Nature
AIDS and Behavior,6,"88.0%
34/296
Social Psychology",8625,1447,81,1.393,1.704,Springer Nature
Exceptional Children,6,"93.0%
90/1406
Education",543,91,78,2.946,1.736,SAGE
Journal of Experimental Social Psychology,6,"94.0%
70/1345
Sociology and Political Science",3013,504,78,1.946,1.825,Elsevier
Learning and Individual Differences,6,"93.0%
85/1406
Education",2390,396,80,1.992,1.554,Elsevier
Research on Child and Adolescent Psychopathology,6,"89.0%
37/341
Developmental and Educational Psychology",3044,508,79,1.7,1.461,Springer Nature
Sleep Health,6,"96.0%
16/426
Social Sciences (miscellaneous)",2144,356,81,1.61,1.213,Elsevier
Youth Violence and Juvenile Justice,6,"97.0%
22/801
Law",501,84,82,1.993,1.463,SAGE
Adolescent Research Review,5.9,"95.0%
18/426
Social Sciences (miscellaneous)",566,96,80,2.196,1.385,Springer Nature
Behaviour and Information Technology,5.9,"94.0%
23/376
Arts and Humanities (miscellaneous)",2166,370,82,1.387,0.7,Taylor & Francis
Child Abuse and Neglect,5.9,"92.0%
24/298
Pediatrics, Perinatology and Child Health",7547,1287,76,2.171,1.69,Elsevier
Clinical Neuropsychologist,5.9,"94.0%
22/376
Arts and Humanities (miscellaneous)",1951,328,85,1.81,1.279,Taylor & Francis
European Journal of Social Psychology,5.9,"88.0%
35/296
Social Psychology",2139,364,80,1.834,1.497,Wiley-Blackwell
Journal of Personality Assessment,5.9,"87.0%
37/292
Clinical Psychology",1665,282,85,1.996,1.068,Taylor & Francis
Psicothema,5.9,"86.0%
29/209
General Psychology",1601,273,74,1.846,1.018,Colegio Oficial de Psicologos
Psychosomatic Medicine,5.9,"82.0%
40/230
Applied Psychology",2469,415,76,1.344,1.13,Wolters Kluwer Health
Cognitive Psychology,5.8,"97.0%
23/1032
Linguistics and Language",684,117,85,1.782,1.647,Elsevier
Eating Disorders,5.8,"86.0%
39/292
Clinical Psychology",922,159,91,1.244,0.922,Taylor & Francis
Human Behavior and Emerging Technologies,5.8,"92.0%
20/264
General Social Sciences",975,167,63,4.437,1.214,Wiley-Blackwell
Journal of Applied Research in Memory and Cognition,5.8,"87.0%
38/292
Clinical Psychology",1021,175,81,1.651,1.04,Society for Applied Research in Memory and Cognition
Journal of Consumer Psychology,5.8,"81.0%
42/230
Applied Psychology",1154,198,80,2.028,3.054,Wiley-Blackwell
Journal of Cybersecurity,5.8,"97.0%
18/608
Political Science and International Relations",407,70,66,2.275,0.874,Oxford University Press
Neuropsychologia,5.8,"85.0%
22/150
Experimental and Cognitive Psychology",7621,1318,78,1.204,1.14,Elsevier
Organizational Behavior and Human Decision Processes,5.8,"85.0%
31/213
Organizational Behavior and Human Resource Management",1526,262,79,2.365,2.834,Elsevier
Sleep Medicine Clinics,5.8,"86.0%
40/292
Clinical Psychology",1119,193,73,1.353,0.738,Elsevier
Behavioral Sleep Medicine,5.7,"92.0%
5/61
Psychology (miscellaneous)",1374,241,88,1.289,0.932,Taylor & Francis
Educational Psychology,5.7,"92.0%
100/1406
Education",1519,267,100,1.697,1.083,Taylor & Francis
International Journal of Stress Management,5.7,"92.0%
99/1406
Education",763,134,81,1.786,1.082,APA
Mindfulness,5.7,"92.0%
26/323
Health (social science)",4873,852,73,1.728,1.245,Springer Nature
Physiology and Behavior,5.7,"85.0%
23/150
Experimental and Cognitive Psychology",7845,1371,82,1.111,0.788,Elsevier
Psychology of Violence,5.7,"91.0%
27/323
Health (social science)",1263,221,83,2.513,1.194,APA
Psychology of Women Quarterly,5.7,"97.0%
5/173
Gender Studies",728,128,74,2.249,1.231,SAGE
Schizophrenia,5.7,"79.0%
110/529
Psychiatry and Mental Health",792,139,72,1.464,1.477,Springer Nature
Sexual Abuse: Journal of Research and Treatment,5.7,"85.0%
30/209
General Psychology",964,169,80,2.051,0.976,SAGE
"Sport, Exercise, and Performance Psychology",5.7,"88.0%
26/218
Physical Therapy, Sports Therapy and Rehabilitation",598,105,84,1.709,0.921,APA
Suicide and Life-Threatening Behavior,5.7,"86.0%
41/292
Clinical Psychology",2437,428,73,1.757,1.607,Wiley-Blackwell
Group Processes and Intergroup Relations,5.6,"99.0%
11/1127
Cultural Studies",1581,282,90,1.669,1.269,SAGE
Journal of Career Assessment,5.6,"84.0%
33/209
General Psychology",909,163,82,1.971,1.229,SAGE
Journal of Memory and Language,5.6,"97.0%
24/968
Language and Linguistics",1378,244,79,2.561,1.784,Elsevier
American Journal of Drug and Alcohol Abuse,5.5,"85.0%
42/292
Clinical Psychology",1658,301,73,1.17,0.99,Taylor & Francis
Biological Psychology,5.5,"80.0%
13/65
Neuropsychology and Physiological Psychology",3166,580,78,1.22,1.023,Elsevier
Cognition,5.5,"97.0%
25/968
Language and Linguistics",6169,1118,80,1.927,1.774,Elsevier
Human Communication Research,5.5,"97.0%
10/443
Anthropology",391,71,85,2.096,1.733,Wiley-Blackwell
Instructional Science,5.5,"92.0%
110/1406
Education",704,128,77,1.849,1.218,Springer Nature
Intelligence,5.5,"92.0%
27/376
Arts and Humanities (miscellaneous)",1251,229,84,1.706,1.088,Elsevier
Journal of Adolescence,5.5,"89.0%
31/298
Pediatrics, Perinatology and Child Health",3012,546,79,1.655,1.235,Wiley-Blackwell
Journal of Health Psychology,5.5,"78.0%
49/230
Applied Psychology",4260,773,87,1.538,0.795,SAGE
Journal of Nonverbal Behavior,5.5,"85.0%
42/296
Social Psychology",537,97,87,1.789,1.17,Springer Nature
Neuropsychobiology,5.5,"82.0%
12/65
Neuropsychology and Physiological Psychology",937,170,83,0.9,0.838,Karger
Psychology of Sexual Orientation and Gender Diversity,5.5,"96.0%
6/173
Gender Studies",864,158,80,1.862,1.141,APA
Frontiers in Behavioral Neuroscience,5.4,"77.0%
15/65
Neuropsychology and Physiological Psychology",6316,1177,74,1.166,1.057,Frontiers Media S.A.
Journal of Applied Sport Psychology,5.4,"78.0%
50/230
Applied Psychology",653,120,92,1.608,0.86,Taylor & Francis
Mental Health and Physical Activity,5.4,"78.0%
51/230
Applied Psychology",817,152,74,1.511,1.122,Elsevier
Neuropsychological Rehabilitation,5.4,"92.0%
28/376
Arts and Humanities (miscellaneous)",1842,343,87,1.442,0.765,Taylor & Francis
Cognition and Instruction,5.3,"91.0%
122/1406
Education",387,73,86,2.14,1.506,Taylor & Francis
Eating and Weight Disorders,5.3,"85.0%
43/292
Clinical Psychology",3758,707,82,1.508,0.733,Springer Nature
Journal of Cognitive Engineering and Decision Making,5.3,"87.0%
15/115
Engineering (miscellaneous)",402,76,76,1.13,0.583,SAGE
Journal of Criminal Justice,5.3,"96.0%
29/801
Law",1371,260,76,1.903,1.359,Elsevier
Journal of Experimental Psychology: Learning Memory and Cognition,5.3,"96.0%
30/968
Language and Linguistics",2309,436,82,1.432,1.396,APA
Journal of Gambling Studies,5.3,"93.0%
90/1345
Sociology and Political Science",1677,319,85,1.282,0.809,Springer Nature
Organizational Psychology Review,5.3,"85.0%
44/296
Social Psychology",208,39,79,1.975,2.014,SAGE
Personality and Individual Differences,5.3,"83.0%
35/209
General Psychology",12220,2292,78,1.685,1.178,Elsevier
Public Understanding of Science,5.3,"92.0%
29/376
Arts and Humanities (miscellaneous)",1331,249,78,1.718,0.983,SAGE
Research and Practice in Technology Enhanced Learning,5.3,"91.0%
125/1406
Education",523,99,80,1.809,0.713,Springer Nature
Addictive Behaviors Reports,5.2,"85.0%
5/30
Pharmacology, Toxicology and Pharmaceutics (miscellaneous)",1406,272,72,1.261,0.956,Elsevier
Archives of Sexual Behavior,5.2,"91.0%
31/376
Arts and Humanities (miscellaneous)",4280,818,73,1.668,1.149,Springer Nature
British Journal of Educational Psychology,5.2,"90.0%
129/1406
Education",1212,231,80,1.991,1.291,Wiley-Blackwell
Irish Journal of Psychological Medicine,5.2,"95.0%
9/191
History and Philosophy of Science",882,171,75,1.215,0.793,Cambridge University Press
Journal of Research on Adolescence,5.2,"98.0%
13/1127
Cultural Studies",1550,300,81,1.491,1.146,Wiley-Blackwell
Journal of Traumatic Stress,5.2,"84.0%
44/292
Clinical Psychology",2088,400,79,1.53,1.283,Wiley-Blackwell
Neuropsychology,5.2,"76.0%
16/65
Neuropsychology and Physiological Psychology",1551,300,77,1.267,0.937,APA
Psychology and Aging,5.2,"84.0%
47/296
Social Psychology",1799,345,81,1.678,1.295,APA
Stress and Health,5.2,"84.0%
44/292
Clinical Psychology",1399,268,78,1.673,1.025,Wiley-Blackwell
Thinking and Reasoning,5.2,"98.0%
12/718
Philosophy",422,81,78,1.672,0.927,Taylor & Francis
American Journal of Community Psychology,5.1,"89.0%
34/323
Health (social science)",1509,296,84,2.121,1.228,Wiley-Blackwell
Clinical Gerontologist,5.1,"89.0%
33/323
Health (social science)",954,187,98,1.148,0.729,Taylor & Francis
Journal of Experimental Psychology: Human Perception and Performance,5.1,"91.0%
32/376
Arts and Humanities (miscellaneous)",2241,436,75,1.36,1.253,APA
Journal of Neuropsychology,5.1,"74.0%
17/65
Neuropsychology and Physiological Psychology",620,122,81,0.898,0.795,Wiley-Blackwell
Journal of Psychosomatic Research,5.1,"84.0%
47/292
Clinical Psychology",3773,733,78,1.312,0.939,Elsevier
Journal of Psychotherapy Integration,5.1,"83.0%
50/292
Clinical Psychology",652,129,81,1.391,0.849,APA
Neurobiology of Learning and Memory,5.1,"78.0%
33/150
Experimental and Cognitive Psychology",3054,604,80,0.897,1.052,Elsevier
