"Journal Data Filtered By:  Selected Categories: PSYCHOLOGY, DEVELOPMENTAL Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
"Mind Brain and Education","MIND BRAIN EDUC","1751-2271","1751-228X","PSYCHOLOGY, DEVELOPMENTAL - SSCI","1,063","2.013","Q4","0.81","25.24"%,
"INTERNATIONAL JOURNAL OF AGING & HUMAN DEVELOPMENT","INT J AGING HUM DEV","0091-4150","1541-3535","PSYCHOLOGY, DEVELOPMENTAL - SSCI","2,366","1.926","Q4","0.59","5.15"%,
"JOURNAL OF ADULT DEVELOPMENT","J ADULT DEV","1068-0667","1573-3440","PSYCHOLOGY, DEVELOPMENTAL - SSCI","1,213","1.9","Q4","0.58","4.35"%,
"COGNITIVE DEVELOPMENT","COGNITIVE DEV","0885-2014","1879-226X","PSYCHOLOGY, DEVELOPMENTAL - SSCI","3,191","1.897","Q4","0.67","7.02"%,
"Emerging Adulthood","EMERG ADULTHOOD","2167-6968","2167-6984","PSYCHOLOGY, DEVELOPMENTAL - SSCI","1,439","1.83","Q4","0.64","4.7"%,
"First Language","FIRST LANG","0142-7237","1740-2344","PSYCHOLOGY, DEVELOPMENTAL - SSCI","1,171","1.828","Q4","1.27","19.64"%,
"New Directions for Child and Adolescent Development","NEW DIR CHILD ADOLES","1534-8687","N/A","PSYCHOLOGY, DEVELOPMENTAL - SSCI","2,062","1.811","Q4","0.66","22.31"%,
"European Journal of Developmental Psychology","EUR J DEV PSYCHOL","1740-5629","1740-5610","PSYCHOLOGY, DEVELOPMENTAL - SSCI","2,095","1.807","Q4","0.53","13"%,
"INFANT AND CHILD DEVELOPMENT","INFANT CHILD DEV","1522-7227","1522-7219","PSYCHOLOGY, DEVELOPMENTAL - SSCI","2,149","1.776","Q4","0.45","12.06"%,
"Parenting-Science and Practice","PARENT-SCI PRACT","1529-5192","1532-7922","PSYCHOLOGY, DEVELOPMENTAL - SSCI","1,435","1.585","Q4","0.65","8.57"%,
"JOURNAL OF DEVELOPMENTAL AND PHYSICAL DISABILITIES","J DEV PHYS DISABIL","1056-263X","1573-3580","PSYCHOLOGY, DEVELOPMENTAL - SSCI","1,463","1.517","Q4","0.63","7.07"%,
"Language Learning and Development","LANG LEARN DEV","1547-5441","1547-3341","PSYCHOLOGY, DEVELOPMENTAL - SSCI","877","1.48","Q4","0.84","19.54"%,
"JOURNAL OF GENETIC PSYCHOLOGY","J GENET PSYCHOL","0022-1325","1940-0896","PSYCHOLOGY, DEVELOPMENTAL - SSCI","1,729","1.333","Q4","0.43","2.83"%,
"Early Child Development and Care","EARLY CHILD DEV CARE","0300-4430","1476-8275","PSYCHOLOGY, DEVELOPMENTAL - SSCI","3,372","1.206","Q4","0.55","6.29"%,
"Infants & Young Children","INFANT YOUNG CHILD","0896-3746","1550-5081","PSYCHOLOGY, DEVELOPMENTAL - SSCI","992","1.125","Q4","0.57","1.64"%,
"Journal for the Study of Education and Development","J STUD EDUC DEV","0210-3702","1578-4126","PSYCHOLOGY, DEVELOPMENTAL - SSCI","62","1.077","Q4","0.36","7.69"%,
"MERRILL-PALMER QUARTERLY-JOURNAL OF DEVELOPMENTAL PSYCHOLOGY","MERRILL PALMER QUART","0272-930X","1535-0266","PSYCHOLOGY, DEVELOPMENTAL - SSCI","2,114","1","Q4","0.27","0"%,
"Infancia y Aprendizaje","INFANC APRENDIZ","N/A","1578-4126","PSYCHOLOGY, DEVELOPMENTAL - SSCI","531","0.714","Q4","0.36","4.76"%,
"PRAXIS DER KINDERPSYCHOLOGIE UND KINDERPSYCHIATRIE","PRAX KINDERPSYCHOL K","0032-7034","2196-8225","PSYCHOLOGY, DEVELOPMENTAL - SSCI","331","0.597","Q4","0.12","13.51"%,
"KINDHEIT UND ENTWICKLUNG","KINDH ENTWICKL","0942-5403","2190-6246","PSYCHOLOGY, DEVELOPMENTAL - SSCI","301","0.491","Q4","0.3","17.28"%,
"Advances in Autism","ADV AUTISM","2056-3868","2056-3868","PSYCHOLOGY, DEVELOPMENTAL - ESCI","192","N/A","N/A","0.35","1.89"%,
"International Journal of Adolescence and Youth","INT J ADOLESC YOUTH","0267-3843","2164-4527","PSYCHOLOGY, DEVELOPMENTAL - ESCI","1,115","N/A","N/A","0.85","99.34"%,
"GeroPsych-The Journal of Gerontopsychology and Geriatric Psychiatry","GEROPSYCH","1662-9647","1662-971X","PSYCHOLOGY, DEVELOPMENTAL - ESCI","370","N/A","N/A","0.4","6.15"%,
"Research on Child and Adolescent Psychopathology","RES CHILD ADOLES PSY","2730-7166","2730-7174","PSYCHOLOGY, DEVELOPMENTAL - SSCI","170","N/A","N/A","0.41","22.75"%,
"Journal of Motor Learning and Development","J MOTOR LEARN DEV","2325-3193","2325-3215","PSYCHOLOGY, DEVELOPMENTAL - ESCI","233","N/A","N/A","0.36","0"%,
"Enfance","ENFANCE","0013-7545","1969-6981","PSYCHOLOGY, DEVELOPMENTAL - ESCI","182","N/A","N/A","0.04","0"%,
"Educational and Developmental Psychologist","EDUC DEV PSYCHOL","2059-0776","2059-0784","PSYCHOLOGY, DEVELOPMENTAL - ESCI","277","N/A","N/A","0.44","0"%,
"Current Developmental Disorders Reports","CURR DEV DISORD REP","N/A","2196-2987","PSYCHOLOGY, DEVELOPMENTAL - ESCI","516","N/A","N/A","0.46","8.24"%,
"Minnesota Symposia on Child Psychology","MINN SYM CHILD PSYCH","0076-9266","2329-5805","PSYCHOLOGY, DEVELOPMENTAL - SSCI","198","N/A","N/A","0.02","0"%,
"Autism in Adulthood","AUTISM ADULTHOOD","2573-9581","2573-959X","PSYCHOLOGY, DEVELOPMENTAL - ESCI","426","N/A","N/A","1.47","13.64"%,
"Journal of Youth Development","J YOUTH DEV","2325-4017","2325-4017","PSYCHOLOGY, DEVELOPMENTAL - ESCI","418","N/A","N/A","0.35","97.78"%,
"Revista de Psicologia Clinica con Ninos y Adolescentes","REV PSICOL CLIN NINO","2340-8340","2340-8340","PSYCHOLOGY, DEVELOPMENTAL - ESCI","224","N/A","N/A","0.5","74.03"%,
"Psicologia Clinica dello Sviluppo","PSICOL CLIN SVILUPP","1824-078X","1824-078X","PSYCHOLOGY, DEVELOPMENTAL - ESCI","170","N/A","N/A","0.11","0"%,
"Clinical Practice in Pediatric Psychology","CLIN PRACT PEDIAT PS","2169-4826","2169-4834","PSYCHOLOGY, DEVELOPMENTAL - ESCI","404","N/A","N/A","0.64","0"%,

Copyright (c) 2023 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
