journal,JIF_2021,ISSN,eISSN,field,IF_rank
Behavior Research Methods,5.953,1554-351X,1554-3528,mathematical,1
Psychonomic Bulletin & Review,4.412,1069-9384,1531-5320,mathematical,2
Educational And Psychological Measurement,3.088,0013-1644,1552-3888,mathematical,3
British Journal Of Mathematical & Statistical Psychology,2.41,0007-1102,2044-8317,mathematical,4
Psychometrika,2.29,0033-3123,1860-0980,mathematical,5
Journal Of Educational And Behavioral Statistics,2.116,1076-9986,1935-1054,mathematical,6
Methodology-European Journal Of Research Methods For The Behavioral And Social Sciences,1.975,1614-1881,1614-2241,mathematical,7
Applied Measurement In Education,1.528,0895-7347,1532-4818,mathematical,8
Applied Psychological Measurement,1.522,0146-6216,1552-3497,mathematical,9
Journal Of Mathematical Psychology,1.387,0022-2496,1096-0880,mathematical,10
Psychological Science In The Public Interest,56.2,1529-1006,1539-6053,multidisciplinary,1
Annual Review Of Psychology,27.782,0066-4308,1545-2085,multidisciplinary,2
Psychological Bulletin,23.027,0033-2909,1939-1455,multidisciplinary,3
American Psychologist,16.358,0003-066X,1935-990X,multidisciplinary,4
Advances In Methods And Practices In Psychological Science,15.817,2515-2459,2515-2467,multidisciplinary,5
Perspectives On Psychological Science,11.621,1745-6916,1745-6924,multidisciplinary,6
Psychological Methods,10.929,1082-989X,1939-1463,multidisciplinary,7
Qualitative Research In Psychology,10.568,1478-0887,1478-0895,multidisciplinary,8
Psychological Science,10.172,0956-7976,1467-9280,multidisciplinary,9
European Journal Of Psychology Applied To Legal Context,9.85,1889-1861,1989-4007,multidisciplinary,10
Psychoanalytic Psychology,1.591,0736-9735,1939-1331,psychoanalysis,1
Bulletin Of The Menninger Clinic,1.476,0025-9284,1943-2828,psychoanalysis,2
Zeitschrift Fur Psychosomatische Medizin Und Psychotherapie,1,1438-3608,2196-8349,psychoanalysis,3
International Journal Of Psychoanalysis,0.929,0020-7578,1745-8315,psychoanalysis,4
Journal Of The American Psychoanalytic Association,0.919,0003-0651,1941-2460,psychoanalysis,5
Psychoanalytic Quarterly,0.788,0033-2828,2167-4086,psychoanalysis,6
Psychoanalytic Dialogues,0.45,1048-1885,1940-9222,psychoanalysis,7
Psyche-Zeitschrift Fur Psychoanalyse Und Ihre Anwendungen,0.386,0033-2623,N/A,psychoanalysis,8
Psychoanalysis And History,0.353,1460-8235,1755-201X,psychoanalysis,9
Forum Der Psychoanalyse,0.34,0178-7667,1437-0751,psychoanalysis,10
Personality And Social Psychology Review,16.161,1088-8683,1532-7957,social,1
Social Issues And Policy Review,9.857,1751-2395,1751-2409,social,2
Journal Of Personality And Social Psychology,8.46,0022-3514,1939-1315,social,3
European Journal Of Personality,7,0890-2070,1099-0984,social,4
British Journal Of Social Psychology,6.92,0144-6665,2044-8309,social,5
Cyberpsychology Behavior And Social Networking,6.135,2152-2715,2152-2723,social,6
European Review Of Social Psychology,5.652,1046-3283,1479-277X,social,7
Organizational Behavior And Human Decision Processes,5.606,0749-5978,1095-9920,social,8
Journal Of Personality,5.429,0022-3506,1467-6494,social,9
Journal Of Social Issues,5.418,0022-4537,1540-4560,social,10
