PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	C1	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	WC	UT	PM
J	Caruso, Rosangela; Sabato, Silvana; Nanni, Maria Giulia; Hales, Sara; Rodin, Gary; Malfitano, Carmine; Tiberto, Elisa; De Padova, Silvia; Bertelli, Tatiana; Belvederi Murri, Martino; Zerbinati, Luigi; Grassi, Luigi								Application of Managing Cancer and Living Meaningfully (CALM) in Advanced Cancer Patients: An Italian Pilot Study								PSYCHOTHERAPY AND PSYCHOSOMATICS				89	6			402	404		10.1159/000505875			OCT 2020	2020			[Caruso, Rosangela; Sabato, Silvana; Nanni, Maria Giulia; Tiberto, Elisa; Zerbinati, Luigi; Grassi, Luigi] Univ Ferrara, Inst Psychiat, Dept Biomed & Specialty Surg Sci, Ferrara, Italy; [Hales, Sara; Rodin, Gary; Malfitano, Carmine] Hlth Trust & Univ S Anna Hosp, Univ Hosp Psychiat Unit, Integrated Dept Mental Hlth & Addict Disorders, Ferrara, Italy; [Hales, Sara; Rodin, Gary; Malfitano, Carmine] Princess Margaret Canc Ctr, Dept Support Care, Toronto, ON, Canada; [Tiberto, Elisa] Univ Toronto, Dept Psychiat, Toronto, ON, Canada; [De Padova, Silvia] Univ Padua, Dept Philosophy Sociol Educ & Appl Psychol, Padua, Italy; [Bertelli, Tatiana; Belvederi Murri, Martino] IRCCS, Ist Sci Romagnolo Studio & Cura Tumori IRST, Psychooncol Unit, Meldola, Italy; [Grassi, Luigi] Univ Ferrara, Inst Psychiat, Via Fossato Mortara 64-A, IT-44121 Ferrara, Italy								9							Psychiatry; Psychology	WOS:000584217200011		
J	Abbass, Allan; Town, Joel; Holmes, Hannah; Luyten, Patrick; Cooper, Angela; Russell, Leo; Lumley, Mark A.; Schubiner, Howard; Allinson, Jenny; Bernier, Denise; De Meulemeester, Celine; Kroenke, Kurt; Kisely, Steve								Short-Term Psychodynamic Psychotherapy for Functional Somatic Disorders: A Meta-Analysis of Randomized Controlled Trials								PSYCHOTHERAPY AND PSYCHOSOMATICS				89	6			363	370		10.1159/000507738			OCT 2020	2020	Introduction: Functionalsomatic disorders (FSD) are common and costly, thereby driving the need for the development of effective brief treatment options. Short-term psychodynamic psychotherapy (STPP) is one candidate treatment method. Objective: To review and meta-analyze, where possible, randomized controlled trials (RCTs) of STPP for FSD. Methods: Following a systematic search of the literature, we performed a meta-analysis of available RCT groups to determine the effects of STPP on a range of outcomes after treatment, and medium- and long-term follow-ups. Results: In meta-analyses of 17 RCTs, STPP significantly outperformed minimal treatment, treatment as usual, or waiting list controls on somatic symptom measures at all time frames, with small to large magnitude effect sizes. Descriptive reviews of 5 RCTs suggest that STPP performed at least as well as other bona fide psychological therapies. Limitations of this meta-analysis include small samples of studies and possible publication bias. Conclusions: STPP is a valid treatment option for diverse FSD conditions resulting in somatic symptom reductions that persist over time. STPP should be included in FSD treatment guidelines.		[Abbass, Allan; Town, Joel; Cooper, Angela; Bernier, Denise; Kisely, Steve] Dalhousie Univ, Ctr Emot & Hlth, Halifax, NS, Canada; [Holmes, Hannah; Lumley, Mark A.] Wayne State Univ, Dept Psychol, 71 W Warren Ave, Detroit, MI 48202 USA; [Luyten, Patrick; De Meulemeester, Celine] Univ Leuven, Leuven, Belgium; [Luyten, Patrick] UCL, London, England; [Russell, Leo] Devon Partnership NHS Trust, Exeter, Devon, England; [Schubiner, Howard] Ascens Providence Hosp, Southfield, MI USA; [Schubiner, Howard] Michigan State Univ, Coll Human Med, Southfield, MI USA; [Allinson, Jenny] Babylon Hlth, London, England; [Kroenke, Kurt] Indiana Univ, Indianapolis, IN 46204 USA; [Kroenke, Kurt] Regenstrief Inst Hlth Care, Indianapolis, IN USA; [Kisely, Steve] Univ Queensland, Woolloongabba, Qld, Australia; [Abbass, Allan] Rm 7508,5909 Vet Mem Lane, Halifax, NS B3H 2E2, Canada								31							Psychiatry; Psychology	WOS:000584217200004		
J	Niedhammer, Isabelle; Chastang, Jean-Francois; Coutrot, Thomas; Geoffroy-Perez, Beatrice; LaMontagne, Anthony D.; Milner, Allison								Psychosocial Work Exposures of the Job Strain Model and Suicide in France: Findings from the STRESSJEM Prospective Study of 1.5 Million Men and Women over 26 Years of Follow-Up								PSYCHOTHERAPY AND PSYCHOSOMATICS				89	6			398	401		10.1159/000506713			OCT 2020	2020			[Niedhammer, Isabelle; Chastang, Jean-Francois] Univ Rennes, Univ Angers, Irset Inst Rech Sante Environm & Travail, INSERM,EHESP,UMR S 1085,Epidemiol Occupat Hlth &, Angers, France; [Coutrot, Thomas] Minist Travail, DARES, Paris, France; [Geoffroy-Perez, Beatrice] Sante Publ France, St Maurice, France; [LaMontagne, Anthony D.] Deakin Univ, Sch Hlth & Social Dev, Inst Hlth Transformat, Geelong, Vic, Australia; [LaMontagne, Anthony D.; Milner, Allison] Univ Melbourne, Melbourne Sch Populat & Global Hlth, Ctr Hlth Equ, Melbourne, Vic, Australia; [Niedhammer, Isabelle] Univ Angers, Fac Med, INSERM, U1085,IRSET,Equipe ESTER, 28 Rue Roger Amsler,CS 74521, FR-49045 Angers 01, France								5							Psychiatry; Psychology	WOS:000584217200010		
J	Schaefer, Sarah K.; Sopp, M. Roxanne; Schanz, Christian G.; Staginnus, Marlene; Goeritz, Anja S.; Michael, Tanja								Impact of COVID-19 on Public Mental Health and the Buffering Effect of a Sense of Coherence								PSYCHOTHERAPY AND PSYCHOSOMATICS				89	6			386	392		10.1159/000510752			OCT 2020	2020	Introduction: It is claimed that the coronavirus disease 2019 (COVID-19) pandemic has had a negative impact on mental health. However, to date, prospective studies are lacking. Moreover, it is important to identify which factors modulate the stress response to the pandemic. Previously, sense of coherence (SOC) has emerged as a particularly important resistance factor. Objective: This prospective study aimed to assess the impact of the COVID-19 outbreak on mental health and to investigate the ability of pre-outbreak SOC levels to predict changes in psychopathological symptoms. Methods: This study assessed psychopathological symptoms and SOC before and after the COVID-19 outbreak as well as post-outbreak COVID-19-related traumatic distress in a German-speaking sample (n =1,591). Bivariate latent change score (BLCS) modeling was used to analyze pre- to post-outbreak changes in psychopathological symptoms and the ability of SOC to predict symptom changes. Results: Overall, there was no change in psychopathological symptoms. However, on an individual-respondent level, 10% experienced a clinically significant increase in psychopathological symptoms and 15% met cut-off criteria for COVID-19-related traumatic distress. Using BLCS modeling, we identified a high-stress group experiencing an increase in psychopathological symptoms and a decrease in SOC and a low-stress group showing the reversed pattern. Changes in SOC and psychopathological symptoms were predicted by pre-outbreak SOC and psychopathological symptom levels. Conclusions: Although mental health was stable in most respondents, a small group of respondents characterized by low levels of SOC experienced increased psychopathological symptoms from pre- to post-outbreak. Thus, SOC training might be a promising approach to enhance the resistance to stressors.		[Schaefer, Sarah K.; Sopp, M. Roxanne; Schanz, Christian G.; Michael, Tanja] Saarland Univ, Clin Psychol & Psychotherapy, Bldg A 13, DE-66123 Saarbrucken, Germany; [Staginnus, Marlene] Univ Bath, Dept Psychol, Bath, Avon, England; [Goeritz, Anja S.] Freiburg Univ, Dept Occupat & Consumer Psychol, Freiburg, Germany; [Michael, Tanja] Saarland Univ, Clin Psychol & Psychotherapy, Bldg A 13, DE-66123 Saarbrucken, Germany								87							Psychiatry; Psychology	WOS:000584217200007		
J	Ownsworth, Tamara; Cubis, Lee; Prasad, Tali; Foote, Matthew; Kendall, Melissa; Oram, Joanne; Chambers, Suzanne; Pinkham, Mark B.								Feasibility and acceptability of a telehealth platform for delivering the Making Sense of Brain Tumour programme: A mixed-methods pilot study								NEUROPSYCHOLOGICAL REHABILITATION				32	3			378	406		10.1080/09602011.2020.1826331			MAR 16 2022	2022	Glioma is a common type of brain tumour that is associated with neurocognitive and psychosocial impairments. This study primarily aimed to investigate the feasibility and acceptability of a videoconferencing format of the Making Sense of Brain Tumour (Tele-MAST) programme. Recruited from a multidisciplinary brain tumour clinic, participants were randomly allocated to the 10-session Tele-MAST programme or standard care, with the latter group offered Tele-MAST after re-assessment. Semi-structured interviews explored participants' experiences of receiving psychological support via the videoconferencing platform. Measures of mental health and quality of life were administered at pre-intervention and post-intervention assessments. Of the 35 patients deemed eligible for the study, 14 (40% accrual) with high grade (71%) or low grade (29%) glioma participated. They were randomized to the Tele-MAST condition (n = 8) or standard care/waitlist (n = 6). Ten individuals commenced the Tele-MAST programme, of whom eight completed >= 8 sessions. The major themes that depicted their experience of the Tele-MAST programme were ease of access and benefits of remote delivery, tailored support and immediacy, and sense of connection versus disconnection. Most participants (63%) demonstrated clinically reliable improvement at post-intervention. These preliminary findings support the feasibility and acceptability of remote delivery of psychological support and highlight the need for a larger-scale evaluation of the Tele-MAST programme.		[Ownsworth, Tamara; Cubis, Lee; Prasad, Tali] Griffith Univ, Sch Appl Psychol, Mt Gravatt, Qld 4122, Australia; [Ownsworth, Tamara] Griffith Univ, Menzies Hlth Inst Queensland, Gold Coast, Australia; [Foote, Matthew; Pinkham, Mark B.] Univ Queensland, Sch Med, Brisbane, Qld, Australia; [Foote, Matthew; Pinkham, Mark B.] Princess Alexandra Hosp, Dept Radiat Oncol, Brisbane, Qld, Australia; [Kendall, Melissa] Princess Alexandra Hosp, Hopkins Ctr, Acquired Brain Injury Outreach Serv, Brisbane, Qld, Australia; [Kendall, Melissa; Oram, Joanne] Princess Alexandra Hosp, Metro South Hlth, Psychol Dept, Brisbane, Qld, Australia; [Chambers, Suzanne] Univ Technol Sydney, Fac Hlth, Sydney, NSW, Australia; [Ownsworth, Tamara] Griffith Univ, Sch Appl Psychol, Mt Gravatt, Qld 4122, Australia								3							Neurosciences; Psychology	WOS:000573992900001		
J	Hashmi, Salim; Vanderwert, Ross E.; Price, Hope A.; Gerson, Sarah A.								Exploring the Benefits of Doll Play Through Neuroscience								FRONTIERS IN HUMAN NEUROSCIENCE				14						560176	10.3389/fnhum.2020.560176			OCT 1 2020	2020	It has long been hypothesized that pretend play is beneficial to social and cognitive development. However, there is little evidence regarding the neural regions that are active while children engage in pretend play. We examined the activation of prefrontal and posterior superior temporal sulcus (pSTS) regions using near-infrared spectroscopy while 42 4- to 8-year-old children freely played with dolls or tablet games with a social partner or by themselves. Social play activated right prefrontal regions more than solo play. Children engaged the pSTS during solo doll play but not during solo tablet play, suggesting they were rehearsing social cognitive skills more with dolls. These findings suggest social play utilizes multiple neural regions and highlight how doll play can achieve similar patterns of activation, even when children play by themselves. Doll play may provide a unique opportunity for children to practice social interactions important for developing social-emotional skills, such as empathy.		[Hashmi, Salim] Kings Coll London, Inst Psychiat Psychol & Neurosci, Dept Psychol, London, England; [Hashmi, Salim; Vanderwert, Ross E.; Price, Hope A.; Gerson, Sarah A.] Cardiff Univ, Sch Psychol, Cardiff, Wales; [Vanderwert, Ross E.; Gerson, Sarah A.] Cardiff Univ Ctr Human Dev Sci CUCHDS, Sch Psychol, Cardiff, Wales; [Vanderwert, Ross E.] Cardiff Univ Brain Res Imaging Ctr CUBRIC, Sch Psychol, Cardiff, Wales; [Gerson, Sarah A.] Cardiff Univ, Sch Psychol, Cardiff, Wales; [Gerson, Sarah A.] Cardiff Univ Ctr Human Dev Sci CUCHDS, Sch Psychol, Cardiff, Wales								6							Neurosciences; Psychology	WOS:000577597400001		
J	Sensky, Tom								Mental Pain and Suffering: The "Universal Currencies" of the Illness Experience?								PSYCHOTHERAPY AND PSYCHOSOMATICS				89	6			337	344		10.1159/000509587			OCT 2020	2020			[Sensky, Tom] Imperial Coll London, Dept Brain Sci, Fac Med, London, England; [Sensky, Tom] St Bernards Hosp, West London NHS Trust, Hlth Work Team, Southall UB1 3EU, Middx, England								9							Psychiatry; Psychology	WOS:000584217200001		
J	Holden, Jameson; Francisco, Eric; Tommerdahl, Anna; Lensch, Rachel; Kirsch, Bryan; Zai, Laila; Pearce, Alan J.; Favorov, Oleg, V; Dennis, Robert G.; Tommerdahl, Mark								Methodological Problems With Online Concussion Testing								FRONTIERS IN HUMAN NEUROSCIENCE				14						509091	10.3389/fnhum.2020.509091			OCT 1 2020	2020	Reaction time testing is widely used in online computerized concussion assessments, and most concussion studies utilizing the metric have demonstrated varying degrees of difference between concussed and non-concussed individuals. The problem with most of these online concussion assessments is that they predominantly rely on consumer grade technology. Typical administration of these reaction time tests involves presenting a visual stimulus on a computer monitor and prompting the test subject to respond as quickly as possible via keypad or computer mouse. However, inherent delays and variabilities are introduced to the reaction time measure by both computer and associated operating systems that the concussion assessment tool is installed on. The authors hypothesized systems that are typically used to collect concussion reaction time data would demonstrate significant errors in reaction time measurements. To remove human bias, a series of experiments was conducted robotically to assess timing errors introduced by reaction time tests under four different conditions. In the first condition, a visual reaction time test was conducted by flashing a visual stimulus on a computer monitor. Detection was via photodiode and mechanical response was delivered via computer mouse. The second condition employed a mobile device for the visual stimulus, and the mechanical response was delivered to the mobile device's touchscreen. The third condition simulated a tactile reaction time test, and mechanical response was delivered via computer mouse. The fourth condition also simulated a tactile reaction time test, but response was delivered to a dedicated device designed to store the interval between stimulus delivery and response, thus bypassing any problems hypothesized to be introduced by computer and/or computer software. There were significant differences in the range of responses recorded from the four different conditions with the reaction time collected from visual stimulus on a mobile device being the worst and the device with dedicated hardware designed for the task being the best. The results suggest that some of the commonly used visual tasks on consumer grade computers could be (and have been) introducing significant errors for reaction time testing and that dedicated hardware designed for the reaction time task is needed to minimize testing errors.		[Holden, Jameson; Francisco, Eric; Tommerdahl, Anna; Lensch, Rachel; Kirsch, Bryan; Dennis, Robert G.; Tommerdahl, Mark] Cort Metr LLC, Carrboro, NC 27510 USA; [Zai, Laila] Lucent Res, Denver, CO USA; [Pearce, Alan J.] La Trobe Univ, Coll Hlth Sci & Engn, Melbourne, Vic, Australia; [Favorov, Oleg, V; Dennis, Robert G.; Tommerdahl, Mark] Univ N Carolina, Dept Biomed Engn, Chapel Hill, NC 27515 USA; [Tommerdahl, Mark] Cort Metr LLC, Carrboro, NC 27510 USA; [Tommerdahl, Mark] Univ N Carolina, Dept Biomed Engn, Chapel Hill, NC 27515 USA								5							Neurosciences; Psychology	WOS:000578856900001		
J	Colloca, Luana; Akintola, Titilola; Haycock, Nathaniel R.; Blasini, Maxie; Thomas, Sharon; Phillips, Jane; Corsi, Nicole; Schenk, Lieven A.; Wang, Yang								Prior Therapeutic Experiences, Not Expectation Ratings, Predict Placebo Effects: An Experimental Study in Chronic Pain and Healthy Participants								PSYCHOTHERAPY AND PSYCHOSOMATICS				89	6			371	378		10.1159/000507400			OCT 2020	2020	Introduction: Many clinical trials fail because of placebo responses. Prior therapeutic experiences and patients' expectations may affect the capacity to respond to placebos in chronic disorders. Objective: The scope of this study in 763 chronic orofacial pain and healthy study participants was to compare the magnitude and prevalence of placebo effects and determine the putative role of prior therapeutic experiences vs. expectations. Methods: We tested placebo propensity in a laboratory setting by using 2 distinct levels of individually tailored painful stimulations (high pain and low pain) to reinforce expectations and provide a hypoalgesic experience (conditioning phase). Afterwards, both levels of pain were surreptitiously set at a moderate pain level to test for placebo effects (testing phase). Pain and expectation ratings were assessed as primary outcomes using visual analog scales. Results: In both chronic pain and healthy participants, placebo effects were similar in magnitude, with the larger prevalence of responders in the healthy participants. Although chronic pain participants reported higher pain relief expectations, expectations did not account for the occurrence of placebo effects. Rather, prior experience via conditioning strength mediated placebo effects in both pain and healthy participants. Conclusions: These findings indicate that participants with chronic pain conditions display robust placebo effects that are not mediated by expectations but are instead directly linked to prior therapeutic experiences. This confirms the importance of assessing the therapeutic history while raising questions about the utility of expectation ratings. Future research is needed to enhance prediction of responses to placebos, which will ultimately improve clinical trial designs.		[Colloca, Luana; Akintola, Titilola; Haycock, Nathaniel R.; Blasini, Maxie; Thomas, Sharon; Corsi, Nicole; Schenk, Lieven A.; Wang, Yang] Univ Maryland, Sch Nursing, Dept Pain & Translat Symptom Sci, Baltimore, MD 21201 USA; [Colloca, Luana] Univ Maryland, Sch Med, Dept Anesthesiol, Baltimore, MD 21201 USA; [Colloca, Luana] Univ Maryland, Sch Med, Dept Psychiat, Baltimore, MD 21201 USA; [Colloca, Luana; Akintola, Titilola; Schenk, Lieven A.; Wang, Yang] Univ Maryland, Ctr Adv Chron Pain Res, Baltimore, MD 21201 USA; [Phillips, Jane] Univ Maryland, Sch Dent, Dept Neural & Pain Sci, Baltimore, MD 21201 USA; [Colloca, Luana] Univ Maryland, Dept Pain & Translat Symptom Sci, 655 Lombard St,Suite 729A, Baltimore, MD 21201 USA								21							Psychiatry; Psychology	WOS:000584217200005		
J	Kim, Yourim; Baik, Seung Yeon; Jin, Min Jin; Choi, Kee-Hong; Lee, Seung-Hwan								The Mediating Effect of Embitterment on the Relationships between Anxiety, Depression, and Suicidality								PSYCHOTHERAPY AND PSYCHOSOMATICS				89	6			395	397		10.1159/000506647			OCT 2020	2020			[Kim, Yourim; Baik, Seung Yeon; Jin, Min Jin; Lee, Seung-Hwan] Inje Univ, Clin Emot & Cognit Res Lab, Goyang, South Korea; [Choi, Kee-Hong] Korea Univ, Dept Psychol, Seoul, South Korea; [Lee, Seung-Hwan] Inje Univ, Ilsan Paik Hosp, Dept Psychiat, Goyang, South Korea; [Lee, Seung-Hwan] Inje Univ, Coll Med, Ilsan Paik Hosp, Dept Psychiat, 170 Juhwa Ro, Goyang 10380, South Korea								5							Psychiatry; Psychology	WOS:000584217200009		
J	Leichsenring, Falk; Jaeger, Ulrich; Masuhr, Oliver; Dally, Andreas; Duempelmann, Michael; Fricke-Neef, Christian; Spitzer, Carsten; Steinert, Christiane								To Be or Not to Be Improved: Patients' Perception of Symptom Improvement - Linking the SCL-90-R to Patient-Rated Global Improvement in a Large Real-World Treatment Sample								PSYCHOTHERAPY AND PSYCHOSOMATICS				89	6			357	362		10.1159/000509213			OCT 2020	2020	Introduction: From both a clinical and research perspective, it is important to determine what constitutes a perceivable change in commonly used outcome measures. Objective: We aimed to do so for the Symptom Checklist-90-Revised (SCL-90-R). Methods: Patients from a large real-world sample treated with inpatient psychotherapy (n = 4,791) rated improvements in symptoms on a global 5-point Likert scale at discharge. These ratings were related to pre-post changes in the Global Severity Index (GSI) of the SCL-90-R by use of equipercentile linking. Results: A patient rating of 5 ("clearly improved") was found to be equivalent to an absolute pre-post difference in the GSI of 0.67 or to a percentage improvement of 54%, with the latter corresponding to the common definition of response as a 50% reduction in symptoms. A rating of 1 ("clearly worse") was equivalent to an increase in the GSI >0.50 and to a percentage worsening >55%. "Slightly improved" or "slightly worse" (ratings of 4 or 2) corresponded to pre-post changes in the GSI of 0.07 and 0.50. For severely disordered patients, larger changes were required for ratings of improvement, and for less severely disordered patients, larger changes were required for ratings of worsening. Results for depressive, anxiety, and personality disorders were widely consistent with those of the total sample. Conclusions: This study is the first to link patient ratings of improvement or worsening to changes in the SCL-90-R. Results are relevant to both the interpretation of changes in individual patients and of effect sizes in outcome research. Results require replication.		[Leichsenring, Falk; Steinert, Christiane] Univ Giessen, Dept Psychosomat & Psychotherapy, Giessen, Germany; [Jaeger, Ulrich; Masuhr, Oliver; Dally, Andreas; Duempelmann, Michael; Fricke-Neef, Christian; Spitzer, Carsten] Asklepios Clin Tiefenbrunn, Tiefenbronn, Germany; [Leichsenring, Falk; Spitzer, Carsten] Univ Rostock, Dept Psychosomat & Psychotherapeut Med, Rostock, Germany; [Steinert, Christiane] Int Psychoanalyt Univ, Berlin, Germany; [Leichsenring, Falk] Justus Liebig Univ Giessen, Dept Psychosomat & Psychotherapy, Ludwigstr 76, DE-35390 Giessen, Germany								6							Psychiatry; Psychology	WOS:000584217200003		
J	Hilbert, Anja; Herpertz, Stephan; Zipfel, Stephan; Tuschen-Caffier, Brunna; Friederich, Hans-Christoph; Mayr, Andreas; de Zwaan, Martina								Psychopathological Networks in Cognitive-Behavioral Treatments for Binge-Eating Disorder								PSYCHOTHERAPY AND PSYCHOSOMATICS				89	6			379	385		10.1159/000509458			OCT 2020	2020	Introduction: Network approaches to psychopathology posit that mental disorders emerge from interrelated symptoms, and thus connectivity among symptoms are assumed to negatively predict the treatment response and decrease with efficacious treatment. Objective: This study uniquely sought to elucidate the network structure, its change, and its predictive value in cognitive-behavioral therapy (CBT) for binge-eating disorder (BED). Methods: In a multicenter randomized trial of face-to-face and Internet-based guided self-help CBT, 178 individuals with full syndrome and subsyndromal BED, eating disorder and general psychopathology, and body mass index (BMI) were subjected to Gaussian Graphical Network and Exploratory Graph Analyses before and after treatment and at 6-month follow-up. Results: At pretreatment, 3 network communities of: eating disorder psychopathology; general psychopathology; and restraint and BMI were identified, with the latter community included in the first thereafter. Eating disorder-related impairment and self-esteem were the most central symptoms, while BMI and binge eating had the lowest centrality. Network connectivity significantly increased from pre- to posttreatment, with the greatest increases in strength centrality found in binge eating and shape concern, but it did not predict remission from binge eating. Conclusions: With decreasing symptom severity, CBT resulted in a greater integration and connectivity of the psychopathology network in BED, suggesting an increased patient understanding of relations between binge eating and other symptoms. Network connectivity was not a negative prognostic indicator of treatment outcome. These results indicate a need for further research on the predictive value of network variables in the explanation of therapeutic change for patients with BED.		[Hilbert, Anja] Univ Leipzig, Dept Psychosomat Med & Psychotherapy, Integrated Res & Treatment Ctr AdiposityDis, Behav Med Res Unit,Med Ctr, Leipzig, Germany; [Herpertz, Stephan] LWL Univ, Dept Psychosomat Med & Psychotherapy, Bochum, Germany; [Zipfel, Stephan] Med Univ Hosp Tuebingen, Psychosomat Med & Psychotherapy, Tubingen, Germany; [Tuschen-Caffier, Brunna] Univ Freiburg, Dept Clin Psychol & Psychotherapy, Freiburg, Germany; [Friederich, Hans-Christoph] Med Univ Hosp Heidelberg, Dept Gen Internal Med & Psychosomat, Heidelberg, Germany; [Mayr, Andreas] Univ Hosp Bonn, Dept Med Biometry Informat & Epidemiol, Bonn, Germany; [de Zwaan, Martina] Hannover Med Sch, Dept Psychosomat Med & Psychotherapy, Hannover, Germany; [Hilbert, Anja] Univ Leipzig, Med Ctr, Dept Psychosomat Med & Psychotherapy, Semmelweisstr 10, DE-04103 Leipzig, Germany								12							Psychiatry; Psychology	WOS:000584217200006		
J	Beddig, Theresa; Kuehner, Christine								Ambulatory Assessment Characteristics Predict the Clinical Course of Premenstrual Dysphoric Disorder								PSYCHOTHERAPY AND PSYCHOSOMATICS				89	6			393	394		10.1159/000505999			OCT 2020	2020			[Beddig, Theresa; Kuehner, Christine] Heidelberg Univ, Res Grp Longitudinal & Intervent Res, Dept Psychiat & Psychotherapy, Cent Inst Mental Hlth,Med Fac Mannheim, Mannheim, Germany; [Kuehner, Christine] Heidelberg Univ, Res Grp Longitudinal & Intervent Res, Dept Psychiat & Psychotherapy, Cent Inst Mental Hlth,Med Fac Mannheim, Mannheim, Germany; [Kuehner, Christine] Heidelberg Univ, Med Fac Mannheim, Cent Inst Mental Hlth, Dept Psychiat & Psychotherapy, J5, DE-68159 Mannheim, Germany								2							Psychiatry; Psychology	WOS:000584217200008		
J	Beaver, Kevin M.; Joyner, Bridget								How Can Evolutionary Psychology Be Used to Improve Society?								EVOLUTIONARY BEHAVIORAL SCIENCES				14	4			306	310		10.1037/ebs0000212			OCT 2020	2020	A tremendous amount of knowledge has been acquired from evolutionary psychological research. To date, however, findings from this line of research have not been used in a widespread and systematic way to guide and inform policy. The current article outlines some ways in which evolutionary psychology could be applied to policies aimed at reducing criminal and violent behaviors. We conclude by briefly noting some obstacles in translating evolutionary psychological research into policy and offering some suggestions for overcoming these impediments.		[Beaver, Kevin M.; Joyner, Bridget] Florida State Univ, Coll Criminol & Criminal Justice, 145 Convocat Way, Tallahassee, FL 32306 USA; [Beaver, Kevin M.] King Abdulaziz Univ, Ctr Social & Humanities Res, Jeddah, Saudi Arabia; [Beaver, Kevin M.] Florida State Univ, Coll Criminol & Criminal Justice, 145 Convocat Way, Tallahassee, FL 32306 USA								0							Behavioral Sciences; Psychology	WOS:000719331000003		
J	Kanazawa, Satoshi; Lee, Yueh-Ting								What Is the Next Big Question in Evolutionary Psychology?: An Introduction to the Special Issue INTRODUCTION								EVOLUTIONARY BEHAVIORAL SCIENCES				14	4			299	300		10.1037/ebs0000249			OCT 2020	2020			[Kanazawa, Satoshi] London Sch Econ & Polit Sci, Dept Management, Houghton St, London WC2A 2AE, England; [Lee, Yueh-Ting] Southern Illinois Univ Carbondale, Dept Psychol, Carbondale, IL USA; [Kanazawa, Satoshi] London Sch Econ & Polit Sci, Dept Management, Houghton St, London WC2A 2AE, England								0							Behavioral Sciences; Psychology	WOS:000719331000001		
J	Zhu, Nan; Lu, Hui Jing; Chang, Lei								Understanding the Diversity and Fluidity of Human Morality Through Evolutionary Psychology								EVOLUTIONARY BEHAVIORAL SCIENCES				14	4			404	409		10.1037/ebs0000220			OCT 2020	2020	Evolutionary psychology promotes a functional conceptualization of human morality. A key insight from evolutionary studies on morality is that natural selection should favor both diversity and fluidity in morality. Moral diversity is evidenced by moral psychological research on within- and cross-society variations in the endorsement of moral concerns. Moral fluidity is exhibited in the conditional expression of moral hypocrisy, situational effects on intuitive versus rational moral processing, and environmental effects on the degree of prosociality. From this perspective, empirical methods and evolutionary models can be combined in future research to better explicate how morality develops and manifests in various environments.		[Zhu, Nan; Chang, Lei] Univ Macau, Dept Psychol, 3045 E21B Humanities & Social Sci Bldg, Taipa 999078, Macao, Peoples R China; [Lu, Hui Jing] Hong Kong Polytech Univ, Dept Appl Social Sci, Hong Kong, Peoples R China; [Chang, Lei] Univ Macau, Dept Psychol, 3045 E21B Humanities & Social Sci Bldg, Taipa 999078, Macao, Peoples R China								0							Behavioral Sciences; Psychology	WOS:000719331000018		
J	Hill, Sarah E.								The Next Big Question in Evolutionary Psychology Is "How Does It Work"?								EVOLUTIONARY BEHAVIORAL SCIENCES				14	4			332	335		10.1037/ebs0000206			OCT 2020	2020	Over the past 30 years, the field of evolutionary psychology has made tremendous strides in identifying the adaptive function(s) served by numerous features of human nature. In so doing, the field has provided researchers in psychology new insights into the design of the human mind. As the field continues to mature, however, the next big question that needs to be addressed by evolutionary psychologists in their research is "how does it work?" That is. the next breakthroughs in our understanding of psychological function and dysfunction will come from research that is explicit in defining the neurobiological underpinnings of proposed psychological adaptations. In the following, I describe how incorporating insights from neuroscience will move the field forward vertically by advancing our understanding of the processes through which the brain generates fitness-promoting behaviors across a range of environments. Further, such an integration will give neuroscience-a field that, although methodologically rigorous, tends to be overly myopic and lacking a strong theoretical backbone-a much-needed metatheory.		[Hill, Sarah E.] Texas Christian Univ, Ft Worth, TX 76129 USA; [Hill, Sarah E.] Texas Christian Univ, Dept Psychol, 2955 South Univ Dr, Ft Worth, TX 76129 USA								0							Behavioral Sciences; Psychology	WOS:000719331000019		
