journal_name,journal_website,journal_scope,journal_article_types,COPE (T = member; F = not a member),"eligible (T = publishes empirical, F = no empirical)",primary_coder,secondary_coder,,preserve_journal_scope,preserve_article_types,additional_notes,,ISSN,eISSN,Web of Science Categories,WOS_first_psych_category
CLINICAL CHILD PSYCHOLOGY AND PSYCHIATRY,https://journals.sagepub.com/home/ccp,https://journals.sagepub.com/aims-scope/CCP,https://journals.sagepub.com/author-instructions/CCP#ArticleTypes,T,T,NM,,,https://osf.io/9hqe2,https://osf.io/2au3z,,,1359-1045,1461-7021,Psychiatry | Psychology,Psychology
NORDIC PSYCHOLOGY,https://www.tandfonline.com/toc/rnpy20/current,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=rnpy20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rnpy20,F,T,NM,,,https://osf.io/3ydzf,https://osf.io/fe36u,,,1901-2276,1904-0016,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
JOURNAL OF MEDIA PSYCHOLOGY-THEORIES METHODS AND APPLICATIONS,https://www.hogrefe.com/us/journal/journal-of-media-psychology,https://www.hogrefe.com/us/journal/journal-of-media-psychology,https://www.hogrefe.com/us/index.php?eID=dumpFile&t=f&f=3721&token=382fb69cc8ff6f8e3c3c21881d25a8427bc983b3,F,T,NM,,,https://osf.io/k2usr,https://osf.io/7bq62,,,1864-1105,2151-2388,"Communication | Psychology, Multidisciplinary","Psychology, Multidisciplinary"
INFANTS & YOUNG CHILDREN,https://journals.lww.com/iycjournal/pages/default.aspx,https://journals.lww.com/iycjournal/Pages/aboutthejournal.aspx,https://edmgr.ovid.com/lww-final/accounts/authT.pdf,T,T,NM,,,https://osf.io/8p4z6,https://osf.io/e7c5x,TH found article types,,0896-3746,1550-5081,"Education, Special | Psychology, Development | Rehabilitation","Psychology, Development"
CAREER DEVELOPMENT INTERNATIONAL,https://www.emeraldgrouppublishing.com/journal/cdi,https://www.emeraldgrouppublishing.com/journal/cdi#journal_aims_scope,https://www.emeraldgrouppublishing.com/journal/cdi#journal_aims_scope (click 'Author guidelines' tab),T,T,NM,,,https://osf.io/5ng2k,https://osf.io/zcr3u,,,1362-0436,1758-6003,"Psychology, Applied | Management","Psychology, Applied"
TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,https://www.sciencedirect.com/journal/transportation-research-part-f-traffic-psychology-and-behaviour,https://www.sciencedirect.com/journal/transportation-research-part-f-traffic-psychology-and-behaviour/about/aims-and-scope,,T,T,NM,,,https://osf.io/gq5f7,https://osf.io/rf6p8,,,1369-8478,1873-5517,"Psychology, Applied | Transportation","Psychology, Applied"
BMC PSYCHOLOGY,https://bmcpsychology.biomedcentral.com/,https://bmcpsychology.biomedcentral.com/about,https://bmcpsychology.biomedcentral.com/submission-guidelines/preparing-your-manuscript/matters-arising,T,T,NM,,,https://osf.io/sr5ym,https://osf.io/s23px,,,NA,2050-7283,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
NONLINEAR DYNAMICS PSYCHOLOGY AND LIFE SCIENCES,https://www.societyforchaostheory.org/ndpls/,https://www.societyforchaostheory.org/ndpls/,https://www.societyforchaostheory.org/ndpls/,F,T,NM,,,https://osf.io/3t4pk,https://osf.io/gdy7u,,,1090-0578,1573-6652,"Social Sciences, Mathematical Methods | Psychology, Mathematical","Psychology, Mathematical"
JOURNAL OF HEALTH PSYCHOLOGY,https://journals.sagepub.com/home/hpq,https://journals.sagepub.com/aims-scope/HPQ,https://journals.sagepub.com/author-instructions/HPQ#ArticleTypes,T,T,NM,,,https://osf.io/4pz6d,https://osf.io/pykmt,,,1359-1053,1461-7277,"Psychology, Clinical","Psychology, Clinical"
PSYCHOLOGY OF SPORT AND EXERCISE,https://www.sciencedirect.com/journal/psychology-of-sport-and-exercise,https://www.sciencedirect.com/journal/psychology-of-sport-and-exercise/about/aims-and-scope,,T,T,NM,,,https://osf.io/k3n7g,https://osf.io/p8674,,,1469-0292,1878-5476,Psychology | Sport Sciences,Psychology | Sport
ASIAN AMERICAN JOURNAL OF PSYCHOLOGY,https://www.apa.org/pubs/journals/aap/,https://www.apa.org/pubs/journals/aap/,Could not find anything more detailed than Scope page.,F,T,NM,,,https://osf.io/836wd,Could not find anything more detailed than Scope page.,TH checked and also cannot find article types page,,1948-1985,1948-1993,"Ethnic Studies | Psychology, Multidisciplinary","Psychology, Multidisciplinary"
COGNITION AND INSTRUCTION,https://www.tandfonline.com/journals/hcgi20,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=hcgi20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=hcgi20,T,T,NM,,,https://osf.io/wsrzy,https://osf.io/8csyf,,,0737-0008,1532-690X,"Psychology, Educational | Psychology, Experimental","Psychology, Educational"
JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY,https://www.apa.org/pubs/journals/ccp,https://www.apa.org/pubs/journals/ccp,https://www.apa.org/pubs/journals/ccp,T,T,NM,,,https://osf.io/hgbkc,https://osf.io/hgbkc,,,0022-006X,1939-2117,"Psychology, Clinical","Psychology, Clinical"
CAREER DEVELOPMENT QUARTERLY,https://onlinelibrary.wiley.com/journal/21610045,https://onlinelibrary.wiley.com/page/journal/21610045/homepage/productinformation.html,https://onlinelibrary.wiley.com/page/journal/21610045/homepage/forauthors.html,F,T,NM,,,https://osf.io/jzdsv,https://osf.io/kzxq6,,,0889-4019,2161-0045,"Psychology, Applied","Psychology, Applied"
VISUAL COGNITION,https://www.tandfonline.com/journals/pvis20,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=pvis20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=pvis20,T,T,NM,,,https://osf.io/ympk2,https://osf.io/ythrd,,,1350-6285,1464-0716,"Psychology, Experimental","Psychology, Experimental"
ANALES DE PSICOLOGIA,https://revistas.um.es/analesps/issue/view/21461,https://revistas.um.es/analesps/about,https://revistas.um.es/analesps/about/submissions,F,T,AW,,,https://osf.io/3agkt,https://osf.io/kgq7w,,,0212-9728,1695-2294,Psychology,Psychology
CHILD ABUSE & NEGLECT,https://www.sciencedirect.com/journal/child-abuse-and-neglect,https://www.sciencedirect.com/journal/child-abuse-and-neglect/about/aims-and-scope,https://www.elsevier.com/journals/child-abuse-and-neglect/0145-2134/guide-for-authors,T,T,NM,,,https://osf.io/t7gb2,https://osf.io/7urwj,,,0145-2134,1873-7757,"Family Studies | Psychology, Social | Social Work","Psychology, Social"
INFANCY,https://onlinelibrary.wiley.com/journal/15327078,https://onlinelibrary.wiley.com/page/journal/15327078/homepage/productinformation.html,https://onlinelibrary.wiley.com/page/journal/15327078/homepage/forauthors.html,F,T,NM,,,https://osf.io/fkuxq,https://osf.io/nvgra,,,1525-0008,1532-7078,"Psychology, Development","Psychology, Development"
SPATIAL COGNITION AND COMPUTATION,https://www.tandfonline.com/journals/hscc20,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=hscc20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=hscc20,T,T,NM,,,https://osf.io/4yqmb,https://osf.io/9jcr2,,,1387-5868,1542-7633,"Psychology, Experimental","Psychology, Experimental"
PSIHOLOGIJA,https://www.dps.org.rs/en/psihologija-journal/,https://www.dps.org.rs/wp-content/uploads/2009/03/Instructions_for_authors.pdf,https://www.dps.org.rs/wp-content/uploads/2009/03/Instructions_for_authors.pdf,F,T,AW,,,https://osf.io/95gxe,https://osf.io/ezrq6,"""About"" page included under scope as more detailed than ""scope"" written in author instructions (type link)",,0048-5705,1451-9283,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,https://bpspsychub.onlinelibrary.wiley.com/journal/20448317,https://bpspsychub.onlinelibrary.wiley.com/hub/journal/20448317/homepage/productinformation.html,https://bpspsychub.onlinelibrary.wiley.com/hub/journal/20448317/homepage/forauthors.html,T,F,NM,,,https://osf.io/faw26,https://osf.io/ybzje,,,0007-1102,2044-8317,"Psychology, Mathematical | Psychology, Experimental","Psychology, Mathematical"
ZEITSCHRIFT FUR ARBEITS-UND ORGANISATIONSPSYCHOLOGIE,https://econtent.hogrefe.com/journal/zao,https://www.hogrefe.com/de/zeitschrift/zeitschrift-fuer-arbeits-und-organisationspsychologie,https://www.hogrefe.com/de/index.php?eID=dumpFile&t=f&f=2321&token=9c2b939d9c472cba8d3e281f9de9c48f071ccf6b,F,T,AW,,,https://osf.io/2zhyx,https://osf.io/3av2g,,,0932-4089,2190-6270,"Psychology, Applied","Psychology, Applied"
STUDIES IN PSYCHOLOGY,https://www.tandfonline.com/journals/redp20,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=redp20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=redp20,F,T,NM,,,https://osf.io/qe8rw,https://osf.io/96b27,,,0210-9395,1579-3699,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
DEVIANT BEHAVIOR,https://www.tandfonline.com/journals/udbh20,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=udbh20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=udbh20,T,T,NM,,,https://osf.io/rgx6k,https://osf.io/stzmx,,,0163-9625,1521-0456,"Criminology & Penology | Psychology, Social | Sociology","Psychology, Social"
JOURNAL OF SPORT & EXERCISE PSYCHOLOGY,https://journals.humankinetics.com/view/journals/jsep/jsep-overview.xml,https://journals.humankinetics.com/view/journals/jsep/jsep-overview.xml?tab_body=about,https://journals.humankinetics.com/view/journals/jsep/jsep-overview.xml?tab_body=author-guidelines,F,T,NM,,,https://osf.io/wy8gx,https://osf.io/pqbhz,,,0895-2779,1543-2904,Psychology | Sport Sciences,Psychology | Sport
JOURNAL OF HEALTH AND SOCIAL BEHAVIOR,https://journals.sagepub.com/home/hsb,https://journals.sagepub.com/aims-scope/HSB,https://journals.sagepub.com/author-instructions/HSB,F,T,NM,,,https://osf.io/f32uq,https://osf.io/vfg3s,,,0022-1465,2150-6000,"Public, Environmental & Occupational Health | Psychology, Social | Social Sciences, Biomedical | Sociology","Psychology, Social"
ACTA PSYCHOLOGICA,https://www.sciencedirect.com/journal/acta-psychologica,https://www.sciencedirect.com/journal/acta-psychologica/about/aims-and-scope,https://www.elsevier.com/journals/acta-psychologica/0001-6918/guide-for-authors,T,T,AW,,,https://osf.io/7qc8h,https://osf.io/qh6f3,,,0001-6918,1873-6297,"Psychology, Experimental","Psychology, Experimental"
JOURNAL OF EXPERIMENTAL EDUCATION,https://www.tandfonline.com/journals/vjxe20,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=vjxe20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=vjxe20,T,T,AW,,,https://osf.io/n9vzj,https://osf.io/wp2x8,,,0022-0973,1940-0683,"Education & Educational Research | Psychology, Educational","Psychology, Educational"
EARLY EDUCATION AND DEVELOPMENT,https://www.tandfonline.com/journals/heed20,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=heed20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=heed20,T,T,AW,,,https://osf.io/fg8jk,https://osf.io/hzm97,,,1040-9289,1556-6935,"Education & Educational Research | Psychology, Educational | Psychology, Development","Psychology, Educational"
ANNUAL REVIEW OF ORGANIZATIONAL PSYCHOLOGY AND ORGANIZATIONAL BEHAVIOR,https://www.annualreviews.org/journal/orgpsych,https://www.annualreviews.org/journal/orgpsych,https://www.annualreviews.org/page/authors/editorial-policies,T,F,AW,,,https://osf.io/c2gkd,https://osf.io/ab6ym,,,2327-0608,2327-0616,"Psychology, Applied | Management","Psychology, Applied"
ORGANIZATIONAL DYNAMICS,https://www.sciencedirect.com/journal/organizational-dynamics/,https://www.sciencedirect.com/journal/organizational-dynamics/about/aims-and-scope,https://www.elsevier.com/journals/organizational-dynamics/0090-2616/guide-for-authors,T,F,AW,,,https://osf.io/g7re4,https://osf.io/r4859,,,0090-2616,1873-3530,"Business | Psychology, Applied | Management","Psychology, Applied"
ATTACHMENT & HUMAN DEVELOPMENT,https://seasinternational.org/attachment-human-development-journal/ ; https://www.tandfonline.com/journals/rahd20,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=rahd20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rahd20,T,T,AW,,,https://osf.io/w26cn,https://osf.io/yds7j,,,1461-6734,1469-2988,"Psychology, Development","Psychology, Development"
FOCUS ON AUTISM AND OTHER DEVELOPMENTAL DISABILITIES,https://journals.sagepub.com/home/foa,https://journals.sagepub.com/aims-scope/FOA,http://s3-us-west-2.amazonaws.com/clarivate-scholarone-prod-us-west-2-s1m-public/wwwRoot/prod1/societyimages/focus/AuthorGuidelines_Focus_web3-22.pdf,T,T,AW,,,https://osf.io/qg2cu,https://osf.io/yt3fd,,,1088-3576,1538-4829,"Education, Special | Psychology, Development | Rehabilitation","Psychology, Development"
PSYCHOLOGICAL STUDIES,https://www.springer.com/journal/12646,https://www.springer.com/journal/12646/aims-and-scope,https://www.springer.com/journal/12646/submission-guidelines,T,T,AW,,,https://osf.io/pa9d3,https://osf.io/tzy98,,,0033-2968,0974-9861,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
EUROPEAN JOURNAL OF DEVELOPMENTAL PSYCHOLOGY,https://www.eadp.info/journal/ ; https://www.tandfonline.com/journals/pedp20,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=pedp20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=pedp20,T,T,AW,,,https://osf.io/5kdwm,https://osf.io/9xbtf,,,1740-5629,1740-5610,"Psychology, Development","Psychology, Development"
ADAPTIVE HUMAN BEHAVIOR AND PHYSIOLOGY,https://www.springer.com/journal/40750,https://www.springer.com/journal/40750/aims-and-scope,https://www.springer.com/journal/40750/submission-guidelines,T,T,AW,,,https://osf.io/5hd72,https://osf.io/g6jnm,,,2198-7335,2198-7335,"Psychology, Biological","Psychology, Biological"
EUROPEAN JOURNAL OF PERSONALITY,https://eapp.org/journals/european-journal-of-personality/ ; https://journals.sagepub.com/home/erp,https://journals.sagepub.com/aims-scope/ERP,https://journals.sagepub.com/author-instructions/ERP,T,T,AW,,,https://osf.io/q3jpr,https://osf.io/rhw83,,,0890-2070,1099-0984,"Psychology, Social","Psychology, Social"
INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY-PERSPECTIVES ON SCIENCE AND PRACTICE,https://www.cambridge.org/core/journals/industrial-and-organizational-psychology,https://www.cambridge.org/core/journals/industrial-and-organizational-psychology/information,https://www.cambridge.org/core/journals/industrial-and-organizational-psychology/information/instructions-contributorsmanager/file/589b00b0ad9b7ebb1ff8552c/IOP-ifc-commentaryguidelines.pdf,T,F,AW,,,https://osf.io/kbwqx,https://osf.io/yut9e,,,1754-9426,1754-9434,"Psychology, Applied","Psychology, Applied"
RESEARCH IN HUMAN DEVELOPMENT,https://www.tandfonline.com/journals/hrhd20,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=hrhd20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=hrhd20,T,T,AW,,,https://osf.io/fr9k5,https://osf.io/6t4fb,,,1542-7609,1542-7617,"Psychology, Development","Psychology, Development"
PSYCH JOURNAL,https://onlinelibrary.wiley.com/journal/20460260,https://onlinelibrary.wiley.com/page/journal/20460260/homepage/productinformation.html,https://onlinelibrary.wiley.com/page/journal/20460260/homepage/forauthors.html,T,T,AW,,,https://osf.io/94ckh,https://osf.io/9rwg7,,,2046-0252,2046-0260,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
EDUCATIONAL AND DEVELOPMENTAL PSYCHOLOGIST,https://www.tandfonline.com/journals/rdvp20,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=rdvp20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rdvp20,T,T,AW,,,https://osf.io/uq23e,https://osf.io/5npa8,,,2059-0776,2059-0784,"Psychology, Development","Psychology, Development"
STUDIES IN EDUCATIONAL EVALUATION,https://www.sciencedirect.com/journal/studies-in-educational-evaluation,https://www.sciencedirect.com/journal/studies-in-educational-evaluation/about/aims-and-scope,https://www.elsevier.com/journals/studies-in-educational-evaluation/0191-491X/guide-for-authors,T,T,AW,,,https://osf.io/67hsq,https://osf.io/q23kn,,,0191-491X,NA,"Education & Educational Research | Psychology, Educational","Psychology, Educational"
CUADERNOS DE NEUROPSICOLOGIA-PANAMERICAN JOURNAL OF NEUROPSYCHOLOGY,https://cnps.cl/index.php/cnps,https://cnps.cl/index.php/cnps,https://www.cnps.cl/index.php/cnps/about/submissions#authorGuidelines,F,T,AW,,,https://osf.io/v9txh,https://osf.io/ny37h,,,0718-4123,0718-4123,"Psychology, Biological","Psychology, Biological"
JOURNAL OF TRUST RESEARCH,https://www.tandfonline.com/journals/rjtr20,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=rjtr20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rjtr20,T,T,AW,,,https://osf.io/ytxdr,https://osf.io/9mc7p,,,2151-5581,2151-559X,"Management | Psychology, Social","Psychology, Social"
ZEITSCHRIFT FUR ENTWICKLUNGSPSYCHOLOGIE UND PADAGOGISCHE PSYCHOLOGIE,https://econtent.hogrefe.com/journal/zep,https://www.hogrefe.com/de/zeitschrift/zeitschrift-fuer-entwicklungspsychologie-und-paedagogische-psychologie,Could not find anything more specific than on 'Scope' link,F,T,AW,,,https://osf.io/jcvxm,Could not find anything more specific than on 'Scope' link,TH checked and also cannot find article types page,,0049-8637,2190-6262,"Psychology, Educational","Psychology, Educational"
NEUROPSYCHOLOGICAL TRENDS,https://www.ledonline.it/NeuropsychologicalTrends/index.html,https://www.ledonline.it/NeuropsychologicalTrends/index.html?/NeuropsychologicalTrends/thejournal.html#purpose,https://www.ledonline.it/NeuropsychologicalTrends/index.html?/NeuropsychologicalTrends/authors.html#guide,F,T,AW,,,https://osf.io/9hwty,https://osf.io/nwq38 ; https://osf.io/uqkpc,,,1970-321X,1970-3201,Psychology,Psychology
CORTEX,https://www.sciencedirect.com/journal/cortex,https://www.sciencedirect.com/journal/cortex/about/aims-and-scope,https://www.elsevier.com/journals/cortex/0010-9452/guide-for-authors,F,T,AW,,,https://osf.io/ntgjx,https://osf.io/hkd2n ; https://osf.io/59gbv,,,0010-9452,1973-8102,"Psychology, Experimental","Psychology, Experimental"
PSYCHOLOGIST,https://www.bps.org.uk/psychologist,https://www.bps.org.uk/about-psychologist,https://cms.bps.org.uk/sites/default/files/2022-07/psychologistpolicyjun2021.pdf ; broken link for submission information https://thepsychologist.bps.org.uk/contribute,F,F,AW,,,https://osf.io/a39nf,https://osf.io/necyh,"https://cms.bps.org.uk/sites/default/files/2022-07/psychologistpolicyjun2021.pdf ; Section 3.3 states ""we are a magazine not a journal""",,0952-8229,0952-8229,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
JOURNAL OF COGNITION AND CULTURE,https://brill.com/view/journals/jocc/jocc-overview.xml?language=en,https://brill.com/view/journals/jocc/jocc-overview.xml,https://brill.com/fileasset/downloads_products/Author_Instructions/JOCC.pdf,F,T,AW,,,https://osf.io/zbejw,https://osf.io/9mpyq,,,1567-7095,1568-5373,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
JOURNAL OF DUAL DIAGNOSIS,https://www.tandfonline.com/journals/wjdd20,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=wjdd20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=wjdd20#article-types,T,T,AW,,,https://osf.io/e3r4j,https://osf.io/3cnef,,,1550-4263,1550-4271,"Psychology, Clinical | Substance Abuse | Psychiatry","Psychology, Clinical"
JOURNAL OF PERSONNEL PSYCHOLOGY,https://www.hogrefe.com/us/journal/journal-of-personnel-psychology,https://www.hogrefe.com/us/journal/journal-of-personnel-psychology,https://www.hogrefe.com/us/index.php?eID=dumpFile&t=f&f=11196&token=f265307d3bca17481a03d49109d15c55c5c5c999,F,T,AW,,,https://osf.io/kj78y,https://osf.io/yz4cj,,,1866-5888,2190-5150,"Psychology, Applied","Psychology, Applied"
AUTISM & DEVELOPMENTAL LANGUAGE IMPAIRMENTS,https://journals.sagepub.com/home/DLI,https://journals.sagepub.com/aims-scope/DLI,https://journals.sagepub.com/author-instructions/DLI#ArticleTypes,T,T,AW,,,https://osf.io/g498h,https://osf.io/mknad,,,2396-9415,2396-9415,"Linguistics | Psychology, Development | Education, Special","Psychology, Development"
ECOLOGICAL PSYCHOLOGY,https://www.tandfonline.com/journals/heco20,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=heco20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=heco20,T,T,AW,,,https://osf.io/5mgzy,https://osf.io/4e9jg,,,1040-7413,1532-6969,"Psychology, Experimental","Psychology, Experimental"
APPLIED COGNITIVE PSYCHOLOGY,https://onlinelibrary.wiley.com/journal/10990720,https://onlinelibrary.wiley.com/page/journal/10990720/homepage/productinformation.html,https://onlinelibrary.wiley.com/page/journal/10990720/homepage/forauthors.html,F,T,AW,,,https://osf.io/cfyah,https://osf.io/dgjsx,,,0888-4080,1099-0720,"Psychology, Experimental","Psychology, Experimental"
COMPUTERS IN HUMAN BEHAVIOR,https://journals.elsevier.com/computers-in-human-behavior%0A,https://journals.elsevier.com/computers-in-human-behavior%0A,https://www.elsevier.com/journals/computers-in-human-behavior/0747-5632/guide-for-authors,T,T,AW,,,https://osf.io/k2a5v,https://osf.io/y38pb,,,0747-5632,1873-7692,"Psychology, Multidisciplinary | Psychology, Experimental","Psychology, Multidisciplinary"
PERCEPTUAL AND MOTOR SKILLS,https://journals.sagepub.com/home/pms,https://journals.sagepub.com/aims-scope/PMS,https://journals.sagepub.com/author-instructions/PMS#1.2,T,T,AW,,,https://osf.io/ewzn8,https://osf.io/5tmec,,,0031-5125,1558-688X,"Psychology, Experimental","Psychology, Experimental"
POLITICAL PSYCHOLOGY,https://onlinelibrary.wiley.com/journal/14679221,https://onlinelibrary.wiley.com/page/journal/14679221/homepage/productinformation.html,https://onlinelibrary.wiley.com/page/journal/14679221/homepage/forauthors.html,T,T,AW,,,https://osf.io/q5g8b,https://osf.io/487zd,,,0162-895X,1467-9221,"Political Science | Psychology, Social","Psychology, Social"
