journal_name,journal_website,journal_scope,journal_article_types,COPE (T = member; F = not a member),"eligible (T = publishes empirical, F = no empirical)",primary_coder,secondary_coder,...9,preserve_journal_scope,preserve_article_types,additional_notes,...13,ISSN,eISSN,Total Citations,2021 JIF,JIF Quartile,2021 JCI,Category,WOS_first_psych_category
DEVELOPMENT AND PSYCHOPATHOLOGY,https://www.cambridge.org/core/journals/development-and-psychopathology,https://www.cambridge.org/core/journals/development-and-psychopathology/information/author-instructions,https://www.cambridge.org/core/journals/development-and-psychopathology/information/author-instructions/preparing-your-materials ; no specific types given,TRUE,TRUE,AW,TEH,NA,https://osf.io/efswu,https://osf.io/zg7aq,NA,NA,0954-5794,1469-2198,14942,5.317,Q1,1.36,"PSYCHOLOGY, DEVELOPMENTAL - SSCI","PSYCHOLOGY, DEVELOPMENTAL"
ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES,https://www.sciencedirect.com/journal/organizational-behavior-and-human-decision-processes,https://www.sciencedirect.com/journal/organizational-behavior-and-human-decision-processes/about/aims-and-scope,https://www.elsevier.com/journals/organizational-behavior-and-human-decision-processes/0749-5978/guide-for-authors,TRUE,TRUE,AW,SV,NA,https://osf.io/96285,https://osf.io/8qrfh,NA,NA,0749-5978,1095-9920,17800,5.606,Q1,1.4,"PSYCHOLOGY, APPLIED - SSCI; PSYCHOLOGY, SOCIAL - SSCI","PSYCHOLOGY, APPLIED"
JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,https://acamh.onlinelibrary.wiley.com/journal/14697610,https://acamh.onlinelibrary.wiley.com/hub/journal/14697610/productinformation.html,https://acamh.onlinelibrary.wiley.com/hub/journal/14697610/forauthors.html,TRUE,TRUE,AW,TEH,NA,https://osf.io/hbzj2,https://osf.io/vcxgd,NA,NA,0021-9630,1469-7610,26220,8.265,Q1,1.78,"PSYCHOLOGY - SCIE; PSYCHOLOGY, DEVELOPMENTAL - SSCI",PSYCHOLOGY - SCIE
INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,https://www.springer.com/journal/11469,https://www.springer.com/journal/11469/aims-and-scope,https://www.springer.com/journal/11469/submission-guidelines,TRUE,TRUE,AW,TEH,NA,https://osf.io/q7mhe,https://osf.io/ngpkt,NA,NA,1557-1874,1557-1882,7217,11.555,Q1,2.15,"PSYCHOLOGY, CLINICAL - SSCI","PSYCHOLOGY, CLINICAL"
JOURNAL OF ORGANIZATIONAL BEHAVIOR,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1379,https://onlinelibrary.wiley.com/page/journal/10991379/homepage/productinformation.html,https://onlinelibrary.wiley.com/page/journal/10991379/homepage/forauthors.html#manuscript,FALSE,TRUE,AW,TEH,NA,https://osf.io/n3pt8,https://osf.io/9wxc7,NA,NA,0894-3796,1099-1379,19759,10.079,Q1,1.69,"PSYCHOLOGY, APPLIED - SSCI","PSYCHOLOGY, APPLIED"
PSYCHOTHERAPY AND PSYCHOSOMATICS,https://www.karger.com/pps,https://www.karger.com/pps/pages/guidelines#sec1,https://www.karger.com/pps/pages/guidelines#sec5,TRUE,TRUE,AW,RT,NA,https://osf.io/7t6cd,https://osf.io/7t6cd,NA,NA,0033-3190,1423-0348,6813,25.617,Q1,3.8,PSYCHOLOGY - SCIE,PSYCHOLOGY - SCIE
EDUCATIONAL PSYCHOLOGIST,https://www.tandfonline.com/journals/hedp20,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=hedp20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=hedp20,FALSE,TRUE,AW,SV,NA,https://osf.io/nu7tj,https://osf.io/e52yp,NA,NA,0046-1520,1532-6985,8108,8.209,Q1,1.82,"PSYCHOLOGY, EDUCATIONAL - SSCI","PSYCHOLOGY, EDUCATIONAL"
APPLIED PSYCHOLOGY-AN INTERNATIONAL REVIEW-PSYCHOLOGIE APPLIQUEE-REVUE INTERNATIONALE,https://iaap-journals.onlinelibrary.wiley.com/journal/14640597,https://iaap-journals.onlinelibrary.wiley.com/hub/journal/14640597/homepage/productinformation.html,https://iaap-journals.onlinelibrary.wiley.com/hub/journal/14640597/homepage/forauthors.html,TRUE,TRUE,AW,SV,NA,https://osf.io/vmqfe,https://osf.io/ypcjx,COPE membership only found through ISSN search,NA,0269-994X,1464-0597,6117,5.414,Q1,1.55,"PSYCHOLOGY, APPLIED - SSCI","PSYCHOLOGY, APPLIED"
LEADERSHIP QUARTERLY,https://www.sciencedirect.com/journal/the-leadership-quarterly,https://www.sciencedirect.com/journal/the-leadership-quarterly/about/aims-and-scope,https://www.elsevier.com/journals/the-leadership-quarterly/1048-9843/guide-for-authors,TRUE,TRUE,AW,SV,NA,https://osf.io/jubgh,https://osf.io/97nz8,NA,NA,1048-9843,1873-3409,14530,9.924,Q1,2.08,"PSYCHOLOGY, APPLIED - SSCI","PSYCHOLOGY, APPLIED"
DEVELOPMENTAL REVIEW,https://www.sciencedirect.com/journal/developmental-review?start_rank=1681,https://www.sciencedirect.com/journal/developmental-review/about/aims-and-scope,https://www.elsevier.com/journals/developmental-review/0273-2297/guide-for-authors,TRUE,FALSE,AW,NA,NA,https://osf.io/xwatr,https://osf.io/9ck5r,NA,NA,0273-2297,1090-2406,5537,8.361,Q1,1.44,"PSYCHOLOGY, DEVELOPMENTAL - SSCI","PSYCHOLOGY, DEVELOPMENTAL"
NATURE HUMAN BEHAVIOUR,https://www.nature.com/nathumbehav/,https://www.nature.com/nathumbehav/aims,https://www.nature.com/nathumbehav/content,TRUE,TRUE,AW,SV,NA,https://osf.io/r6nmk,https://osf.io/3bg9m ; https://osf.io/sqp7v,NA,NA,2397-3374,2397-3374,11204,24.252,Q1,4.7,"PSYCHOLOGY, EXPERIMENTAL - SSCI","PSYCHOLOGY, EXPERIMENTAL"
EUROPEAN JOURNAL OF PSYCHOTRAUMATOLOGY,https://www.tandfonline.com/journals/zept20,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=zept20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=zept20,TRUE,TRUE,AW,SV,NA,https://osf.io/d48hu,https://osf.io/2skxg,NA,NA,2000-8198,2000-8066,4562,5.783,Q1,1.13,"PSYCHOLOGY, CLINICAL - SSCI","PSYCHOLOGY, CLINICAL"
INTERNATIONAL JOURNAL OF TRANSGENDERISM,https://www.tandfonline.com/journals/wijt21,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=wijt21,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=wijt21,TRUE,TRUE,AW,RT,NA,https://osf.io/9zkhq,https://osf.io/9sxtb,NA,NA,1553-2739,1434-4599,1744,8.606,Q1,2.47,"PSYCHOLOGY, CLINICAL - SSCI","PSYCHOLOGY, CLINICAL"
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL,https://www.apa.org/pubs/journals/xge/,https://www.apa.org/pubs/journals/xge/,https://www.apa.org/pubs/journals/xge/,TRUE,TRUE,AW,RT,NA,https://osf.io/uf9bw,https://osf.io/uf9bw,NA,NA,0096-3445,1939-2222,16088,5.498,Q1,1.64,"PSYCHOLOGY, EXPERIMENTAL - SSCI","PSYCHOLOGY, EXPERIMENTAL"
INTERNATIONAL PSYCHOGERIATRICS,https://www.cambridge.org/core/journals/international-psychogeriatrics,https://www.cambridge.org/core/journals/international-psychogeriatrics/information/author-instructions,https://www.cambridge.org/core/journals/international-psychogeriatrics/information/author-instructions,TRUE,TRUE,AW,TEH,NA,https://osf.io/x3huk,https://osf.io/x3huk,NA,NA,1041-6102,1741-203X,11007,7.191,Q1,1.07,"PSYCHOLOGY - SCIE; PSYCHOLOGY, CLINICAL - SSCI",PSYCHOLOGY - SCIE
DEPRESSION AND ANXIETY,https://onlinelibrary.wiley.com/journal/15206394,https://onlinelibrary.wiley.com/page/journal/15206394/homepage/productinformation.html,https://www.hindawi.com/journals/da/guidelines/,TRUE,TRUE,AW,TEH,NA,https://osf.io/zpha3,https://osf.io/wv2jr,NA,NA,1091-4269,1520-6394,13886,8.128,Q1,1.8,"PSYCHOLOGY - SCIE; PSYCHOLOGY, CLINICAL - SSCI",PSYCHOLOGY - SCIE
EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,https://www.escap.eu/ecap-journal,https://www.springer.com/journal/787/aims-and-scope,https://www.springer.com/journal/787/submission-guidelines?detailsPage=pltci_1753271,FALSE,TRUE,AW,RT,NA,https://osf.io/y936u,https://osf.io/bnckq,NA,NA,1018-8827,1435-165X,9448,5.349,Q1,1.32,"PSYCHOLOGY, DEVELOPMENTAL - SSCI","PSYCHOLOGY, DEVELOPMENTAL"
HEALTH PSYCHOLOGY REVIEW,https://www.tandfonline.com/journals/rhpr20,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=rhpr20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rhpr20,TRUE,TRUE,AW,SV,NA,https://osf.io/t6qfk,https://osf.io/2n4pe,NA,NA,1743-7199,1743-7202,3753,9.638,Q1,1.61,"PSYCHOLOGY, CLINICAL - SSCI","PSYCHOLOGY, CLINICAL"
BRITISH JOURNAL OF HEALTH PSYCHOLOGY,https://bpspsychub.onlinelibrary.wiley.com/journal/20448287,https://bpspsychub.onlinelibrary.wiley.com/hub/journal/20448287/homepage/productinformation.html,https://bpspsychub.onlinelibrary.wiley.com/hub/journal/20448287/homepage/forauthors.html,TRUE,TRUE,AW,SV,NA,https://osf.io/epv6s,https://osf.io/qxs2v,NA,NA,1359-107X,2044-8287,5246,8.101,Q1,1.67,"PSYCHOLOGY, CLINICAL - SSCI","PSYCHOLOGY, CLINICAL"
ANNUAL REVIEW OF ORGANIZATIONAL PSYCHOLOGY AND ORGANIZATIONAL BEHAVIOR,https://www.annualreviews.org/journal/orgpsych,https://www.annualreviews.org/journal/orgpsych,https://www.annualreviews.org/page/authors/editorial-policies,TRUE,FALSE,AW,NA,NA,https://osf.io/4yj68,https://osf.io/sybcg,NA,NA,2327-0608,2327-0616,3915,12.553,Q1,0.66,"PSYCHOLOGY, APPLIED - SSCI","PSYCHOLOGY, APPLIED"
PSYCHOLOGICAL METHODS,https://www.apa.org/pubs/journals/met,https://www.apa.org/pubs/journals/met,https://www.apa.org/pubs/journals/met,TRUE,TRUE,AW,RT,NA,https://osf.io/rvks7,https://osf.io/rvks7,NA,NA,1082-989X,1939-1463,20525,10.929,Q1,3.79,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","PSYCHOLOGY, MULTIDISCIPLINARY"
PSYCHOLOGY & MARKETING,https://onlinelibrary.wiley.com/journal/15206793,https://onlinelibrary.wiley.com/page/journal/15206793/homepage/productinformation.html,https://onlinelibrary.wiley.com/page/journal/15206793/homepage/forauthors.html,TRUE,TRUE,AW,RT,NA,https://osf.io/kzfgy,https://osf.io/by9fg,NA,NA,0742-6046,1520-6793,10200,5.507,Q1,1.09,"PSYCHOLOGY, APPLIED - SSCI","PSYCHOLOGY, APPLIED"
BEHAVIORAL AND BRAIN SCIENCES,https://www.cambridge.org/core/journals/behavioral-and-brain-sciences,https://www.cambridge.org/core/journals/behavioral-and-brain-sciences/information/author-instructions,https://www.cambridge.org/core/journals/behavioral-and-brain-sciences/information/author-instructions,TRUE,FALSE,AW,NA,NA,https://osf.io/x9bc8,https://osf.io/x9bc8,NA,NA,0140-525X,1469-1825,12872,21.357,Q1,3.4,"PSYCHOLOGY, BIOLOGICAL - SSCI","PSYCHOLOGY, BIOLOGICAL"
HEALTH PSYCHOLOGY,https://www.apa.org/pubs/journals/hea/,https://www.apa.org/pubs/journals/hea/,https://www.apa.org/pubs/journals/hea/,FALSE,TRUE,AW,SV,NA,https://osf.io/azp8h,https://osf.io/azp8h,NA,NA,0278-6133,1930-7810,16012,5.556,Q1,1.3,"PSYCHOLOGY - SCIE; PSYCHOLOGY, CLINICAL - SSCI",PSYCHOLOGY - SCIE
JOURNAL OF BUSINESS AND PSYCHOLOGY,https://www.springer.com/journal/10869,https://www.springer.com/journal/10869/aims-and-scope,https://www.springer.com/journal/10869/submission-guidelines,TRUE,TRUE,AW,SV,NA,https://osf.io/vzd5u,https://osf.io/az46j,NA,NA,0889-3268,1573-353X,5838,6.604,Q1,1.57,"PSYCHOLOGY, APPLIED - SSCI","PSYCHOLOGY, APPLIED"
WORK AGING AND RETIREMENT,https://academic.oup.com/workar?login=false,https://academic.oup.com/workar/pages/About,https://academic.oup.com/workar/pages/General_Instructions#4.%20Types%20of%20Manuscripts%20Considered%20for%20Publication,TRUE,TRUE,AW,SV,NA,https://osf.io/3j7me,https://osf.io/wbtyp,NA,NA,2054-4642,2054-4650,904,5.319,Q2,1.42,"PSYCHOLOGY, APPLIED - SSCI","PSYCHOLOGY, APPLIED"
ENVIRONMENT AND BEHAVIOR,https://journals.sagepub.com/home/eab,https://journals.sagepub.com/aims-scope/EAB,https://journals.sagepub.com/author-instructions/EAB,TRUE,TRUE,AW,RT,NA,https://osf.io/fx7su,https://osf.io/egw7p,NA,NA,0013-9165,1552-390X,9422,6.548,Q1,1.75,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","PSYCHOLOGY, MULTIDISCIPLINARY"
TRENDS IN COGNITIVE SCIENCES,https://www.cell.com/trends/cognitive-sciences/home,https://www.cell.com/trends/cognitive-sciences/aims,https://www.cell.com/trends/cognitive-sciences/authors,TRUE,FALSE,AW,NA,NA,https://osf.io/nreud,https://osf.io/gnwu2 ; https://osf.io/hvb5y ; https://osf.io/f25b8,NA,NA,1364-6613,1879-307X,36688,24.482,Q1,2.22,"PSYCHOLOGY, EXPERIMENTAL - SSCI","PSYCHOLOGY, EXPERIMENTAL"
JOURNAL OF ABNORMAL PSYCHOLOGY,https://www.apa.org/pubs/journals/abn,https://www.apa.org/pubs/journals/abn,https://www.apa.org/pubs/journals/abn,TRUE,TRUE,AW,SV,NA,https://osf.io/qah3x,https://osf.io/qah3x,"Name changed to ""Journal of Psychopathology and Clinical Science""",NA,0021-843X,1939-1846,19201,7.507,Q1,2.06,"PSYCHOLOGY, CLINICAL - SSCI","PSYCHOLOGY, CLINICAL"
BEHAVIOUR RESEARCH AND THERAPY,https://www.sciencedirect.com/journal/behaviour-research-and-therapy,https://www.sciencedirect.com/journal/behaviour-research-and-therapy/about/aims-and-scope,https://www.elsevier.com/journals/behaviour-research-and-therapy/0005-7967/guide-for-authors,TRUE,TRUE,AW,RT,NA,https://osf.io/nqs58,https://osf.io/7jq5h,NA,NA,0005-7967,1873-622X,24103,5.321,Q1,1.4,"PSYCHOLOGY, CLINICAL - SSCI","PSYCHOLOGY, CLINICAL"
PERSONNEL PSYCHOLOGY,https://onlinelibrary.wiley.com/journal/17446570,https://onlinelibrary.wiley.com/page/journal/17446570/homepage/productinformation.html,https://onlinelibrary.wiley.com/page/journal/17446570/homepage/forauthors.html,TRUE,TRUE,AW,RT,NA,https://osf.io/wterv,https://osf.io/g6smw,NA,NA,0031-5826,1744-6570,11560,5.47,Q1,1.6,"PSYCHOLOGY, APPLIED - SSCI","PSYCHOLOGY, APPLIED"
PSYCHOLOGICAL BULLETIN,https://www.apa.org/pubs/journals/bul/,https://www.apa.org/pubs/journals/bul/,https://www.apa.org/pubs/journals/bul/,TRUE,TRUE,AW,RT,NA,https://osf.io/83jqv,https://osf.io/83jqv,NA,NA,0033-2909,1939-1455,68919,23.027,Q1,5.54,"PSYCHOLOGY - SCIE; PSYCHOLOGY, MULTIDISCIPLINARY - SSCI",PSYCHOLOGY - SCIE
HUMAN RESOURCE MANAGEMENT,https://onlinelibrary.wiley.com/journal/1099050x,https://onlinelibrary.wiley.com/page/journal/1099050x/homepage/productinformation.html,https://onlinelibrary.wiley.com/page/journal/1099050x/homepage/forauthors.html,TRUE,TRUE,AW,RT,NA,https://osf.io/7jzab,https://osf.io/apbtq,NA,NA,0090-4848,1099-050X,6724,6.235,Q1,1.32,"PSYCHOLOGY, APPLIED - SSCI","PSYCHOLOGY, APPLIED"
ANNUAL REVIEW OF PSYCHOLOGY,https://www.annualreviews.org/journal/psych,https://www.annualreviews.org/journal/psych,https://www.annualreviews.org/page/authors/editorial-policies,TRUE,FALSE,AW,NA,NA,https://osf.io/gdvjs,https://osf.io/swxvr,NA,NA,0066-4308,1545-2085,30374,27.782,Q1,3.6,"PSYCHOLOGY - SCIE; PSYCHOLOGY, MULTIDISCIPLINARY - SSCI",PSYCHOLOGY - SCIE
ORGANIZATIONAL PSYCHOLOGY REVIEW,https://journals.sagepub.com/home/opr,https://journals.sagepub.com/aims-scope/OPR,https://journals.sagepub.com/author-instructions/OPR,TRUE,TRUE,AW,SV,NA,https://osf.io/cuhmg,https://osf.io/qemzy,NA,NA,2041-3866,2041-3874,968,5.6,Q1,1.04,"PSYCHOLOGY, APPLIED - SSCI","PSYCHOLOGY, APPLIED"
CLINICAL PSYCHOLOGY REVIEW,https://www.sciencedirect.com/journal/clinical-psychology-review,https://www.sciencedirect.com/journal/clinical-psychology-review/about/aims-and-scope,https://www.elsevier.com/journals/clinical-psychology-review/0272-7358/guide-for-authors ; closest available though no explicit article types listed,TRUE,TRUE,AW,RT,NA,https://osf.io/pxtz7,https://osf.io/xn4ej,NA,NA,0272-7358,1873-7811,24636,11.397,Q1,2.02,"PSYCHOLOGY, CLINICAL - SSCI","PSYCHOLOGY, CLINICAL"
PSYCHOLOGY OF AESTHETICS CREATIVITY AND THE ARTS,https://www.apa.org/pubs/journals/aca/,https://www.apa.org/pubs/journals/aca/,https://www.apa.org/pubs/journals/aca/,FALSE,TRUE,AW,TEH,NA,https://osf.io/dxjcy,https://osf.io/dxjcy,NA,NA,1931-3896,1931-390X,2953,6.395,Q1,7.94,"PSYCHOLOGY, EXPERIMENTAL - SSCI","PSYCHOLOGY, EXPERIMENTAL"
DEVELOPMENTAL COGNITIVE NEUROSCIENCE,https://www.sciencedirect.com/journal/developmental-cognitive-neuroscience,https://www.sciencedirect.com/journal/developmental-cognitive-neuroscience/about/aims-and-scope,https://www.elsevier.com/journals/developmental-cognitive-neuroscience/1878-9293/guide-for-authors,FALSE,TRUE,AW,SV,NA,https://osf.io/krshm,https://osf.io/azv8m,NA,NA,1878-9293,1878-9307,6003,5.811,Q1,1.43,"PSYCHOLOGY, DEVELOPMENTAL - SSCI","PSYCHOLOGY, DEVELOPMENTAL"
PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,https://journals.sagepub.com/home/psr,https://journals.sagepub.com/aims-scope/PSR,https://journals.sagepub.com/author-instructions/PSR,TRUE,TRUE,AW,TEH,NA,https://osf.io/jw3xb,https://osf.io/d72eg,NA,NA,1088-8683,1532-7957,9843,16.161,Q1,3.92,"PSYCHOLOGY, SOCIAL - SSCI","PSYCHOLOGY, SOCIAL"
EDUCATIONAL PSYCHOLOGY REVIEW,https://www.springer.com/journal/10648,https://www.springer.com/journal/10648/aims-and-scope,https://www.springer.com/journal/10648/submission-guidelines,TRUE,TRUE,AW,SV,NA,https://osf.io/n6vb5,https://osf.io/m2thn,NA,NA,1040-726X,1573-336X,8065,8.24,Q1,2.31,"PSYCHOLOGY, EDUCATIONAL - SSCI","PSYCHOLOGY, EDUCATIONAL"
EMOTION,https://www.apa.org/pubs/journals/emo/,https://www.apa.org/pubs/journals/emo/,https://www.apa.org/pubs/journals/emo/,TRUE,TRUE,AW,TEH,NA,https://osf.io/qrn83,https://osf.io/qrn83,NA,NA,1528-3542,1931-1516,13577,5.564,Q1,1.48,"PSYCHOLOGY, EXPERIMENTAL - SSCI","PSYCHOLOGY, EXPERIMENTAL"
COMPUTERS IN HUMAN BEHAVIOR,https://www.sciencedirect.com/science/journal/07475632,https://www.elsevier.com/journals/computers-in-human-behavior/0747-5632/guide-for-authors,https://www.elsevier.com/journals/computers-in-human-behavior/0747-5632/guide-for-authors,TRUE,TRUE,AW,RT,NA,https://osf.io/7hfsg,https://osf.io/7hfsg,NA,NA,0747-5632,1873-7692,53712,8.957,Q1,2.59,"PSYCHOLOGY, EXPERIMENTAL - SSCI; PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","PSYCHOLOGY, EXPERIMENTAL"
SOCIAL PSYCHOLOGICAL AND PERSONALITY SCIENCE,https://journals.sagepub.com/home/spp,https://journals.sagepub.com/aims-scope/SPP,https://journals.sagepub.com/author-instructions/SPP,TRUE,TRUE,AW,SV,NA,"https://osf.io/vhcpw (About) ; https://osf.io/bx9kf (Scope is currently unavailable, hence inclusion of 'About' page)",https://osf.io/t328a,NA,NA,1948-5506,1948-5514,6951,5.316,Q1,1.47,"PSYCHOLOGY, SOCIAL - SSCI","PSYCHOLOGY, SOCIAL"
ORGANIZATIONAL RESEARCH METHODS,https://journals.sagepub.com/home/ORM,https://journals.sagepub.com/aims-scope/ORM,https://journals.sagepub.com/author-instructions/ORM,TRUE,TRUE,AW,SV,NA,https://osf.io/2bfzv,https://osf.io/3a4r7,NA,NA,1094-4281,1552-7425,12218,8.247,Q1,2.11,"PSYCHOLOGY, APPLIED - SSCI","PSYCHOLOGY, APPLIED"
INTERNATIONAL JOURNAL OF CLINICAL AND HEALTH PSYCHOLOGY,https://www.sciencedirect.com/journal/international-journal-of-clinical-and-health-psychology,https://www.sciencedirect.com/journal/international-journal-of-clinical-and-health-psychology/about/aims-and-scope,https://www.elsevier.com/journals/international-journal-of-clinical-and-health-psychology/1697-2600/guide-for-authors,TRUE,TRUE,AW,SV,NA,https://osf.io/9462d,https://osf.io/dt5hx,NA,NA,1697-2600,1576-7329,2181,5.9,Q1,1.7,"PSYCHOLOGY, CLINICAL - SSCI","PSYCHOLOGY, CLINICAL"
