"Anything additional, unusual, or interesting to note?",Timestamp,Coder's Initials,Journal Name,Does the journal publish empirical research?,Check the article types page and check for web comments — does the journal offer any type of PPC?,A. Enter the name of the PPC type offered by the journal:,A. Enter the verbatim description of this type of PPC provided by the journal,A. Are there any length limits for this type of PPC?,A. Are there any time limits for submission of this type of PPC?,A. Are there any reference limits for this type of PPC?,A. Is this type of PPC sent for independent external peer review?,"A. Anything additional, unusual, or interesting to note?",A. Are there any other types of PPC in this journal? (Remember to check for web comments!),B. Enter the name of the PPC type offered by the journal:,B. Enter the verbatim description of this type of PPC provided by the journal,B. Are there any length limits for this type of PPC?,B. Are there any time limits for submission of this type of PPC?,B. Are there any reference limits for this type of PPC?,B. Is this type of PPC sent for independent external peer review?,"B. Anything additional, unusual, or interesting to note?",B. Are there any other types of PPC in this journal? (Remember to check for web comments!),C. Enter the name of the PPC type offered by the journal:,C. Enter the verbatim description of this type of PPC provided by the journal,C. Are there any length limits for this type of PPC?,C. Are there any time limits for submission of this type of PPC?,C. Are there any reference limits for this type of PPC?,C. Is this type of PPC sent for independent external peer review?,"C. Anything additional, unusual, or interesting to note?",C. Are there any other types of PPC in this journal? (Remember to check for web comments!),D. Enter the name of the PPC type offered by the journal:,D. Enter the verbatim description of this type of PPC provided by the journal,D. Are there any length limits for this type of PPC?,D. Are there any time limits for submission of this type of PPC?,D. Are there any reference limits for this type of PPC?,D. Is this type of PPC sent for independent external peer review?,"D. Anything additional, unusual, or interesting to note?",...38,...39,...40,...41,...42,...43,...44,...45,sample_id,cope,field,jif
NA,8/6/2023 4:52:56,RTT,AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY,Yes,YES,Commentary,"Commentary. A Commentary is an invited submission for a Special Issue/Section of the journal, or a submission in response to an article previously published in the journal. When submitted in response to a published article, a Commentary should include a title, abstract, and keywords, and be limited to no more than 2,000 words and up to ten references (about 8-10 pages INCLUSIVE). Commentaries of articles previously published in the journal may be accompanied by an invited response from the author(s) of the original article. AJCP welcomes commentaries on work published in the journal; readers interested in submitting a Commentary should contact the Editor.","YES (copy and paste the limits in the 'other' section below), 2,000 words",NOT STATED,"YES (provide number of references below), 10",NOT STATED,NA,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Multidisciplinary",4.019
NA,NA,FINAL (TEH),AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY,Yes,YES,Commentary,"A Commentary is an invited submission for a Special Issue/Section of the journal, or a submission in response to an article previously published in the journal. When submitted in response to a published article, a Commentary should include a title, abstract, and keywords, and be limited to no more than 2,000 words and up to ten references (about 8-10 pages INCLUSIVE). Commentaries of articles previously published in the journal may be accompanied by an invited response from the author(s) of the original article. AJCP welcomes commentaries on work published in the journal; readers interested in submitting a Commentary should contact the Editor.","YES (copy and paste the limits in the 'other' section below), 2000 words",NOT STATED,"YES (provide number of references below), 10",NOT STATED,Unclear from description wording whether word limit includes references?,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Multidisciplinary",4.019
NA,7/13/2023 11:50:22,AW,ANALES DE PSICOLOGIA,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,Psychology,2.325
I used a website translator.,8/4/2023 7:34:48,RTT,ANALES DE PSICOLOGIA,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,Psychology,2.325
NA,NA,FINAL (TEH),ANALES DE PSICOLOGIA,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,Psychology,2.325
Only found through archive search,7/10/2023 18:11:24,AW,APPLIED COGNITIVE PSYCHOLOGY,Yes,YES,Commentary,"Not listed as a category in itself but may fall under this type:
""Afterword
An occasional section which features reminiscences, obituaries, reviews, and other material which falls outside the conventional scientific paper. Authors contemplating a contribution to this section should contact the editors directly prior to any submission.""",NOT STATED,NOT STATED,NOT STATED,NOT STATED,"Identified as ""commentary"" through PPC examples found in journal: https://onlinelibrary.wiley.com/doi/full/10.1002/acp.3763

NOTE: I have NOT included ""Afterword"" as a PPC type of itself as no examples found in archive search (2019-2023), suggesting if PPC is submitted as this type it is subsequently published as another 'type' (such as ""commentary"").",NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Experimental",2.36
NA,8/4/2023 8:17:55,RTT,APPLIED COGNITIVE PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Experimental",2.36
NA,NA,FINAL (TEH),APPLIED COGNITIVE PSYCHOLOGY,Yes,ARCHIVE ONLY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Experimental",2.36
No article types listed on submission guidelines page. No PPC examples found in archive search (commentaries found but do not appear critical/unsolicited).,7/12/2023 16:54:48,AW,APPLIED MEASUREMENT IN EDUCATION,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Educational",1.528
NA,7/28/2023 12:20:12,TEH,APPLIED MEASUREMENT IN EDUCATION,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Educational",1.528
NA,NA,FINAL (TEH),APPLIED MEASUREMENT IN EDUCATION,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Educational",1.528
NA,7/15/2023 20:32:26,NM,ASIAN AMERICAN JOURNAL OF PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Multidisciplinary",1.797
NA,7/28/2023 11:40:36,TEH,ASIAN AMERICAN JOURNAL OF PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Multidisciplinary",1.797
NA,NA,FINAL (TEH),ASIAN AMERICAN JOURNAL OF PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Multidisciplinary",1.797
NA,7/13/2023 14:05:08,AW,ATTACHMENT & HUMAN DEVELOPMENT,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Development",3.024
NA,7/28/2023 12:02:27,TEH,ATTACHMENT & HUMAN DEVELOPMENT,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Development",3.024
NA,NA,FINAL (TEH),ATTACHMENT & HUMAN DEVELOPMENT,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Development",3.024
NA,7/10/2023 17:32:54,AW,AUTISM & DEVELOPMENTAL LANGUAGE IMPAIRMENTS,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Development",NA
NA,8/8/2023 15:56:46,SV,AUTISM & DEVELOPMENTAL LANGUAGE IMPAIRMENTS,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Development",NA
NA,NA,FINAL (TEH),AUTISM & DEVELOPMENTAL LANGUAGE IMPAIRMENTS,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Development",NA
NA,7/15/2023 19:38:47,NM,BMC PSYCHOLOGY,Yes,YES,Matters Arising,"BMC Psychology recognizes the importance of post-publication commentary on published research as necessary to advancing scientific or academic discourse. Formal post-publication commentary on published papers can involve challenges, clarifications or, in some cases, replication of the published work and may, after peer review, be published online as Matters Arising articles, usually alongside a Reply from the original authors.

Matters Arising articles are interesting and timely scientific or academic comments and clarifications on original research papers published in the journal. These comments should be based on knowledge contemporaneous with the original paper, rather than subsequent scientific or academic developments.

If the submission serves only to identify an important error or mistake in the published paper, it will usually lead to the publication of a clarification statement (correction or retraction, for example). Please contact the journal for these cases. 

In all cases, the journal strongly encourages correspondents to first contact the authors of the paper directly as this can often resolve matters if it is a simple misunderstanding.

Matters Arising articles and Replies are bidirectionally linked with the original published paper. This journal does not consider Matters Arising articles on papers published in other journals. Contributions that do not comply with our submission criteria (see sections below) will not be considered.","YES (copy and paste the limits in the 'other' section below), as concise as possible, and ideally not exceed 1,200 words","YES (provide detail of time limits below), Matters Arising articles are interesting and timely scientific or academic comments","YES (provide number of references below), contributions may have up to 15 references","UNCLEAR (provide detail in the 'other' section below), It ""may"" be sent for independent review: ""Matters Arising submissions that meet the journal’s criteria are sent to the authors of the original paper for a formal response. The comments and formal response may then be sent to independent referees.""",Interesting to see explicit reference to PPC and its importance.,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Multidisciplinary",2.588
NA,8/4/2023 7:12:02,RTT,BMC PSYCHOLOGY,Yes,YES,Matters Arising,"MC Psychology recognizes the importance of post-publication commentary on published research as necessary to advancing scientific or academic discourse. Formal post-publication commentary on published papers can involve challenges, clarifications or, in some cases, replication of the published work and may, after peer review, be published online as Matters Arising articles, usually alongside a Reply from the original authors.

Matters Arising articles are interesting and timely scientific or academic comments and clarifications on original research papers published in the journal. These comments should be based on knowledge contemporaneous with the original paper, rather than subsequent scientific or academic developments.

If the submission serves only to identify an important error or mistake in the published paper, it will usually lead to the publication of a clarification statement (correction or retraction, for example). Please contact the journal for these cases. 

In all cases, the journal strongly encourages correspondents to first contact the authors of the paper directly as this can often resolve matters if it is a simple misunderstanding.

Matters Arising articles and Replies are bidirectionally linked with the original published paper. This journal does not consider Matters Arising articles on papers published in other journals. Contributions that do not comply with our submission criteria (see sections below) will not be considered.

Manuscript preparation and formatting
The article title of the initial Matters Arising article should refer to, but not be identical to, the article title of the original published paper.
The main text should be as concise as possible, and ideally not exceed 1,200 words.
Contributions should start with a brief paragraph that summarizes the message of the article without specialized terminology, for a non-specialist readership. This paragraph should be used as the abstract for submission purposes.
Manuscripts should have a simple message that ideally requires only one or two small figures or tables.
The article should be measured in tone, and should not contain inflammatory or otherwise intemperate language.
As a guideline, contributions may have up to 15 references; reference style is as for research articles.
Supplementary Information is permitted at the editor's discretion.
Contributions should be submitted by email to the Editor for initial assessment. Please use the contact email address for the journal. 
Editorial Process
The editors will decide how to proceed on the basis of the potential interest to readers, importance and timeliness of the contribution. Authors should submit their manuscript for initial consideration. 

Matters Arising submissions that meet the journal’s criteria are sent to the authors of the original paper for a formal response. The comments and formal response may then be sent to independent referees.

A Reply is published only when it adds to the debate, and not when it reiterates points already published. It should be confined to replying to the specific issue raised about the published paper.

Authors of the original publication must keep the information provided in Matters Arising articles confidential and must not use it for their own research or for any other purpose apart from replying to the comment.

We will not consider appeals against decisions not to publish Matters Arising articles unless the grounds for appeal consist of a previously overlooked and important scientific point and are clearly explained in these terms.","YES (copy and paste the limits in the 'other' section below), 1,200 words.",NOT STATED,"YES (provide number of references below), 15",YES,NA,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Multidisciplinary",2.588
NA,NA,FINAL (TEH),BMC PSYCHOLOGY,Yes,YES,Matters Arising,"BMC Psychology recognizes the importance of post-publication commentary on published research as necessary to advancing scientific or academic discourse. Formal post-publication commentary on published papers can involve challenges, clarifications or, in some cases, replication of the published work and may, after peer review, be published online as Matters Arising articles, usually alongside a Reply from the original authors.

Matters Arising articles are interesting and timely scientific or academic comments and clarifications on original research papers published in the journal. These comments should be based on knowledge contemporaneous with the original paper, rather than subsequent scientific or academic developments.

If the submission serves only to identify an important error or mistake in the published paper, it will usually lead to the publication of a clarification statement (correction or retraction, for example). Please contact the journal for these cases. 

In all cases, the journal strongly encourages correspondents to first contact the authors of the paper directly as this can often resolve matters if it is a simple misunderstanding.

Matters Arising articles and Replies are bidirectionally linked with the original published paper. This journal does not consider Matters Arising articles on papers published in other journals. Contributions that do not comply with our submission criteria (see sections below) will not be considered.","YES (copy and paste the limits in the 'other' section below), as concise as possible, and ideally not exceed 1,200 words","YES (provide detail of time limits below), Matters Arising articles are interesting and timely scientific or academic comments","YES (provide number of references below), contributions may have up to 15 references","UNCLEAR (provide detail in the 'other' section below), It 'may' be sent for independent review: 'Matters Arising submissions that meet the journal’s criteria are sent to the authors of the original paper for a formal response. The comments and formal response may then be sent to independent referees.'",Interesting to see explicit reference to PPC and its importance.,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Multidisciplinary",2.588
NA,7/11/2023 17:29:29,AW,BRAIN AND COGNITION,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Experimental",2.682
NA,8/29/2023 15:58:54,SV,BRAIN AND COGNITION,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Experimental",2.682
NA,NA,FINAL (TEH),BRAIN AND COGNITION,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Experimental",2.682
"Commentary style articles are mentioned in author guidelines, but either as being on general topics or invited to focus on a chosen target article. Archive search (2019-2023) did not yield PPC examples.",7/11/2023 17:14:55,AW,BRITISH JOURNAL OF DEVELOPMENTAL PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Development",2.148
NA,8/6/2023 3:45:14,RTT,BRITISH JOURNAL OF DEVELOPMENTAL PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Development",2.148
"Commentary style articles are mentioned in author guidelines, but either as being on general topics or invited to focus on a chosen target article. Archive search (2019-2023) did not yield PPC examples.",NA,FINAL (TEH),BRITISH JOURNAL OF DEVELOPMENTAL PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Development",2.148
NA,7/20/2023 16:04:29,NM,BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,"As far as I can tell this journal doesn't publish empirical research- I could only find simulations, although I might just not have looked hard enough",NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Mathematical",2.41
NA,NA,FINAL (TEH),BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Mathematical",2.41
NA,7/11/2023 12:37:59,AW,CANADIAN JOURNAL OF SCHOOL PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Educational",1.37
NA,8/4/2023 8:37:33,RTT,CANADIAN JOURNAL OF SCHOOL PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Educational",1.37
