article id,primary coder initials,secondary coder initials,doi,link,title,authors,journal,publication_year,1_exclusion,1_exclusionReason,1_Is article linked to PPC,1_Additional notes,2_exclusion,2_exclusionReason,2_Is article linked to PPC,2_Additional notes,sample_id,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30
12,AW,TEH,10.1177/0272431619847523,https://dx.doi.org/10.1177/0272431619847523,School Relations and Solitude in Early Adolescence: A Mediation Model Involving Rejection Sensitivity,"Molinari, Luisa; Grazia, Valentina; Corsano, Paola",JOURNAL OF EARLY ADOLESCENCE,2020,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,AW,TEH,10.1016/j.jenvp.2020.101388,https://dx.doi.org/10.1016/j.jenvp.2020.101388,"Reducing, and bridging, the psychological distance of climate change","Loy, Laura S.; Spence, Alexa",JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,2020,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,AW,TEH,10.1016/j.amp.2019.06.007,https://dx.doi.org/10.1016/j.amp.2019.06.007,A madwoman of God: Holy Catherine of Siena or the passion for the blood of Christ,"Benezech, Michel",ANNALES MEDICO-PSYCHOLOGIQUES,2020,EXCLUDE,NON-ENGLISH,NA,NA,EXCLUDE,NOT EMPIRICAL,NA,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,AW,TEH,10.1016/j.cortex.2020.01.006,https://dx.doi.org/10.1016/j.cortex.2020.01.006,A graph theory study of resting-state functional connectivity in children with Tourette syndrome,"Openneer, Thaira J. C.; Marsman, Jan-Bernard C.; van der Meer, Dennis; Forde, Natalie J.; Akkermans, Sophie E. A.; Naaijen, Jilly; Buitelaar, Jan K.; Dietrich, Andrea; Hoekstra, Pieter J.",CORTEX,2020,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,AW,TEH,10.14195/1647-8606_63-2_7,https://dx.doi.org/10.14195/1647-8606_63-2_7,The Interpersonal Mindfulness in Parenting Scale - Infant version: Psychometric properties and factor structure in a sample of Portuguese mothers in the postpartum period,"Caiado, Brigida; Fernandes, Daniela Ventura; Canavarro, Maria Cristina; Moreira, Helena",PSYCHOLOGICA,2020,RETAIN,NA,NO,"Only abstract visible on journal/doi link page, full article only appears available as PDF. Likewise for other articles piblished by this journal.",RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,AW,TEH,10.1007/s00357-019-09358-w,https://dx.doi.org/10.1007/s00357-019-09358-w,Lorenz Model Selection,"Giudici, Paolo; Raffinetti, Emanuela",JOURNAL OF CLASSIFICATION,2020,EXCLUDE,NOT EMPIRICAL,NA,NA,EXCLUDE,NOT EMPIRICAL,NA,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,AW,TEH,10.1080/13632752.2020.1733309,https://dx.doi.org/10.1080/13632752.2020.1733309,Behind the SCREEN: identifying school refusal themes and sub-themes,"Galle-Tessoneau, Marie; Heyne, David",EMOTIONAL AND BEHAVIOURAL DIFFICULTIES,2020,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,AW,TEH,10.3389/fpsyg.2020.596501,https://dx.doi.org/10.3389/fpsyg.2020.596501,Assessing Psychometric Properties of the Italian Version of the Heartland Forgiveness Scale,"Consoli, Simone; Rossi, Alessandro; Thompson, Laura Y.; Volpi, Clarissa; Mannarini, Stefania; Castelnuovo, Gianluca; Molinari, Enrico",FRONTIERS IN PSYCHOLOGY,2020,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,AW,TEH,10.1002/capr.12248,https://dx.doi.org/10.1002/capr.12248,"A definite feel-it moment: Embodiment, externalisation and emotion during chair-work in compassion-focused therapy","Bell, Tobyn; Montague, Jane; Elander, James; Gilbert, Paul",COUNSELLING & PSYCHOTHERAPY RESEARCH,2020,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,AW,TEH,10.5093/pi2020a1,https://dx.doi.org/10.5093/pi2020a1,"Controlling Behaviors in Couple Relationships in the Digital Age: Acceptability of Gender Violence, Sexism, and Myths about Romantic Love","Dolores Sanchez-Hernandez, M.; Carmen Herrera-Enriquez, Mari; Exposito, Francisca",PSYCHOSOCIAL INTERVENTION,2020,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,AW,TEH,10.1080/00223980.2020.1794708,https://dx.doi.org/10.1080/00223980.2020.1794708,Raising' Psychologists-to-Be: An Introduction to the Special Issue,"Rokach, Ami",JOURNAL OF PSYCHOLOGY,2020,EXCLUDE,NOT EMPIRICAL,NA,NA,EXCLUDE,NOT EMPIRICAL,NA,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,AW,TEH,10.1007/s11336-020-09704-7,https://dx.doi.org/10.1007/s11336-020-09704-7,A Note on Exploratory Item Factor Analysis by Singular Value Decomposition,"Zhang, Haoran; Chen, Yunxiao; Li, Xiaoou",PSYCHOMETRIKA,2020,EXCLUDE,NOT EMPIRICAL,NA,NA,EXCLUDE,NOT EMPIRICAL,NA,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,AW,TEH,10.1016/j.ijintrel.2019.11.005,https://dx.doi.org/10.1016/j.ijintrel.2019.11.005,What does it mean to be American? Perceptions of national identity amongst adults and children,"Violante, Amy E.; Cain, Kathleen M.; Mukherjee, Sahana",INTERNATIONAL JOURNAL OF INTERCULTURAL RELATIONS,2020,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,AW,TEH,10.3389/fpsyg.2019.03008,https://dx.doi.org/10.3389/fpsyg.2019.03008,To Link or Not to Link: Clause Chaining in Japanese Narratives,"Clancy, Patricia M.",FRONTIERS IN PSYCHOLOGY,2020,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,AW,SS,10.1002/jocb.467,https://dx.doi.org/10.1002/jocb.467,Measuring Creative Writing with the Storyboard Task: The Role of Effort and Story Length,"Taylor, Christa L.; Kaufman, James C.; Barbot, Baptiste",JOURNAL OF CREATIVE BEHAVIOR,2021,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,AW,SS,10.4088/JCP.19m13077,https://dx.doi.org/10.4088/JCP.19m13077,Types of Adult Attention-Deficit/Hyperactivity Disorder: A Replication Analysis,"Reimherr, Frederick W.; Roesler, Michael; Marchant, Barrie K.; Gift, Thomas E.; Retz, Wolfgang; Philipp-Wiegmann, Florence; Reimherr, Matthew L.",JOURNAL OF CLINICAL PSYCHIATRY,2020,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,AW,SS,10.1002/rrq.317,https://dx.doi.org/10.1002/rrq.317,Effects of Online Content-Focused Coaching on Discussion Quality and Reading Achievement: Building Theory for How Coaching Develops Teachers' Adaptive Expertise,"Correnti, Richard; Matsumura, Lindsay Clare; Walsh, Marguerite; Zook-Howell, Dena; Bickel, Donna DiPrima; Yu, Baeksan",READING RESEARCH QUARTERLY,2021,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,AW,SS,10.1177/1368430220929078,https://dx.doi.org/10.1177/1368430220929078,Lay theory of generalized prejudice moderates cardiovascular stress responses to racism for White women,"Chaney, Kimberly E.; Sanchez, Diana T.; Himmelstein, Mary S.; Manuel, Sara K.",GROUP PROCESSES & INTERGROUP RELATIONS,2021,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,AW,SS,10.1111/1467-6427.12252,https://dx.doi.org/10.1111/1467-6427.12252,Family of origin scripts in coping with adversity: a question(sic)(sic)(sic)Palabras clave,"Mason, Barry",JOURNAL OF FAMILY THERAPY,2020,EXCLUDE,NOT EMPIRICAL,NA,NA,EXCLUDE,NOT EMPIRICAL,NA,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,AW,SS,10.1111/jopy.12592,https://dx.doi.org/10.1111/jopy.12592,Change in mental health symptoms during the COVID-19 pandemic: The role of appraisals and daily life experiences,"Brose, Annette; Blanke, Elisabeth S.; Schmiedek, Florian; Kramer, Andrea C.; Schmidt, Andrea; Neubauer, Andreas B.",JOURNAL OF PERSONALITY,2021,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,AW,SS,10.1080/17405629.2019.1700108,https://dx.doi.org/10.1080/17405629.2019.1700108,Birth rank as a determinant of academic achievement:results from a European survey of primary school children,"Arshad, Husnain; Husky, Mathilde M.; Goelitz, Dietmar; Bitfoi, Adina; Carta, Mauro Giovanni; Koc, Ceren; Lesinskiene, Sigita; Mihova, Zlatka; Otten, Roy; Fermanian, Christophe; Kovess-Masfety, Viviane",EUROPEAN JOURNAL OF DEVELOPMENTAL PSYCHOLOGY,2020,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,AW,SS,10.1016/j.jbtep.2019.101512,https://dx.doi.org/10.1016/j.jbtep.2019.101512,Disrupted joint action accounts for reduced likability of socially anxious individuals,"Gunak, Mia Maria; Clark, David M.; Lommen, Miriam J. J.",JOURNAL OF BEHAVIOR THERAPY AND EXPERIMENTAL PSYCHIATRY,2020,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,AW,SS,10.1007/s12144-020-00905-y,https://dx.doi.org/10.1007/s12144-020-00905-y,"How to maintain a marriage: Maintenance behaviors, equity, and appreciation in understanding marital satisfaction(+)","Kayabol, Nazli Busra Akcabozan; Sumer, Zeynep Hatipoglu",CURRENT PSYCHOLOGY,2022,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,AW,SS,10.3280/PU2020-004008,https://dx.doi.org/10.3280/PU2020-004008,"Introduction to ""A country psychiatrist"" by Margherita Galeotti","Herini, Alberto",PSICOTERAPIA E SCIENZE UMANE,2020,EXCLUDE,NO ACCESS,NA,"Also appears to be non-English and non-empirical based on available sample page found. Side note: First author name written as ""Merini"" on article page.",EXCLUDE,NON-ENGLISH,NA,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,AW,SS,10.1111/psyp.13744,https://dx.doi.org/10.1111/psyp.13744,Which digit is larger? Brain responses to number and size interactions in a numerical Stroop task,"Huang, Hsu-Wen; Nascimben, Mauro; Wang, Ya-Yi; Fong, Dong-Yang; Tzeng, Ovid J-L; Huang, Chih-Mao",PSYCHOPHYSIOLOGY,2021,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,AW,SS,10.25115/ejrep.v18i51.2928,https://dx.doi.org/10.25115/ejrep.v18i51.2928,"Motivational profiles, volitional strategies and academic performance in exact and experimental sciences in high school.","Rodriguez Guardado, Maria del Socorro; Gaeta Gonzalez, Martha Leticia",ELECTRONIC JOURNAL OF RESEARCH IN EDUCATIONAL PSYCHOLOGY,2020,RETAIN,NA,NO,"RESOLVED## UNSURE: English and full version only available in PDF format. Journal site shows abstract only in non-English. If retained, NO apparent PPC links.",EXCLUDE,NON-ENGLISH,NA,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,AW,SS,10.15332/22563067.6297,https://dx.doi.org/10.15332/22563067.6297,Post-Traumatic Stress as a Precursor of Mental Health Damage and Cognitive Impairment in Victims of Violence,"Merchan, Edna Johanna Herrera; Betancur, Dora Cristina Canas",DIVERSITAS-PERSPECTIVAS EN PSICOLOGIA,2020,EXCLUDE,NON-ENGLISH,NA,"Whilst abstract is viewable in English through the journal page, full article only appears viewable through PDF download and only availble in Spanish.",EXCLUDE,NON-ENGLISH,NA,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,AW,SS,10.1111/emip.12373,https://dx.doi.org/10.1111/emip.12373,Assessment in the Service of Student Learning: Three Cases in Point,"Bond, Lloyd",EDUCATIONAL MEASUREMENT-ISSUES AND PRACTICE,2020,EXCLUDE,NOT EMPIRICAL,NA,NA,EXCLUDE,NOT EMPIRICAL,NA,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,AW,SS,10.1080/00332828.2020.1807270,https://dx.doi.org/10.1080/00332828.2020.1807270,Commentary,"Jacobs, Theodore",PSYCHOANALYTIC QUARTERLY,2020,EXCLUDE,NOT EMPIRICAL,NA,NA,EXCLUDE,NOT EMPIRICAL,NA,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,AW,SS,10.5709/acp-0303-x,https://dx.doi.org/10.5709/acp-0303-x,Predicting Individuals' Experienced Fear From Multimodal Physiological Responses to a Fear-Inducing Stimulus,"Jang, Eun-Hye; Byun, Sangwon; Park, Mi-Sook; Sohn, Jin-Hun",ADVANCES IN COGNITIVE PSYCHOLOGY,2020,RETAIN,NA,NO,DOI link automatically downloads PDF. Search for article on journal website re-directs to PubMed for full version.,EXCLUDE,NO ACCESS,NA,"the doi link isn't working for me. I can find it on pubmed, but can't access the actual journal website",random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,AW,SS,10.1002/jeab.654,https://dx.doi.org/10.1002/jeab.654,Human social defeat and approach-avoidance: Escalating social-evaluative threat and threat of aggression increases social avoidance,"Schlund, Michael W.; Carter, Hannah; Cudd, Gloria; Murphy, Katie; Ahmed, Nebil; Dymond, Simon; Tone, Erin B.",JOURNAL OF THE EXPERIMENTAL ANALYSIS OF BEHAVIOR,2021,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,AW,SS,10.15288/jsad.2020.81.352,https://dx.doi.org/10.15288/jsad.2020.81.352,Does Drinking Within Low-Risk Guidelines Prevent Harm? Implications for High-Income Countries Using the International Model of Alcohol Harms and Policies,"Sherk, Adam; Thomas, Gerald; Churchill, Samuel; Stockwell, Tim",JOURNAL OF STUDIES ON ALCOHOL AND DRUGS,2020,EXCLUDE,NO ACCESS,NA,"Despite OpenAthens/Shibboleth permission, UoM not listed as having institutional access.",EXCLUDE,NO ACCESS,NA,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,AW,SS,10.1016/j.trf.2020.04.012,https://dx.doi.org/10.1016/j.trf.2020.04.012,Cyclists' intentions to yield for automated cars at intersections when they have right of way: Results of an experiment using high-quality video animations,"Vlakveld, Willem; van der Kint, Sander; Hagenzieker, Marjan P.",TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,2020,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,AW,SS,10.1007/s12671-019-01280-x,https://dx.doi.org/10.1007/s12671-019-01280-x,Introducing the eMCC (TM): A Validated Taxonomy to Advance Targeted Application of Mindfulness Skills,"Wolever, Ruth Q.; Kahn, Joel A.; Davis, Jennifer; Shields, Denise; Schoenberg, Poppy L. A.",MINDFULNESS,2020,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,AW,SS,10.3389/fpsyg.2020.571873,https://dx.doi.org/10.3389/fpsyg.2020.571873,Perceived Stress and Daily Well-Being During the COVID-19 Outbreak: The Moderating Role of Age,"Jiang, Da",FRONTIERS IN PSYCHOLOGY,2020,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,AW,SS,10.1177/0030222817737229,https://dx.doi.org/10.1177/0030222817737229,Widowhood in the Israeli Arab Muslim Society,"Yasien-Esmael, Hend; Rubin, Simon Shimshon; Eshel, Yohanan",OMEGA-JOURNAL OF DEATH AND DYING,2020,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,AW,SS,10.1080/21520704.2020.1850577,https://dx.doi.org/10.1080/21520704.2020.1850577,Deliberate Practice: What Is It and How Can I Use It?,"Eccles, David W.; Leone, Emma J.; Williams, A. Mark",JOURNAL OF SPORT PSYCHOLOGY IN ACTION,2022,EXCLUDE,NOT EMPIRICAL,NA,NA,EXCLUDE,NOT EMPIRICAL,NA,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,AW,SS,10.36482/1809-5267.ARBP2020v72i1p.88-104,https://dx.doi.org/10.36482/1809-5267.ARBP2020v72i1p.88-104,Homeless people: mapping an existential territory,"Cavagnoli, Murilo; Moterle, Raica; Moro, Eduarda",ARQUIVOS BRASILEROS DE PSICOLOGIA,2020,EXCLUDE,NON-ENGLISH,NA,Broken DOI (article found through title search in google scholar). Only abstract appears available in English,EXCLUDE,NON-ENGLISH,NA,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,AW,SS,10.1080/10409289.2020.1849896,https://dx.doi.org/10.1080/10409289.2020.1849896,Teacher-Level Predictors of the Fidelity of Implementation of a Social-Emotional Learning Curriculum,"Thierry, Karen L.; Vincent, Rhonda L.; Norris, Karen",EARLY EDUCATION AND DEVELOPMENT,2022,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,AW,SS,10.5093/apj2019a19,https://dx.doi.org/10.5093/apj2019a19,Feigning mobbing in the LIPT-60: Implications for forensic psychological assessment,"Vilarino, Manuel; Amado, Barbara G.; Martin-Pena, Javier; Jose Vazquez, M.",ANUARIO DE PSICOLOGIA JURIDICA,2020,EXCLUDE,NON-ENGLISH,NA,NA,EXCLUDE,NON-ENGLISH,NA,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,AW,SS,10.1017/SJP.2020.4,https://dx.doi.org/10.1017/SJP.2020.4,Functioning of Cognitive Memory Inhibition Processes in People with Down Syndrome: An Empirical Study,"Palomino, Elena; Sotillo, Maria; Lopez-Frutos, Jose Maria",SPANISH JOURNAL OF PSYCHOLOGY,2020,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,AW,SS,10.3389/fpsyg.2020.568439,https://dx.doi.org/10.3389/fpsyg.2020.568439,"Exploring the Relationship Between Parental Involvement, Paper Folding Skills, and Early Spatial Ability: A Mediation Model","Wu, Dandan; Sun, Jin",FRONTIERS IN PSYCHOLOGY,2020,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,AW,SS,NA,https://dx.doi.org/NA,Psychology in the prevention and management of COVID-19. Contributions from the initial evidence,"Urzua, Alfonso; Vera-Villarroel, Pablo; Caqueo-Urizar, Alejandra; Polanco-Carrasco, Roberto",TERAPIA PSICOLOGICA,2020,EXCLUDE,NON-ENGLISH,NA,https://teps.cl/index.php/teps/article/view/273,EXCLUDE,NO ACCESS,NA,"Unable to access full text, but the full text is also not in English, so both apply",random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,AW,SS,10.1016/j.chiabu.2019.104321,https://dx.doi.org/10.1016/j.chiabu.2019.104321,Introduction to the special issue of Child Abuse and Neglect: Global child trafficking and health,"Greenbaum, Jordan; Albright, Karen; Tsai, Carmelle",CHILD ABUSE & NEGLECT,2020,EXCLUDE,NOT EMPIRICAL,NA,NA,EXCLUDE,NOT EMPIRICAL,NA,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,AW,SS,10.1002/jaba.755,https://dx.doi.org/10.1002/jaba.755,Discrete-trial training performance of behavior interventionists with autism spectrum disorder: A systematic replication and extension,"Hillman, Conrad B.; Lerman, Dorothea C.; Kosel, Molly L.",JOURNAL OF APPLIED BEHAVIOR ANALYSIS,2021,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,AW,SS,10.3389/fpsyg.2020.00547,https://dx.doi.org/10.3389/fpsyg.2020.00547,"Spelling Performance of Portuguese Children: Comparison Between Grade Level, Misspelling Type, and Assessment Task","Magalhaes, Sofia; Mesquita, Ana; Filipe, Marisa; Veloso, Andreia; Castro, Sao Luis; Limpo, Teresa",FRONTIERS IN PSYCHOLOGY,2020,RETAIN,NA,NO,NA,RETAIN,NA,NO,NA,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
