link,title,authors,journal,publication_year,id
10.1002/jaba.755,Discrete-trial training performance of behavior interventionists with autism spectrum disorder: A systematic replication and extension,"Hillman, Conrad B.; Lerman, Dorothea C.; Kosel, Molly L.",JOURNAL OF APPLIED BEHAVIOR ANALYSIS,2021,56
10.3389/fpsyg.2020.00547,"Spelling Performance of Portuguese Children: Comparison Between Grade Level, Misspelling Type, and Assessment Task","Magalhaes, Sofia; Mesquita, Ana; Filipe, Marisa; Veloso, Andreia; Castro, Sao Luis; Limpo, Teresa",FRONTIERS IN PSYCHOLOGY,2020,57
10.1093/scan/nsaa050,Affective brain patterns as multivariate neural correlates of cardiovascular disease risk,"Gianaros, Peter J.; Kraynak, Thomas E.; Kuan, Dora C-H; Gross, James J.; McRae, Kateri; Hariri, Ahmad R.; Manuck, Stephen B.; Rasero, Javier; Verstynen, Timothy D.",SOCIAL COGNITIVE AND AFFECTIVE NEUROSCIENCE,2020,58
10.1080/19419899.2020.1779117,Consequences of drug use in female orgasm and sexual satisfaction in Spanish women,"Del Rio Olvera, F. Javier; Cabello, Marina A.; Cabello-Santamaria, Francisco",PSYCHOLOGY & SEXUALITY,2022,59
10.1002/rrq.257,The Role of Awareness of Cross-Language Suffix Correspondences in Second-Language Reading Comprehension,"Lam, Katie; Chen, Xi (Becky); Deacon, S. Helene",READING RESEARCH QUARTERLY,2020,60
NA,The Arrogance of Power: Alcohol Industry Interference With Warning Label Research,"Babor, Thomas F.",JOURNAL OF STUDIES ON ALCOHOL AND DRUGS,2020,61
10.1002/eat.23294,"How do you define recovery? A qualitative study of patients with eating disorders, their parents, and clinicians","Richmond, Tracy K.; Woolverton, G. Alice; Mammel, Kathy; Ornstein, Rollyn M.; Spalding, Allegra; Woods, Elizabeth R.; Forman, Sara F.",INTERNATIONAL JOURNAL OF EATING DISORDERS,2020,62
10.1080/00224499.2020.1767026,Identity Integration as a Protective Factor against Guilt and Shame for Religious Gay Men,"Anderson, Joel R.; Koc, Yasin",JOURNAL OF SEX RESEARCH,2020,63
10.3389/fpsyg.2020.502903,"Examining the Effects of Cultural Value Orientations, Emotional Intelligence, and Motivational Orientations: How do LMX Mediation and Gender-Based Moderation Make a Difference?","Tziner, Aharon; Shkoler, Or; Fein, Erich C.",FRONTIERS IN PSYCHOLOGY,2020,64
10.1017/S0954579420001261,Sympathetic nervous system dominance during stress recovery mediates associations between stress sensitivity and social anxiety symptoms in female adolescents,"Ho, Tiffany C.; Pham, Holly T.; Miller, Jonas G.; Kircanski, Katharina; Gotlib, Ian H.",DEVELOPMENT AND PSYCHOPATHOLOGY,2020,65
10.1016/j.joep.2020.102266,Gender differences in risk behavior and the link to household effects and individual wealth,"Khor, Ling Yee; Sariyev, Orkhan; Loos, Tim",JOURNAL OF ECONOMIC PSYCHOLOGY,2020,66
10.1177/0149206318801998,When Staying Is Dissatisfying: Examining When and Why Turnover Cognitions Affect Stayers' Career Satisfaction,"Verbruggen, Marijke; Van Emmerik, Hetty",JOURNAL OF MANAGEMENT,2020,67
10.7714/CNPS/14.1.213,ANXIETY AND COGNITIVE FUNCTIONING IN BREAST CANCER PATIENTS TREATED WITH CHEMOTHERAPY,"Bessa, Ana; Fernandes, Sara M.; Vazquez-Justo, Enrique; Conde, Ana",CUADERNOS DE NEUROPSICOLOGIA-PANAMERICAN JOURNAL OF NEUROPSYCHOLOGY,2020,68
10.1080/10503307.2020.1813915,Perspectives on an Acceptance and Commitment Therapy (ACT) based program for patients with inflammatory bowel disease and comorbid anxiety and/or depressive symptoms,"Dober, Madeleine; Mikocka-Walus, Antonina; Evans, Subhadra; Beswick, Lauren; Emerson, Catherine; Olive, Lisa",PSYCHOTHERAPY RESEARCH,2021,69
10.1177/1359105318783041,Development and psychometric properties of the Self-efficacy for Mindfulness Meditation Practice scale,"Birdee, Gurjeet S.; Wallston, Kenneth A.; Ayala, Sujata G.; Ip, Edward H.; Sohl, Stephanie J.",JOURNAL OF HEALTH PSYCHOLOGY,2020,70
10.1007/s11469-020-00417-7,Predictors of Dropout from an Outpatient Treatment Program for Substance Use Disorders in India: a Retrospective Cohort Study of Patients Registered over a 10-Year Period (2009-2018),"Ghosh, Abhishek; Sharma, Nidhi; Subodh, B. N.; Basu, Debasish; Mattoo, Surendra Kumar; Pillai, Renjith R.",INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,2022,71
10.1037/abn0000628,Predictive Processing in Mental Illness: Hierarchical Circuitry for Perception and Trauma,"Kaye, Alfred P.; Krystal, John H.",JOURNAL OF ABNORMAL PSYCHOLOGY,2020,72
NA,First language attrition as a topic of psycholinguistic research,"Kriz, Adam; Chromy, Jan",CESKOSLOVENSKA PSYCHOLOGIE,2020,73
10.3389/fpsyg.2020.556903,Taking Justice Into Their Own Hands: Predictors of Netilantism Among Cyber Citizens in Hong Kong,"Chang, Lennon Y. C. X.; Zhu, Jinxin",FRONTIERS IN PSYCHOLOGY,2020,74
10.1002/pits.22390,Facilitators of and barriers to school psychologists' social-emotional/behavioral practices,"Ginns, Diana S.; Moulton, Sara E.; Castillo, Jose M.; Jenkins, Andrew S.; Hodnett, Jennifer M.",PSYCHOLOGY IN THE SCHOOLS,2020,75
10.1093/arclin/acaa008,Gender Differences in Veterans Referred for Neuropsychological Evaluation in an Outpatient Neuropsychology Consultation Service,"Sullivan-Baca, Erin; Naylon, Kara; Zartman, Andrea; Ardolf, Barry; Westhafer, J. Gregory",ARCHIVES OF CLINICAL NEUROPSYCHOLOGY,2020,76
10.1080/15401383.2020.1822245,"A Comparison of Student Engagement in Flipped, Active Lecture, and Online Counseling Courses","Merlin-Knoblich, Clare; Chase, Lauren; Smith, Joshua D.; Opiola, Kristie K.",JOURNAL OF CREATIVITY IN MENTAL HEALTH,2020,77
10.1332/147867320X15894733016410,On transience and other hatreds,"Crociani-Windland, Lita",JOURNAL OF PSYCHOSOCIAL STUDIES,2020,78
10.1002/da.23075,Associations between resting-state functional connectivity and treatment response in a randomized clinical trial for posttraumatic stress disorder,"Sheynin, Jony; Duval, Elizabeth R.; King, Anthony P.; Angstadt, Mike; Phan, K. Luan; Simon, Naomi M.; Rauch, Sheila A. M.; Liberzon, Israel",DEPRESSION AND ANXIETY,2020,79
10.1016/j.beproc.2020.104158,Egg rejection and egg recognition mechanism of chestnut thrushes (Turdus rubrocanus),"Yi, Tingting; Sun, Yue-Hua; Liang, Wei",BEHAVIOURAL PROCESSES,2020,80
10.13109/zind.2020.45.1.29,About love and capacity to love from the perspective of psychoanalytic individual psychology,"Kapusta, Nestor D.",ZEITSCHRIFT FUER INDIVIDUALPSYCHOLOGIE,2020,81
10.1089/trgh.2019.0061,An Observational Study of Hypertension and Thromboembolism Among Transgender Patients Using Gender-Affirming Hormone Therapy,"Pyra, Maria; Casimiro, Isabel; Rusie, Laura; Ross, Nat; Blum, Cori; Baker, Kristin Keglovitz; Baker, Andie; Schneider, John",TRANSGENDER HEALTH,2020,82
10.1177/0306624X20975159,Assessing the Delivery of the Thinking for a Change Program in Modified Formats: An Experimental Approach,"LaPlant, Eric G.; Bellair, Paul E.; Kowalski, Brian R.; Addison, Dionne; Starr, Stephanie",INTERNATIONAL JOURNAL OF OFFENDER THERAPY AND COMPARATIVE CRIMINOLOGY,2021,83
10.1016/j.psychsport.2020.101722,Specific internal and external attentional focus instructions have differential effects on rowing performance,"Neumann, David L.; Walsh, Nicholas; Moffitt, Robyn L.; Hannan, Thomas E.",PSYCHOLOGY OF SPORT AND EXERCISE,2020,84
10.1186/s41235-020-00232-7,What can an echocardiographer see in briefly presented stimuli? Perceptual expertise in dynamic search,"Carrigan, A. J.; Stoodley, P.; Fernandez, F.; Wiggins, M. W.",COGNITIVE RESEARCH-PRINCIPLES AND IMPLICATIONS,2020,85
10.3389/fpsyg.2020.00249,Dynamics of Experience in a Learning Protocol: A Case Study in Climbing,"Rochat, Nadege; Hacques, Guillaume; Ganiere, Caroline; Seifert, Ludovic; Hauw, Denis; Iodice, Pierpaolo; Ade, David",FRONTIERS IN PSYCHOLOGY,2020,86
10.1016/j.cortex.2020.04.020,Verification Reports: A new article type at Cortex,"Chambers, Christopher D.",CORTEX,2020,87
10.1016/j.cognition.2019.104143,Groups as institutions: The use of constitutive rules to attribute group membership,"Noyes, Alexander; Dunham, Yarrow",COGNITION,2020,88
10.1016/j.jsat.2020.108063,The process of skills training: A content analysis of evidence-based addiction therapies,"Magill, Molly; Martino, Steve; Wampold, Bruce E.",JOURNAL OF SUBSTANCE ABUSE TREATMENT,2020,89
10.1080/03004430.2020.1739027,Bathing routines in different infant placement settings: an ethological study,"Ducreux, Edwige; Puentes-Neuman, Guadalupe",EARLY CHILD DEVELOPMENT AND CARE,2022,90
10.1016/j.chb.2018.12.027,Can computational thinking be improved by using a methodology based on metaphors and scratch to teach computer programming to children?,"Perez-Marin, Diana; Hijon-Neira, Raquel; Bacelo, Adrian; Pizarro, Celeste",COMPUTERS IN HUMAN BEHAVIOR,2020,91
10.1002/pon.5434,Quality of life of cancer patients during coronavirus disease (COVID-19) pandemic,"Ciazynska, Magdalena; Pabianek, Marta; Szczepaniak, Katarzyna; Ulanska, Malgorzata; Skibinska, Malgorzata; Owczarek, Witold; Narbutt, Joanna; Lesiak, Aleksandra",PSYCHO-ONCOLOGY,2020,92
10.1177/0093854820921201,Changing Police Officers' Attitudes in Sexual Offense Cases: A 12-Month Follow-Up Study,"Tidmarsh, Patrick; Hamilton, Gemma; Sharman, Stefanie J.",CRIMINAL JUSTICE AND BEHAVIOR,2020,93
10.1002/aur.2278,Metacognitive Monitoring and Control of Eyewitness Memory Reports in Autism,"Maras, Katie; Norris, Jade Eloise; Brewer, Neil",AUTISM RESEARCH,2020,94
10.1037/pag0000421,The MMPI Factor Scales and Risk of Death in Men During 45 Years of Follow-Up: The Western Electric Study,"Weiss, Alexander; Costa, Paul T., Jr.; Deary, Ian J.; Garside, Daniel B.; Stamler, Jeremiah",PSYCHOLOGY AND AGING,2020,95
10.1093/scan/nsaa026,Neural correlates of cognitive bias modification for interpretation,"Sakaki, Kohei; Nozawa, Takayuki; Ikeda, Shigeyuki; Kawashima, Ryuta",SOCIAL COGNITIVE AND AFFECTIVE NEUROSCIENCE,2020,96
10.1017/S1366728920000127,Adaptive control in interpreters: Assessing the impact of training and experience on working memory,"Nour, Soudabeh; Struys, Esli; Stengers, Helene",BILINGUALISM-LANGUAGE AND COGNITION,2020,97
10.1016/j.paid.2020.109967,Failure to replicate moral licensing and moral cleansing in an online experiment,"Rotella, Amanda; Barclay, Pat",PERSONALITY AND INDIVIDUAL DIFFERENCES,2020,98
10.1007/s12144-020-00841-x,Brief adolescents' subjective well-being in school scale: Measurement invariance and latent mean differences across school levels among Chinese students,"Tian, Lili; Zheng, Jiamin; Huebner, E. Scott; Liu, Wang",CURRENT PSYCHOLOGY,2022,99
10.1016/j.bodyim.2019.12.001,A network analysis comparison of central determinants of body dissatisfaction among pregnant and non-pregnant women,"Fuller-Tyszkiewicz, Matthew; Broadbent, Jaclyn; Richardson, Ben; Watson, Brittany; Klas, Anna; Skouteris, Helen",BODY IMAGE,2020,100
10.1016/j.neuropsychologia.2019.107261,Mutual benefits: Combining reinforcement learning with sequential sampling models,"Miletic, Steven; Boag, Russell J.; Forstmann, Birte U.",NEUROPSYCHOLOGIA,2020,101
10.1002/capr.12314,A preliminary study of an online pain management programme for patients with ankylosing spondylitis,"Yu, Kai-Ching; Lo, Lap-Yan; Lin, Muriel; Cheung, Yim; Wong, Siu-Sing",COUNSELLING & PSYCHOTHERAPY RESEARCH,2021,102
10.1016/j.jadohealth.2020.01.001,Retail Outlets and Point-of-Sale Marketing of Alternative Tobacco Products: Another Threat to Tobacco Control,"Azagba, Sunday; Manzione, Lauren",JOURNAL OF ADOLESCENT HEALTH,2020,103
10.1177/0829573520923536,The Role of School Psychologists in Supporting Adolescents With ADHD,"Wiener, Judith",CANADIAN JOURNAL OF SCHOOL PSYCHOLOGY,2020,104
10.1177/0306624X20909219,Trajectories of Dynamic Risk Factors During Forensic Treatment: Growth Trajectory of Clinical Risk Factors in a Sample of Dutch Forensic Patients,"van der Linde, Robin; Bogaerts, Stefan; Garofalo, Carlo; Blaauw, Eric; De Caluwe, Elien; Billen, Eva; Spreen, Marinus",INTERNATIONAL JOURNAL OF OFFENDER THERAPY AND COMPARATIVE CRIMINOLOGY,2020,105
10.1037/xhp0000747,Subjective Confidence Acts as an Internal Cost-Benefit Factor When Choosing Between Tasks,"Carlebach, Nomi; Yeung, Nick",JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE,2020,106
10.1080/02699931.2020.1823322,Emotional gist: the rapid perception of facial expressions,"Gregory, Elizabeth; Tanaka, James W.; Liu, Xiaoyi",COGNITION & EMOTION,2021,107
10.3758/s13414-020-02194-w,Prior attentional bias is modulated by social gaze,"Capozzi, Francesca; Wahn, Basil; Ristic, Jelena; Kingstone, Alan",ATTENTION PERCEPTION & PSYCHOPHYSICS,2021,108
10.1111/psyp.13684,"Automatic facial reactions to facial, body, and vocal expressions: A stimulus-response compatibility study","Shaham, Galit; Mortillaro, Marcello; Aviezer, Hillel",PSYCHOPHYSIOLOGY,2020,109
10.1016/j.rasd.2020.101557,Examining the relationship between social support and stress for parents of individuals with autism,"Robinson, Suzanne; Weiss, Jonathan A.",RESEARCH IN AUTISM SPECTRUM DISORDERS,2020,110
10.1177/0886260517707307,Women's Advocates and Shelter Residents: Describing Experiences of Working and Living in Domestic Violence Shelters,"Hughes, Judy",JOURNAL OF INTERPERSONAL VIOLENCE,2020,111
10.1177/2515245920902370,Average Power: A Cautionary Note,"McShane, Blakeley B.; Boeckenholt, Ulf; Hansen, Karsten T.",ADVANCES IN METHODS AND PRACTICES IN PSYCHOLOGICAL SCIENCE,2020,112
10.3389/fpsyg.2020.01874,Caring for the Guardians-Exploring Needed Directions and Best Practices for Police Resilience Practice and Research,"Carlson-Johnson, Olivia; Grant, Heath; Lavery, Cathryn F.",FRONTIERS IN PSYCHOLOGY,2020,113
10.1007/s10212-019-00421-z,"Mastery goals, positive emotions and learning behavior in self-directed vs. teacher-directed learning","Schweder, Sabine",EUROPEAN JOURNAL OF PSYCHOLOGY OF EDUCATION,2020,114
